score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.532492,2.408473,10320.000000,1,0,5,1,Cho2017,CSP+SVM
0.486715,2.414794,10320.000000,2,0,5,1,Cho2017,CSP+SVM
0.599840,2.428915,10320.000000,3,0,5,1,Cho2017,CSP+SVM
0.561866,2.378928,10320.000000,4,0,5,1,Cho2017,CSP+SVM
0.487483,2.402350,10320.000000,5,0,5,1,Cho2017,CSP+SVM
0.411115,2.436679,10320.000000,6,0,5,1,Cho2017,CSP+SVM
0.402498,2.375382,10280.000000,7,0,5,1,Cho2017,CSP+SVM
0.550947,2.580837,10320.000000,8,0,5,1,Cho2017,CSP+SVM
0.425109,2.463964,10280.000000,9,0,5,1,Cho2017,CSP+SVM
0.457483,2.434826,10320.000000,10,0,5,1,Cho2017,CSP+SVM
0.551204,2.427518,10320.000000,11,0,5,1,Cho2017,CSP+SVM
0.516484,2.394691,10320.000000,12,0,5,1,Cho2017,CSP+SVM
0.410738,2.372275,10320.000000,13,0,5,1,Cho2017,CSP+SVM
0.598111,2.426239,10320.000000,14,0,5,1,Cho2017,CSP+SVM
0.549955,2.527296,10320.000000,15,0,5,1,Cho2017,CSP+SVM
0.339675,2.432342,10320.000000,16,0,5,1,Cho2017,CSP+SVM
0.475038,2.486768,10320.000000,17,0,5,1,Cho2017,CSP+SVM
0.615769,2.486393,10320.000000,18,0,5,1,Cho2017,CSP+SVM
0.355178,2.419361,10320.000000,19,0,5,1,Cho2017,CSP+SVM
0.385580,2.450847,10320.000000,20,0,5,1,Cho2017,CSP+SVM
0.383905,2.411535,10320.000000,21,0,5,1,Cho2017,CSP+SVM
0.545267,2.383325,10320.000000,22,0,5,1,Cho2017,CSP+SVM
0.464387,2.584057,10320.000000,23,0,5,1,Cho2017,CSP+SVM
0.388379,2.385662,10320.000000,24,0,5,1,Cho2017,CSP+SVM
0.551761,2.449077,10320.000000,25,0,5,1,Cho2017,CSP+SVM
0.449036,2.372037,10320.000000,26,0,5,1,Cho2017,CSP+SVM
0.333333,2.412466,10320.000000,27,0,5,1,Cho2017,CSP+SVM
0.391526,2.418012,10320.000000,28,0,5,1,Cho2017,CSP+SVM
0.502023,2.464590,10320.000000,29,0,5,1,Cho2017,CSP+SVM
0.467613,2.423973,10320.000000,30,0,5,1,Cho2017,CSP+SVM
0.363306,2.442198,10320.000000,31,0,5,1,Cho2017,CSP+SVM
0.319728,2.424017,10320.000000,32,0,5,1,Cho2017,CSP+SVM
0.333333,2.392144,10320.000000,33,0,5,1,Cho2017,CSP+SVM
0.350547,2.408998,10320.000000,34,0,5,1,Cho2017,CSP+SVM
0.398514,2.398685,10320.000000,35,0,5,1,Cho2017,CSP+SVM
0.619962,2.438522,10320.000000,36,0,5,1,Cho2017,CSP+SVM
0.333333,2.465294,10320.000000,37,0,5,1,Cho2017,CSP+SVM
0.342019,2.406322,10320.000000,38,0,5,1,Cho2017,CSP+SVM
0.331104,2.393958,10320.000000,39,0,5,1,Cho2017,CSP+SVM
0.402011,2.395226,10320.000000,40,0,5,1,Cho2017,CSP+SVM
0.530516,2.383096,10320.000000,41,0,5,1,Cho2017,CSP+SVM
0.344349,2.409313,10320.000000,42,0,5,1,Cho2017,CSP+SVM
0.611181,2.480164,10320.000000,43,0,5,1,Cho2017,CSP+SVM
0.579832,2.418211,10320.000000,44,0,5,1,Cho2017,CSP+SVM
0.479873,2.408191,10320.000000,45,0,5,1,Cho2017,CSP+SVM
0.365079,2.364094,10280.000000,46,0,5,1,Cho2017,CSP+SVM
0.490676,2.461182,10320.000000,47,0,5,1,Cho2017,CSP+SVM
0.373041,2.423660,10320.000000,48,0,5,1,Cho2017,CSP+SVM
0.542435,2.432565,10320.000000,49,0,5,1,Cho2017,CSP+SVM
0.347861,2.425666,10320.000000,50,0,5,1,Cho2017,CSP+SVM
0.507819,2.418540,10320.000000,51,0,5,1,Cho2017,CSP+SVM
0.333333,2.434043,10320.000000,52,0,5,1,Cho2017,CSP+SVM
0.572590,1.802675,10320.000000,1,0,5,1,Cho2017,CSP+LDA
0.476933,1.807420,10320.000000,2,0,5,1,Cho2017,CSP+LDA
0.636364,1.802379,10320.000000,3,0,5,1,Cho2017,CSP+LDA
0.539286,1.803674,10320.000000,4,0,5,1,Cho2017,CSP+LDA
0.500868,1.804583,10320.000000,5,0,5,1,Cho2017,CSP+LDA
0.355178,1.878074,10320.000000,6,0,5,1,Cho2017,CSP+LDA
0.442581,1.925478,10280.000000,7,0,5,1,Cho2017,CSP+LDA
0.555556,1.801044,10320.000000,8,0,5,1,Cho2017,CSP+LDA
0.354318,1.780583,10280.000000,9,0,5,1,Cho2017,CSP+LDA
0.440476,1.804218,10320.000000,10,0,5,1,Cho2017,CSP+LDA
0.538338,1.804661,10320.000000,11,0,5,1,Cho2017,CSP+LDA
0.459070,1.800775,10320.000000,12,0,5,1,Cho2017,CSP+LDA
0.409537,1.848348,10320.000000,13,0,5,1,Cho2017,CSP+LDA
0.639856,1.802647,10320.000000,14,0,5,1,Cho2017,CSP+LDA
0.509994,1.805505,10320.000000,15,0,5,1,Cho2017,CSP+LDA
0.339675,1.863347,10320.000000,16,0,5,1,Cho2017,CSP+LDA
0.492815,1.807294,10320.000000,17,0,5,1,Cho2017,CSP+LDA
0.614219,1.890989,10320.000000,18,0,5,1,Cho2017,CSP+LDA
0.355178,1.812545,10320.000000,19,0,5,1,Cho2017,CSP+LDA
0.377139,1.851701,10320.000000,20,0,5,1,Cho2017,CSP+LDA
0.400990,1.801303,10320.000000,21,0,5,1,Cho2017,CSP+LDA
0.605223,1.809399,10320.000000,22,0,5,1,Cho2017,CSP+LDA
0.483784,1.799166,10320.000000,23,0,5,1,Cho2017,CSP+LDA
0.378488,1.892478,10320.000000,24,0,5,1,Cho2017,CSP+LDA
0.577295,1.920361,10320.000000,25,0,5,1,Cho2017,CSP+LDA
0.423384,1.802190,10320.000000,26,0,5,1,Cho2017,CSP+LDA
0.333333,1.804294,10320.000000,27,0,5,1,Cho2017,CSP+LDA
0.406067,1.802012,10320.000000,28,0,5,1,Cho2017,CSP+LDA
0.512256,1.906802,10320.000000,29,0,5,1,Cho2017,CSP+LDA
0.439372,1.829945,10320.000000,30,0,5,1,Cho2017,CSP+LDA
0.363306,1.802026,10320.000000,31,0,5,1,Cho2017,CSP+LDA
0.322034,1.813882,10320.000000,32,0,5,1,Cho2017,CSP+LDA
0.331104,1.874722,10320.000000,33,0,5,1,Cho2017,CSP+LDA
0.347063,1.799226,10320.000000,34,0,5,1,Cho2017,CSP+LDA
0.373688,1.811760,10320.000000,35,0,5,1,Cho2017,CSP+LDA
0.623409,1.908919,10320.000000,36,0,5,1,Cho2017,CSP+LDA
0.333333,1.806795,10320.000000,37,0,5,1,Cho2017,CSP+LDA
0.344349,1.842816,10320.000000,38,0,5,1,Cho2017,CSP+LDA
0.331104,1.863883,10320.000000,39,0,5,1,Cho2017,CSP+LDA
0.407877,1.851563,10320.000000,40,0,5,1,Cho2017,CSP+LDA
0.579228,1.825857,10320.000000,41,0,5,1,Cho2017,CSP+LDA
0.345399,1.880567,10320.000000,42,0,5,1,Cho2017,CSP+LDA
0.618988,1.808821,10320.000000,43,0,5,1,Cho2017,CSP+LDA
0.568254,1.818287,10320.000000,44,0,5,1,Cho2017,CSP+LDA
0.517083,1.816866,10320.000000,45,0,5,1,Cho2017,CSP+LDA
0.340599,1.782853,10280.000000,46,0,5,1,Cho2017,CSP+LDA
0.438253,1.805128,10320.000000,47,0,5,1,Cho2017,CSP+LDA
0.328859,1.813272,10320.000000,48,0,5,1,Cho2017,CSP+LDA
0.601356,1.858622,10320.000000,49,0,5,1,Cho2017,CSP+LDA
0.347861,1.881188,10320.000000,50,0,5,1,Cho2017,CSP+LDA
0.505306,1.804397,10320.000000,51,0,5,1,Cho2017,CSP+LDA
0.333333,1.898429,10320.000000,52,0,5,1,Cho2017,CSP+LDA
0.540441,2.353508,10320.000000,1,0,5,1,Cho2017,TS+SVM
0.431818,2.245403,10320.000000,2,0,5,1,Cho2017,TS+SVM
0.512942,2.248181,10320.000000,3,0,5,1,Cho2017,TS+SVM
0.594747,2.261152,10320.000000,4,0,5,1,Cho2017,TS+SVM
0.528100,2.194033,10320.000000,5,0,5,1,Cho2017,TS+SVM
0.448529,2.354851,10320.000000,6,0,5,1,Cho2017,TS+SVM
0.412043,2.309175,10280.000000,7,0,5,1,Cho2017,TS+SVM
0.368441,2.325575,10320.000000,8,0,5,1,Cho2017,TS+SVM
0.506463,2.296792,10280.000000,9,0,5,1,Cho2017,TS+SVM
0.585856,2.299391,10320.000000,10,0,5,1,Cho2017,TS+SVM
0.546906,2.312035,10320.000000,11,0,5,1,Cho2017,TS+SVM
0.554611,2.290943,10320.000000,12,0,5,1,Cho2017,TS+SVM
0.410124,2.319345,10320.000000,13,0,5,1,Cho2017,TS+SVM
0.410658,2.323869,10320.000000,14,0,5,1,Cho2017,TS+SVM
0.544046,2.327740,10320.000000,15,0,5,1,Cho2017,TS+SVM
0.570332,2.312647,10320.000000,16,0,5,1,Cho2017,TS+SVM
0.468071,2.263369,10320.000000,17,0,5,1,Cho2017,TS+SVM
0.609961,2.275685,10320.000000,18,0,5,1,Cho2017,TS+SVM
0.549036,2.232046,10320.000000,19,0,5,1,Cho2017,TS+SVM
0.518594,2.321260,10320.000000,20,0,5,1,Cho2017,TS+SVM
0.562500,2.322247,10320.000000,21,0,5,1,Cho2017,TS+SVM
0.535347,2.269977,10320.000000,22,0,5,1,Cho2017,TS+SVM
0.487458,2.296516,10320.000000,23,0,5,1,Cho2017,TS+SVM
0.513795,2.327398,10320.000000,24,0,5,1,Cho2017,TS+SVM
0.518266,2.327979,10320.000000,25,0,5,1,Cho2017,TS+SVM
