score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.634100,1.595115,10320.000000,1,0,2,1,Cho2017,TS+SVM
0.496200,1.587904,10320.000000,2,0,2,1,Cho2017,TS+SVM
0.601000,1.582801,10320.000000,3,0,2,1,Cho2017,TS+SVM
0.553700,1.607222,10320.000000,4,0,2,1,Cho2017,TS+SVM
0.588900,1.577375,10320.000000,5,0,2,1,Cho2017,TS+SVM
0.515800,1.599288,10320.000000,6,0,2,1,Cho2017,TS+SVM
0.510625,1.574816,10280.000000,7,0,2,1,Cho2017,TS+SVM
0.515700,1.601924,10320.000000,8,0,2,1,Cho2017,TS+SVM
0.566944,1.599041,10280.000000,9,0,2,1,Cho2017,TS+SVM
0.585600,1.603236,10320.000000,10,0,2,1,Cho2017,TS+SVM
0.597400,1.587611,10320.000000,11,0,2,1,Cho2017,TS+SVM
0.477100,1.570862,10320.000000,12,0,2,1,Cho2017,TS+SVM
0.437600,1.604627,10320.000000,13,0,2,1,Cho2017,TS+SVM
0.642100,1.583858,10320.000000,14,0,2,1,Cho2017,TS+SVM
0.478400,1.583920,10320.000000,15,0,2,1,Cho2017,TS+SVM
0.568500,1.581254,10320.000000,16,0,2,1,Cho2017,TS+SVM
0.528100,1.595224,10320.000000,17,0,2,1,Cho2017,TS+SVM
0.563200,1.569013,10320.000000,18,0,2,1,Cho2017,TS+SVM
0.514900,1.609511,10320.000000,19,0,2,1,Cho2017,TS+SVM
0.637500,1.578496,10320.000000,20,0,2,1,Cho2017,TS+SVM
0.590200,1.572584,10320.000000,21,0,2,1,Cho2017,TS+SVM
0.590300,1.596988,10320.000000,22,0,2,1,Cho2017,TS+SVM
0.549800,1.580910,10320.000000,23,0,2,1,Cho2017,TS+SVM
0.531600,1.588259,10320.000000,24,0,2,1,Cho2017,TS+SVM
0.591800,1.576902,10320.000000,25,0,2,1,Cho2017,TS+SVM
0.545500,1.574520,10320.000000,26,0,2,1,Cho2017,TS+SVM
0.494500,1.579963,10320.000000,27,0,2,1,Cho2017,TS+SVM
0.469400,1.564697,10320.000000,28,0,2,1,Cho2017,TS+SVM
0.539800,1.616753,10320.000000,29,0,2,1,Cho2017,TS+SVM
0.525200,1.621916,10320.000000,30,0,2,1,Cho2017,TS+SVM
0.500900,1.574329,10320.000000,31,0,2,1,Cho2017,TS+SVM
