score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.526543,1.582614,10320.000000,1,0,2,1,Cho2017,TS+SVM
0.333333,1.582866,10320.000000,2,0,2,1,Cho2017,TS+SVM
0.331104,1.580957,10320.000000,3,0,2,1,Cho2017,TS+SVM
0.511885,1.607391,10320.000000,4,0,2,1,Cho2017,TS+SVM
0.501629,1.576424,10320.000000,5,0,2,1,Cho2017,TS+SVM
0.333333,1.591543,10320.000000,6,0,2,1,Cho2017,TS+SVM
0.343557,1.578290,10280.000000,7,0,2,1,Cho2017,TS+SVM
0.352751,1.593366,10320.000000,8,0,2,1,Cho2017,TS+SVM
0.333333,1.584945,10280.000000,9,0,2,1,Cho2017,TS+SVM
0.435652,1.600945,10320.000000,10,0,2,1,Cho2017,TS+SVM
0.333333,1.577421,10320.000000,11,0,2,1,Cho2017,TS+SVM
0.489796,1.566292,10320.000000,12,0,2,1,Cho2017,TS+SVM
0.353120,1.582278,10320.000000,13,0,2,1,Cho2017,TS+SVM
0.333333,1.562159,10320.000000,14,0,2,1,Cho2017,TS+SVM
0.368441,1.589539,10320.000000,15,0,2,1,Cho2017,TS+SVM
0.460885,1.569302,10320.000000,16,0,2,1,Cho2017,TS+SVM
0.333333,1.596924,10320.000000,17,0,2,1,Cho2017,TS+SVM
0.522569,1.556612,10320.000000,18,0,2,1,Cho2017,TS+SVM
0.333333,1.585844,10320.000000,19,0,2,1,Cho2017,TS+SVM
0.564270,1.567331,10320.000000,20,0,2,1,Cho2017,TS+SVM
0.383953,1.562455,10320.000000,21,0,2,1,Cho2017,TS+SVM
0.444699,1.585576,10320.000000,22,0,2,1,Cho2017,TS+SVM
0.464387,1.568455,10320.000000,23,0,2,1,Cho2017,TS+SVM
0.373041,1.574852,10320.000000,24,0,2,1,Cho2017,TS+SVM
0.333333,1.558071,10320.000000,25,0,2,1,Cho2017,TS+SVM
0.383905,1.560700,10320.000000,26,0,2,1,Cho2017,TS+SVM
