score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.679968,5.189058,10320.000000,1,0,16,1,Cho2017,TS+SVM
0.530765,5.146437,10320.000000,2,0,16,1,Cho2017,TS+SVM
0.778917,5.200106,10320.000000,3,0,16,1,Cho2017,TS+SVM
0.644051,5.171970,10320.000000,4,0,16,1,Cho2017,TS+SVM
0.506228,5.112095,10320.000000,5,0,16,1,Cho2017,TS+SVM
0.593771,5.096644,10320.000000,6,0,16,1,Cho2017,TS+SVM
0.545575,5.080277,10280.000000,7,0,16,1,Cho2017,TS+SVM
0.560623,5.085258,10320.000000,8,0,16,1,Cho2017,TS+SVM
0.670140,5.046434,10280.000000,9,0,16,1,Cho2017,TS+SVM
0.652489,5.066004,10320.000000,10,0,16,1,Cho2017,TS+SVM
0.588096,5.104043,10320.000000,11,0,16,1,Cho2017,TS+SVM
0.627617,5.100627,10320.000000,12,0,16,1,Cho2017,TS+SVM
0.331104,5.071911,10320.000000,13,0,16,1,Cho2017,TS+SVM
0.864726,5.059996,10320.000000,14,0,16,1,Cho2017,TS+SVM
0.524968,5.069013,10320.000000,15,0,16,1,Cho2017,TS+SVM
0.460885,5.102851,10320.000000,16,0,16,1,Cho2017,TS+SVM
0.482257,5.051908,10320.000000,17,0,16,1,Cho2017,TS+SVM
0.615769,5.046141,10320.000000,18,0,16,1,Cho2017,TS+SVM
0.605333,5.061763,10320.000000,19,0,16,1,Cho2017,TS+SVM
0.663984,5.163478,10320.000000,20,0,16,1,Cho2017,TS+SVM
0.674014,5.136907,10320.000000,21,0,16,1,Cho2017,TS+SVM
0.597668,5.060723,10320.000000,22,0,16,1,Cho2017,TS+SVM
0.635417,5.063520,10320.000000,23,0,16,1,Cho2017,TS+SVM
0.509116,5.119761,10320.000000,24,0,16,1,Cho2017,TS+SVM
0.543718,5.061966,10320.000000,25,0,16,1,Cho2017,TS+SVM
0.495586,5.104561,10320.000000,26,0,16,1,Cho2017,TS+SVM
0.389931,5.152392,10320.000000,27,0,16,1,Cho2017,TS+SVM
0.333333,5.113352,10320.000000,28,0,16,1,Cho2017,TS+SVM
0.589631,5.064400,10320.000000,29,0,16,1,Cho2017,TS+SVM
0.494878,5.036455,10320.000000,30,0,16,1,Cho2017,TS+SVM
0.413601,5.078036,10320.000000,31,0,16,1,Cho2017,TS+SVM
0.468770,5.062698,10320.000000,32,0,16,1,Cho2017,TS+SVM
0.519705,5.094217,10320.000000,33,0,16,1,Cho2017,TS+SVM
0.507776,5.162776,10320.000000,34,0,16,1,Cho2017,TS+SVM
0.449780,5.078869,10320.000000,35,0,16,1,Cho2017,TS+SVM
0.647142,5.079475,10320.000000,36,0,16,1,Cho2017,TS+SVM
0.451969,5.045494,10320.000000,37,0,16,1,Cho2017,TS+SVM
0.540230,5.154554,10320.000000,38,0,16,1,Cho2017,TS+SVM
0.609023,5.102159,10320.000000,39,0,16,1,Cho2017,TS+SVM
0.483516,5.093762,10320.000000,40,0,16,1,Cho2017,TS+SVM
0.799499,5.112723,10320.000000,41,0,16,1,Cho2017,TS+SVM
0.562539,5.079942,10320.000000,42,0,16,1,Cho2017,TS+SVM
0.868408,5.117834,10320.000000,43,0,16,1,Cho2017,TS+SVM
0.581221,5.083494,10320.000000,44,0,16,1,Cho2017,TS+SVM
0.492865,5.049385,10320.000000,45,0,16,1,Cho2017,TS+SVM
0.496855,4.997306,10280.000000,46,0,16,1,Cho2017,TS+SVM
0.610000,5.098917,10320.000000,47,0,16,1,Cho2017,TS+SVM
0.710624,5.081322,10320.000000,48,0,16,1,Cho2017,TS+SVM
0.570293,5.121782,10320.000000,49,0,16,1,Cho2017,TS+SVM
0.497143,5.105885,10320.000000,50,0,16,1,Cho2017,TS+SVM
0.516604,5.129485,10320.000000,51,0,16,1,Cho2017,TS+SVM
0.640242,5.136934,10320.000000,52,0,16,1,Cho2017,TS+SVM
0.674797,2.925044,10320.000000,1,0,16,1,Cho2017,TS+EL
0.512942,2.924942,10320.000000,2,0,16,1,Cho2017,TS+EL
0.768519,2.920249,10320.000000,3,0,16,1,Cho2017,TS+EL
0.626667,2.902772,10320.000000,4,0,16,1,Cho2017,TS+EL
0.495006,2.928454,10320.000000,5,0,16,1,Cho2017,TS+EL
0.629667,2.906378,10320.000000,6,0,16,1,Cho2017,TS+EL
0.551849,2.907693,10280.000000,7,0,16,1,Cho2017,TS+EL
0.606732,2.922931,10320.000000,8,0,16,1,Cho2017,TS+EL
0.652810,2.917654,10280.000000,9,0,16,1,Cho2017,TS+EL
0.670000,2.912182,10320.000000,10,0,16,1,Cho2017,TS+EL
0.578413,2.919389,10320.000000,11,0,16,1,Cho2017,TS+EL
0.604516,2.915489,10320.000000,12,0,16,1,Cho2017,TS+EL
