score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.580200,3.372406,10320.000000,1,0,8,1,Cho2017,CSP+LDA
0.541300,3.330666,10320.000000,2,0,8,1,Cho2017,CSP+LDA
0.848400,3.295495,10320.000000,3,0,8,1,Cho2017,CSP+LDA
0.696700,3.299658,10320.000000,4,0,8,1,Cho2017,CSP+LDA
0.682400,3.354449,10320.000000,5,0,8,1,Cho2017,CSP+LDA
0.530400,3.372001,10320.000000,6,0,8,1,Cho2017,CSP+LDA
0.508542,3.261875,10280.000000,7,0,8,1,Cho2017,CSP+LDA
0.586200,3.327603,10320.000000,8,0,8,1,Cho2017,CSP+LDA
0.651528,3.347085,10280.000000,9,0,8,1,Cho2017,CSP+LDA
0.654100,3.299377,10320.000000,10,0,8,1,Cho2017,CSP+LDA
0.594700,3.299965,10320.000000,11,0,8,1,Cho2017,CSP+LDA
0.643600,3.338172,10320.000000,12,0,8,1,Cho2017,CSP+LDA
0.576700,3.302722,10320.000000,13,0,8,1,Cho2017,CSP+LDA
0.927100,3.343192,10320.000000,14,0,8,1,Cho2017,CSP+LDA
0.630200,3.307143,10320.000000,15,0,8,1,Cho2017,CSP+LDA
0.591300,3.356639,10320.000000,16,0,8,1,Cho2017,CSP+LDA
0.454200,3.377649,10320.000000,17,0,8,1,Cho2017,CSP+LDA
0.675300,3.313000,10320.000000,18,0,8,1,Cho2017,CSP+LDA
0.671200,3.303812,10320.000000,19,0,8,1,Cho2017,CSP+LDA
0.677200,3.423716,10320.000000,20,0,8,1,Cho2017,CSP+LDA
0.682500,3.300946,10320.000000,21,0,8,1,Cho2017,CSP+LDA
0.640100,3.307276,10320.000000,22,0,8,1,Cho2017,CSP+LDA
0.643600,3.356354,10320.000000,23,0,8,1,Cho2017,CSP+LDA
0.581500,3.439843,10320.000000,24,0,8,1,Cho2017,CSP+LDA
0.623800,3.302901,10320.000000,25,0,8,1,Cho2017,CSP+LDA
0.634500,3.329348,10320.000000,26,0,8,1,Cho2017,CSP+LDA
0.509900,3.300112,10320.000000,27,0,8,1,Cho2017,CSP+LDA
0.459600,3.341449,10320.000000,28,0,8,1,Cho2017,CSP+LDA
0.558800,3.372386,10320.000000,29,0,8,1,Cho2017,CSP+LDA
0.606400,3.315259,10320.000000,30,0,8,1,Cho2017,CSP+LDA
0.612900,3.389243,10320.000000,31,0,8,1,Cho2017,CSP+LDA
0.527500,3.369727,10320.000000,32,0,8,1,Cho2017,CSP+LDA
0.555700,3.317120,10320.000000,33,0,8,1,Cho2017,CSP+LDA
0.478100,3.326857,10320.000000,34,0,8,1,Cho2017,CSP+LDA
0.499400,3.337499,10320.000000,35,0,8,1,Cho2017,CSP+LDA
0.663600,3.354119,10320.000000,36,0,8,1,Cho2017,CSP+LDA
0.514500,3.305931,10320.000000,37,0,8,1,Cho2017,CSP+LDA
0.584000,3.386161,10320.000000,38,0,8,1,Cho2017,CSP+LDA
0.610800,3.325845,10320.000000,39,0,8,1,Cho2017,CSP+LDA
0.551400,3.369464,10320.000000,40,0,8,1,Cho2017,CSP+LDA
0.768300,3.305073,10320.000000,41,0,8,1,Cho2017,CSP+LDA
0.604500,3.301702,10320.000000,42,0,8,1,Cho2017,CSP+LDA
0.926200,3.334288,10320.000000,43,0,8,1,Cho2017,CSP+LDA
0.635600,3.317981,10320.000000,44,0,8,1,Cho2017,CSP+LDA
0.619000,3.335751,10320.000000,45,0,8,1,Cho2017,CSP+LDA
0.643750,3.274510,10280.000000,46,0,8,1,Cho2017,CSP+LDA
0.660500,3.306701,10320.000000,47,0,8,1,Cho2017,CSP+LDA
0.644800,3.301676,10320.000000,48,0,8,1,Cho2017,CSP+LDA
0.740000,3.317147,10320.000000,49,0,8,1,Cho2017,CSP+LDA
0.496000,3.298778,10320.000000,50,0,8,1,Cho2017,CSP+LDA
0.649800,3.376987,10320.000000,51,0,8,1,Cho2017,CSP+LDA
0.545500,3.355469,10320.000000,52,0,8,1,Cho2017,CSP+LDA
0.666900,1.495861,10320.000000,1,0,8,1,Cho2017,TS+EL
0.581200,1.504318,10320.000000,2,0,8,1,Cho2017,TS+EL
0.839900,1.502791,10320.000000,3,0,8,1,Cho2017,TS+EL
0.761600,1.494106,10320.000000,4,0,8,1,Cho2017,TS+EL
0.670000,1.496707,10320.000000,5,0,8,1,Cho2017,TS+EL
0.593000,1.509581,10320.000000,6,0,8,1,Cho2017,TS+EL
0.563819,1.490479,10280.000000,7,0,8,1,Cho2017,TS+EL
0.556300,1.495040,10320.000000,8,0,8,1,Cho2017,TS+EL
0.741319,1.494296,10280.000000,9,0,8,1,Cho2017,TS+EL
0.659000,1.493911,10320.000000,10,0,8,1,Cho2017,TS+EL
0.562900,1.503459,10320.000000,11,0,8,1,Cho2017,TS+EL
0.723400,1.496584,10320.000000,12,0,8,1,Cho2017,TS+EL
0.457700,1.508336,10320.000000,13,0,8,1,Cho2017,TS+EL
0.960500,1.497912,10320.000000,14,0,8,1,Cho2017,TS+EL
0.712200,1.500457,10320.000000,15,0,8,1,Cho2017,TS+EL
0.643100,1.500070,10320.000000,16,0,8,1,Cho2017,TS+EL
0.451600,1.499809,10320.000000,17,0,8,1,Cho2017,TS+EL
0.600500,1.497350,10320.000000,18,0,8,1,Cho2017,TS+EL
0.685000,1.494170,10320.000000,19,0,8,1,Cho2017,TS+EL
0.699400,1.504911,10320.000000,20,0,8,1,Cho2017,TS+EL
0.681600,1.506098,10320.000000,21,0,8,1,Cho2017,TS+EL
0.622300,1.505130,10320.000000,22,0,8,1,Cho2017,TS+EL
0.740100,1.504045,10320.000000,23,0,8,1,Cho2017,TS+EL
0.697700,1.506413,10320.000000,24,0,8,1,Cho2017,TS+EL
0.601400,1.498217,10320.000000,25,0,8,1,Cho2017,TS+EL
0.512300,1.503599,10320.000000,26,0,8,1,Cho2017,TS+EL
0.523600,1.502136,10320.000000,27,0,8,1,Cho2017,TS+EL
0.372100,1.503113,10320.000000,28,0,8,1,Cho2017,TS+EL
0.549700,1.494307,10320.000000,29,0,8,1,Cho2017,TS+EL
0.674200,1.498336,10320.000000,30,0,8,1,Cho2017,TS+EL
0.691400,1.496418,10320.000000,31,0,8,1,Cho2017,TS+EL
0.499300,1.506296,10320.000000,32,0,8,1,Cho2017,TS+EL
0.524400,1.511254,10320.000000,33,0,8,1,Cho2017,TS+EL
0.561600,1.510500,10320.000000,34,0,8,1,Cho2017,TS+EL
0.391100,1.500072,10320.000000,35,0,8,1,Cho2017,TS+EL
0.674300,1.504148,10320.000000,36,0,8,1,Cho2017,TS+EL
0.379900,1.502780,10320.000000,37,0,8,1,Cho2017,TS+EL
0.543700,1.507346,10320.000000,38,0,8,1,Cho2017,TS+EL
0.638700,1.491878,10320.000000,39,0,8,1,Cho2017,TS+EL
0.567300,1.504777,10320.000000,40,0,8,1,Cho2017,TS+EL
0.830400,1.501365,10320.000000,41,0,8,1,Cho2017,TS+EL
0.651800,1.510130,10320.000000,42,0,8,1,Cho2017,TS+EL
0.936200,1.509616,10320.000000,43,0,8,1,Cho2017,TS+EL
0.587900,1.500731,10320.000000,44,0,8,1,Cho2017,TS+EL
0.597500,1.499070,10320.000000,45,0,8,1,Cho2017,TS+EL
0.586806,1.490387,10280.000000,46,0,8,1,Cho2017,TS+EL
0.627300,1.497321,10320.000000,47,0,8,1,Cho2017,TS+EL
0.770600,1.505029,10320.000000,48,0,8,1,Cho2017,TS+EL
0.631400,1.504063,10320.000000,49,0,8,1,Cho2017,TS+EL
0.511900,1.506451,10320.000000,50,0,8,1,Cho2017,TS+EL
0.661800,1.494243,10320.000000,51,0,8,1,Cho2017,TS+EL
0.650600,1.501402,10320.000000,52,0,8,1,Cho2017,TS+EL
0.662100,2.565940,10320.000000,1,0,8,1,Cho2017,TS+SVM
0.570400,2.547598,10320.000000,2,0,8,1,Cho2017,TS+SVM
0.836300,2.599649,10320.000000,3,0,8,1,Cho2017,TS+SVM
0.770700,2.583790,10320.000000,4,0,8,1,Cho2017,TS+SVM
0.662500,2.570532,10320.000000,5,0,8,1,Cho2017,TS+SVM
0.596300,2.533677,10320.000000,6,0,8,1,Cho2017,TS+SVM
0.557639,2.491554,10280.000000,7,0,8,1,Cho2017,TS+SVM
0.563800,2.595694,10320.000000,8,0,8,1,Cho2017,TS+SVM
0.737986,2.564424,10280.000000,9,0,8,1,Cho2017,TS+SVM
0.668400,2.531079,10320.000000,10,0,8,1,Cho2017,TS+SVM
0.566600,2.546445,10320.000000,11,0,8,1,Cho2017,TS+SVM
0.719100,2.552869,10320.000000,12,0,8,1,Cho2017,TS+SVM
0.455300,2.521433,10320.000000,13,0,8,1,Cho2017,TS+SVM
0.961200,2.526647,10320.000000,14,0,8,1,Cho2017,TS+SVM
0.720400,2.552309,10320.000000,15,0,8,1,Cho2017,TS+SVM
0.649000,2.544630,10320.000000,16,0,8,1,Cho2017,TS+SVM
0.440900,2.537830,10320.000000,17,0,8,1,Cho2017,TS+SVM
0.606900,2.554067,10320.000000,18,0,8,1,Cho2017,TS+SVM
0.682200,2.501086,10320.000000,19,0,8,1,Cho2017,TS+SVM
0.708500,2.546844,10320.000000,20,0,8,1,Cho2017,TS+SVM
0.694600,2.620055,10320.000000,21,0,8,1,Cho2017,TS+SVM
0.623600,2.545476,10320.000000,22,0,8,1,Cho2017,TS+SVM
0.743900,2.580372,10320.000000,23,0,8,1,Cho2017,TS+SVM
0.708300,2.550994,10320.000000,24,0,8,1,Cho2017,TS+SVM
0.600200,2.535582,10320.000000,25,0,8,1,Cho2017,TS+SVM
0.516400,2.572453,10320.000000,26,0,8,1,Cho2017,TS+SVM
0.531200,2.570596,10320.000000,27,0,8,1,Cho2017,TS+SVM
0.367200,2.552903,10320.000000,28,0,8,1,Cho2017,TS+SVM
0.546800,2.559284,10320.000000,29,0,8,1,Cho2017,TS+SVM
0.670900,2.554972,10320.000000,30,0,8,1,Cho2017,TS+SVM
0.686900,2.521965,10320.000000,31,0,8,1,Cho2017,TS+SVM
0.499300,2.552932,10320.000000,32,0,8,1,Cho2017,TS+SVM
0.525000,2.568413,10320.000000,33,0,8,1,Cho2017,TS+SVM
0.565100,2.603849,10320.000000,34,0,8,1,Cho2017,TS+SVM
0.387400,2.573914,10320.000000,35,0,8,1,Cho2017,TS+SVM
0.673700,2.565413,10320.000000,36,0,8,1,Cho2017,TS+SVM
0.388400,2.527043,10320.000000,37,0,8,1,Cho2017,TS+SVM
0.545700,2.604310,10320.000000,38,0,8,1,Cho2017,TS+SVM
0.638500,2.568057,10320.000000,39,0,8,1,Cho2017,TS+SVM
0.570900,2.570762,10320.000000,40,0,8,1,Cho2017,TS+SVM
0.835000,2.539954,10320.000000,41,0,8,1,Cho2017,TS+SVM
0.644600,2.547440,10320.000000,42,0,8,1,Cho2017,TS+SVM
0.938900,2.578184,10320.000000,43,0,8,1,Cho2017,TS+SVM
0.583900,2.542447,10320.000000,44,0,8,1,Cho2017,TS+SVM
0.594000,2.552249,10320.000000,45,0,8,1,Cho2017,TS+SVM
0.593542,2.520327,10280.000000,46,0,8,1,Cho2017,TS+SVM
0.619300,2.579845,10320.000000,47,0,8,1,Cho2017,TS+SVM
0.769700,2.552944,10320.000000,48,0,8,1,Cho2017,TS+SVM
0.638500,2.567998,10320.000000,49,0,8,1,Cho2017,TS+SVM
0.508500,2.579615,10320.000000,50,0,8,1,Cho2017,TS+SVM
0.659900,2.580827,10320.000000,51,0,8,1,Cho2017,TS+SVM
0.659400,2.534861,10320.000000,52,0,8,1,Cho2017,TS+SVM
0.666100,1.455596,10320.000000,1,0,8,1,Cho2017,TS+LR
0.581800,1.459949,10320.000000,2,0,8,1,Cho2017,TS+LR
0.838300,1.461267,10320.000000,3,0,8,1,Cho2017,TS+LR
0.760500,1.461932,10320.000000,4,0,8,1,Cho2017,TS+LR
0.670100,1.464762,10320.000000,5,0,8,1,Cho2017,TS+LR
0.592800,1.459611,10320.000000,6,0,8,1,Cho2017,TS+LR
0.564722,1.456891,10280.000000,7,0,8,1,Cho2017,TS+LR
0.555800,1.461877,10320.000000,8,0,8,1,Cho2017,TS+LR
0.740972,1.463465,10280.000000,9,0,8,1,Cho2017,TS+LR
0.659200,1.464166,10320.000000,10,0,8,1,Cho2017,TS+LR
0.563300,1.458939,10320.000000,11,0,8,1,Cho2017,TS+LR
0.723300,1.466859,10320.000000,12,0,8,1,Cho2017,TS+LR
0.458800,1.461174,10320.000000,13,0,8,1,Cho2017,TS+LR
0.960300,1.468202,10320.000000,14,0,8,1,Cho2017,TS+LR
0.711300,1.463938,10320.000000,15,0,8,1,Cho2017,TS+LR
0.643600,1.466278,10320.000000,16,0,8,1,Cho2017,TS+LR
0.451700,1.461253,10320.000000,17,0,8,1,Cho2017,TS+LR
0.600000,1.466016,10320.000000,18,0,8,1,Cho2017,TS+LR
0.685200,1.459525,10320.000000,19,0,8,1,Cho2017,TS+LR
0.699600,1.465539,10320.000000,20,0,8,1,Cho2017,TS+LR
0.682100,1.466682,10320.000000,21,0,8,1,Cho2017,TS+LR
0.621000,1.469656,10320.000000,22,0,8,1,Cho2017,TS+LR
0.740100,1.466620,10320.000000,23,0,8,1,Cho2017,TS+LR
0.698400,1.477338,10320.000000,24,0,8,1,Cho2017,TS+LR
0.601600,1.462150,10320.000000,25,0,8,1,Cho2017,TS+LR
0.513000,1.469606,10320.000000,26,0,8,1,Cho2017,TS+LR
0.523300,1.464340,10320.000000,27,0,8,1,Cho2017,TS+LR
0.372200,1.465291,10320.000000,28,0,8,1,Cho2017,TS+LR
0.549100,1.468725,10320.000000,29,0,8,1,Cho2017,TS+LR
0.673900,1.467893,10320.000000,30,0,8,1,Cho2017,TS+LR
0.692300,1.461425,10320.000000,31,0,8,1,Cho2017,TS+LR
0.499700,1.472510,10320.000000,32,0,8,1,Cho2017,TS+LR
0.524400,1.471196,10320.000000,33,0,8,1,Cho2017,TS+LR
0.562200,1.462753,10320.000000,34,0,8,1,Cho2017,TS+LR
0.391800,1.472684,10320.000000,35,0,8,1,Cho2017,TS+LR
0.675100,1.469252,10320.000000,36,0,8,1,Cho2017,TS+LR
0.379800,1.472516,10320.000000,37,0,8,1,Cho2017,TS+LR
0.543300,1.471359,10320.000000,38,0,8,1,Cho2017,TS+LR
0.638300,1.461859,10320.000000,39,0,8,1,Cho2017,TS+LR
0.567600,1.464851,10320.000000,40,0,8,1,Cho2017,TS+LR
0.829700,1.464389,10320.000000,41,0,8,1,Cho2017,TS+LR
0.650400,1.460894,10320.000000,42,0,8,1,Cho2017,TS+LR
0.935800,1.466767,10320.000000,43,0,8,1,Cho2017,TS+LR
0.588900,1.467085,10320.000000,44,0,8,1,Cho2017,TS+LR
0.597300,1.468010,10320.000000,45,0,8,1,Cho2017,TS+LR
