score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.747800,1.510733,10320.000000,1,0,8,1,Cho2017,TS+EL
0.547900,1.504791,10320.000000,2,0,8,1,Cho2017,TS+EL
0.820900,1.517992,10320.000000,3,0,8,1,Cho2017,TS+EL
0.768800,1.512190,10320.000000,4,0,8,1,Cho2017,TS+EL
0.616000,1.518392,10320.000000,5,0,8,1,Cho2017,TS+EL
0.636600,1.514273,10320.000000,6,0,8,1,Cho2017,TS+EL
0.543889,1.503074,10280.000000,7,0,8,1,Cho2017,TS+EL
0.564000,1.507444,10320.000000,8,0,8,1,Cho2017,TS+EL
0.729722,1.506615,10280.000000,9,0,8,1,Cho2017,TS+EL
0.634400,1.509318,10320.000000,10,0,8,1,Cho2017,TS+EL
0.607600,1.510722,10320.000000,11,0,8,1,Cho2017,TS+EL
0.769600,1.513977,10320.000000,12,0,8,1,Cho2017,TS+EL
0.460200,1.515834,10320.000000,13,0,8,1,Cho2017,TS+EL
0.950800,1.519243,10320.000000,14,0,8,1,Cho2017,TS+EL
0.725300,1.522590,10320.000000,15,0,8,1,Cho2017,TS+EL
0.630800,1.515054,10320.000000,16,0,8,1,Cho2017,TS+EL
0.506800,1.512980,10320.000000,17,0,8,1,Cho2017,TS+EL
0.699500,1.518582,10320.000000,18,0,8,1,Cho2017,TS+EL
0.727900,1.500272,10320.000000,19,0,8,1,Cho2017,TS+EL
0.692100,1.510944,10320.000000,20,0,8,1,Cho2017,TS+EL
0.691100,1.510628,10320.000000,21,0,8,1,Cho2017,TS+EL
0.679400,1.514651,10320.000000,22,0,8,1,Cho2017,TS+EL
0.692900,1.515918,10320.000000,23,0,8,1,Cho2017,TS+EL
0.710800,1.496511,10320.000000,24,0,8,1,Cho2017,TS+EL
0.673900,1.510052,10320.000000,25,0,8,1,Cho2017,TS+EL
0.545600,1.503694,10320.000000,26,0,8,1,Cho2017,TS+EL
0.536800,1.509463,10320.000000,27,0,8,1,Cho2017,TS+EL
0.438500,1.507754,10320.000000,28,0,8,1,Cho2017,TS+EL
0.533200,1.514590,10320.000000,29,0,8,1,Cho2017,TS+EL
0.593200,1.510443,10320.000000,30,0,8,1,Cho2017,TS+EL
0.712500,1.514544,10320.000000,31,0,8,1,Cho2017,TS+EL
0.510200,1.509853,10320.000000,32,0,8,1,Cho2017,TS+EL
0.555400,1.515408,10320.000000,33,0,8,1,Cho2017,TS+EL
0.506000,1.515475,10320.000000,34,0,8,1,Cho2017,TS+EL
0.399000,1.514040,10320.000000,35,0,8,1,Cho2017,TS+EL
0.693800,1.496461,10320.000000,36,0,8,1,Cho2017,TS+EL
0.546600,1.504682,10320.000000,37,0,8,1,Cho2017,TS+EL
0.612400,1.509087,10320.000000,38,0,8,1,Cho2017,TS+EL
0.640900,1.473588,10320.000000,39,0,8,1,Cho2017,TS+EL
0.556700,1.504500,10320.000000,40,0,8,1,Cho2017,TS+EL
0.857200,1.506774,10320.000000,41,0,8,1,Cho2017,TS+EL
0.651300,1.515767,10320.000000,42,0,8,1,Cho2017,TS+EL
0.966000,1.506762,10320.000000,43,0,8,1,Cho2017,TS+EL
0.619700,1.505816,10320.000000,44,0,8,1,Cho2017,TS+EL
0.643100,1.501937,10320.000000,45,0,8,1,Cho2017,TS+EL
0.597778,1.497222,10280.000000,46,0,8,1,Cho2017,TS+EL
0.683500,1.503866,10320.000000,47,0,8,1,Cho2017,TS+EL
0.754000,1.512764,10320.000000,48,0,8,1,Cho2017,TS+EL
0.687000,1.519807,10320.000000,49,0,8,1,Cho2017,TS+EL
0.529400,1.506789,10320.000000,50,0,8,1,Cho2017,TS+EL
0.614900,1.511200,10320.000000,51,0,8,1,Cho2017,TS+EL
0.616500,1.495203,10320.000000,52,0,8,1,Cho2017,TS+EL
0.752000,2.482585,10320.000000,1,0,8,1,Cho2017,TS+SVM
0.549300,2.481995,10320.000000,2,0,8,1,Cho2017,TS+SVM
0.826500,2.524271,10320.000000,3,0,8,1,Cho2017,TS+SVM
0.772500,2.477009,10320.000000,4,0,8,1,Cho2017,TS+SVM
0.607100,2.525772,10320.000000,5,0,8,1,Cho2017,TS+SVM
0.631300,2.515774,10320.000000,6,0,8,1,Cho2017,TS+SVM
0.542292,2.483440,10280.000000,7,0,8,1,Cho2017,TS+SVM
0.562400,2.469842,10320.000000,8,0,8,1,Cho2017,TS+SVM
0.730833,2.488613,10280.000000,9,0,8,1,Cho2017,TS+SVM
0.635100,2.489430,10320.000000,10,0,8,1,Cho2017,TS+SVM
0.605000,2.486717,10320.000000,11,0,8,1,Cho2017,TS+SVM
0.770200,2.490279,10320.000000,12,0,8,1,Cho2017,TS+SVM
0.470500,2.516928,10320.000000,13,0,8,1,Cho2017,TS+SVM
0.954900,2.478247,10320.000000,14,0,8,1,Cho2017,TS+SVM
0.735900,2.512759,10320.000000,15,0,8,1,Cho2017,TS+SVM
0.633500,2.484987,10320.000000,16,0,8,1,Cho2017,TS+SVM
0.498200,2.476862,10320.000000,17,0,8,1,Cho2017,TS+SVM
0.706200,2.467962,10320.000000,18,0,8,1,Cho2017,TS+SVM
0.729900,2.477252,10320.000000,19,0,8,1,Cho2017,TS+SVM
0.705300,2.503539,10320.000000,20,0,8,1,Cho2017,TS+SVM
0.699700,2.511409,10320.000000,21,0,8,1,Cho2017,TS+SVM
0.675000,2.502188,10320.000000,22,0,8,1,Cho2017,TS+SVM
0.706200,2.517895,10320.000000,23,0,8,1,Cho2017,TS+SVM
0.714000,2.432281,10320.000000,24,0,8,1,Cho2017,TS+SVM
0.669500,2.531324,10320.000000,25,0,8,1,Cho2017,TS+SVM
0.545900,2.482304,10320.000000,26,0,8,1,Cho2017,TS+SVM
0.530700,2.521940,10320.000000,27,0,8,1,Cho2017,TS+SVM
0.434700,2.501120,10320.000000,28,0,8,1,Cho2017,TS+SVM
0.531400,2.494209,10320.000000,29,0,8,1,Cho2017,TS+SVM
0.586600,2.489496,10320.000000,30,0,8,1,Cho2017,TS+SVM
0.713200,2.479320,10320.000000,31,0,8,1,Cho2017,TS+SVM
0.512700,2.557457,10320.000000,32,0,8,1,Cho2017,TS+SVM
0.558000,2.513757,10320.000000,33,0,8,1,Cho2017,TS+SVM
0.503800,2.487762,10320.000000,34,0,8,1,Cho2017,TS+SVM
0.398600,2.492318,10320.000000,35,0,8,1,Cho2017,TS+SVM
0.692200,2.505248,10320.000000,36,0,8,1,Cho2017,TS+SVM
0.548300,2.480457,10320.000000,37,0,8,1,Cho2017,TS+SVM
0.609200,2.495233,10320.000000,38,0,8,1,Cho2017,TS+SVM
0.652700,2.448694,10320.000000,39,0,8,1,Cho2017,TS+SVM
0.555000,2.459195,10320.000000,40,0,8,1,Cho2017,TS+SVM
0.861600,2.483961,10320.000000,41,0,8,1,Cho2017,TS+SVM
0.651800,2.474316,10320.000000,42,0,8,1,Cho2017,TS+SVM
0.973900,2.477470,10320.000000,43,0,8,1,Cho2017,TS+SVM
0.623400,2.485936,10320.000000,44,0,8,1,Cho2017,TS+SVM
0.645300,2.484423,10320.000000,45,0,8,1,Cho2017,TS+SVM
0.591736,2.485549,10280.000000,46,0,8,1,Cho2017,TS+SVM
0.677600,2.498717,10320.000000,47,0,8,1,Cho2017,TS+SVM
0.754700,2.503808,10320.000000,48,0,8,1,Cho2017,TS+SVM
0.690800,2.528402,10320.000000,49,0,8,1,Cho2017,TS+SVM
0.527800,2.514433,10320.000000,50,0,8,1,Cho2017,TS+SVM
0.618900,2.504580,10320.000000,51,0,8,1,Cho2017,TS+SVM
0.625600,2.475463,10320.000000,52,0,8,1,Cho2017,TS+SVM
0.749400,1.477247,10320.000000,1,0,8,1,Cho2017,TS+LR
0.548000,1.464589,10320.000000,2,0,8,1,Cho2017,TS+LR
0.820400,1.473489,10320.000000,3,0,8,1,Cho2017,TS+LR
0.768600,1.478594,10320.000000,4,0,8,1,Cho2017,TS+LR
0.615100,1.480195,10320.000000,5,0,8,1,Cho2017,TS+LR
0.637000,1.480119,10320.000000,6,0,8,1,Cho2017,TS+LR
0.544028,1.468309,10280.000000,7,0,8,1,Cho2017,TS+LR
0.563800,1.482055,10320.000000,8,0,8,1,Cho2017,TS+LR
0.730486,1.473521,10280.000000,9,0,8,1,Cho2017,TS+LR
0.633900,1.477961,10320.000000,10,0,8,1,Cho2017,TS+LR
0.606500,1.471794,10320.000000,11,0,8,1,Cho2017,TS+LR
0.768900,1.478160,10320.000000,12,0,8,1,Cho2017,TS+LR
0.460800,1.484407,10320.000000,13,0,8,1,Cho2017,TS+LR
0.950600,1.491995,10320.000000,14,0,8,1,Cho2017,TS+LR
0.725500,1.485322,10320.000000,15,0,8,1,Cho2017,TS+LR
0.630600,1.478207,10320.000000,16,0,8,1,Cho2017,TS+LR
0.507200,1.476320,10320.000000,17,0,8,1,Cho2017,TS+LR
0.699300,1.467141,10320.000000,18,0,8,1,Cho2017,TS+LR
0.727400,1.471559,10320.000000,19,0,8,1,Cho2017,TS+LR
0.690700,1.482922,10320.000000,20,0,8,1,Cho2017,TS+LR
0.690000,1.472102,10320.000000,21,0,8,1,Cho2017,TS+LR
0.679100,1.475748,10320.000000,22,0,8,1,Cho2017,TS+LR
0.692700,1.476860,10320.000000,23,0,8,1,Cho2017,TS+LR
0.710500,1.471867,10320.000000,24,0,8,1,Cho2017,TS+LR
0.673600,1.478292,10320.000000,25,0,8,1,Cho2017,TS+LR
0.543600,1.471822,10320.000000,26,0,8,1,Cho2017,TS+LR
