score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.654991,1.508372,10320.000000,1,0,8,1,Cho2017,TS+EL
0.398966,1.505253,10320.000000,2,0,8,1,Cho2017,TS+EL
0.693339,1.502606,10320.000000,3,0,8,1,Cho2017,TS+EL
0.591848,1.508617,10320.000000,4,0,8,1,Cho2017,TS+EL
0.558897,1.506619,10320.000000,5,0,8,1,Cho2017,TS+EL
0.599359,1.509152,10320.000000,6,0,8,1,Cho2017,TS+EL
0.532522,1.510376,10280.000000,7,0,8,1,Cho2017,TS+EL
0.497762,1.509774,10320.000000,8,0,8,1,Cho2017,TS+EL
0.635187,1.513463,10280.000000,9,0,8,1,Cho2017,TS+EL
0.599359,1.515066,10320.000000,10,0,8,1,Cho2017,TS+EL
0.562500,1.505763,10320.000000,11,0,8,1,Cho2017,TS+EL
0.662404,1.507152,10320.000000,12,0,8,1,Cho2017,TS+EL
0.385934,1.511577,10320.000000,13,0,8,1,Cho2017,TS+EL
0.783750,1.508531,10320.000000,14,0,8,1,Cho2017,TS+EL
0.651067,1.518145,10320.000000,15,0,8,1,Cho2017,TS+EL
0.527473,1.514052,10320.000000,16,0,8,1,Cho2017,TS+EL
0.522772,1.509753,10320.000000,17,0,8,1,Cho2017,TS+EL
0.598775,1.504736,10320.000000,18,0,8,1,Cho2017,TS+EL
0.653128,1.513039,10320.000000,19,0,8,1,Cho2017,TS+EL
0.407712,1.511821,10320.000000,20,0,8,1,Cho2017,TS+EL
0.634918,1.517747,10320.000000,21,0,8,1,Cho2017,TS+EL
0.509804,1.499948,10320.000000,22,0,8,1,Cho2017,TS+EL
0.547716,1.513083,10320.000000,23,0,8,1,Cho2017,TS+EL
0.603080,1.511116,10320.000000,24,0,8,1,Cho2017,TS+EL
0.525158,1.512702,10320.000000,25,0,8,1,Cho2017,TS+EL
0.471470,1.501649,10320.000000,26,0,8,1,Cho2017,TS+EL
0.393959,1.509146,10320.000000,27,0,8,1,Cho2017,TS+EL
0.333333,1.509291,10320.000000,28,0,8,1,Cho2017,TS+EL
0.519808,1.513515,10320.000000,29,0,8,1,Cho2017,TS+EL
0.574989,1.509941,10320.000000,30,0,8,1,Cho2017,TS+EL
0.626775,1.512537,10320.000000,31,0,8,1,Cho2017,TS+EL
0.410738,1.513049,10320.000000,32,0,8,1,Cho2017,TS+EL
0.497762,1.510751,10320.000000,33,0,8,1,Cho2017,TS+EL
0.497126,1.507977,10320.000000,34,0,8,1,Cho2017,TS+EL
0.450037,1.522471,10320.000000,35,0,8,1,Cho2017,TS+EL
0.609840,1.516340,10320.000000,36,0,8,1,Cho2017,TS+EL
0.530000,1.515263,10320.000000,37,0,8,1,Cho2017,TS+EL
0.450334,1.511496,10320.000000,38,0,8,1,Cho2017,TS+EL
0.542435,1.479442,10320.000000,39,0,8,1,Cho2017,TS+EL
0.510634,1.513363,10320.000000,40,0,8,1,Cho2017,TS+EL
0.749738,1.513236,10320.000000,41,0,8,1,Cho2017,TS+EL
0.619974,1.521742,10320.000000,42,0,8,1,Cho2017,TS+EL
0.889102,1.517458,10320.000000,43,0,8,1,Cho2017,TS+EL
0.528100,1.500433,10320.000000,44,0,8,1,Cho2017,TS+EL
0.530516,1.515657,10320.000000,45,0,8,1,Cho2017,TS+EL
0.390446,1.506165,10280.000000,46,0,8,1,Cho2017,TS+EL
0.577529,1.520117,10320.000000,47,0,8,1,Cho2017,TS+EL
0.663984,1.520040,10320.000000,48,0,8,1,Cho2017,TS+EL
0.622879,1.502452,10320.000000,49,0,8,1,Cho2017,TS+EL
0.514307,1.511888,10320.000000,50,0,8,1,Cho2017,TS+EL
0.583239,1.516443,10320.000000,51,0,8,1,Cho2017,TS+EL
0.487483,1.507411,10320.000000,52,0,8,1,Cho2017,TS+EL
0.659694,2.490935,10320.000000,1,0,8,1,Cho2017,TS+SVM
0.416667,2.480161,10320.000000,2,0,8,1,Cho2017,TS+SVM
0.704900,2.488719,10320.000000,3,0,8,1,Cho2017,TS+SVM
0.572590,2.456316,10320.000000,4,0,8,1,Cho2017,TS+SVM
0.565657,2.496973,10320.000000,5,0,8,1,Cho2017,TS+SVM
0.593771,2.469952,10320.000000,6,0,8,1,Cho2017,TS+SVM
0.529093,2.442024,10280.000000,7,0,8,1,Cho2017,TS+SVM
0.457722,2.503265,10320.000000,8,0,8,1,Cho2017,TS+SVM
0.630346,2.458685,10280.000000,9,0,8,1,Cho2017,TS+SVM
0.572596,2.480547,10320.000000,10,0,8,1,Cho2017,TS+SVM
0.558703,2.472031,10320.000000,11,0,8,1,Cho2017,TS+SVM
0.690912,2.498158,10320.000000,12,0,8,1,Cho2017,TS+SVM
0.389792,2.499039,10320.000000,13,0,8,1,Cho2017,TS+SVM
0.800200,2.489059,10320.000000,14,0,8,1,Cho2017,TS+SVM
0.662404,2.501778,10320.000000,15,0,8,1,Cho2017,TS+SVM
0.450678,2.492676,10320.000000,16,0,8,1,Cho2017,TS+SVM
0.516013,2.496560,10320.000000,17,0,8,1,Cho2017,TS+SVM
0.606826,2.488426,10320.000000,18,0,8,1,Cho2017,TS+SVM
0.664732,2.476766,10320.000000,19,0,8,1,Cho2017,TS+SVM
0.423197,2.505886,10320.000000,20,0,8,1,Cho2017,TS+SVM
0.614990,2.508526,10320.000000,21,0,8,1,Cho2017,TS+SVM
0.506229,2.491796,10320.000000,22,0,8,1,Cho2017,TS+SVM
0.559023,2.501028,10320.000000,23,0,8,1,Cho2017,TS+SVM
0.588224,2.457097,10320.000000,24,0,8,1,Cho2017,TS+SVM
0.535347,2.501671,10320.000000,25,0,8,1,Cho2017,TS+SVM
0.475925,2.505126,10320.000000,26,0,8,1,Cho2017,TS+SVM
0.383905,2.512267,10320.000000,27,0,8,1,Cho2017,TS+SVM
0.344349,2.475912,10320.000000,28,0,8,1,Cho2017,TS+SVM
0.529812,2.502460,10320.000000,29,0,8,1,Cho2017,TS+SVM
0.574904,2.514297,10320.000000,30,0,8,1,Cho2017,TS+SVM
0.626775,2.486861,10320.000000,31,0,8,1,Cho2017,TS+SVM
0.417381,2.529286,10320.000000,32,0,8,1,Cho2017,TS+SVM
0.521390,2.501773,10320.000000,33,0,8,1,Cho2017,TS+SVM
0.485120,2.499073,10320.000000,34,0,8,1,Cho2017,TS+SVM
0.447696,2.512934,10320.000000,35,0,8,1,Cho2017,TS+SVM
0.608889,2.499507,10320.000000,36,0,8,1,Cho2017,TS+SVM
0.524988,2.471291,10320.000000,37,0,8,1,Cho2017,TS+SVM
0.417163,2.485170,10320.000000,38,0,8,1,Cho2017,TS+SVM
0.588096,2.455982,10320.000000,39,0,8,1,Cho2017,TS+SVM
0.520737,2.492584,10320.000000,40,0,8,1,Cho2017,TS+SVM
0.754476,2.486586,10320.000000,41,0,8,1,Cho2017,TS+SVM
0.619391,2.491495,10320.000000,42,0,8,1,Cho2017,TS+SVM
0.894236,2.509090,10320.000000,43,0,8,1,Cho2017,TS+SVM
0.542900,2.480610,10320.000000,44,0,8,1,Cho2017,TS+SVM
0.491265,2.492076,10320.000000,45,0,8,1,Cho2017,TS+SVM
0.390446,2.476835,10280.000000,46,0,8,1,Cho2017,TS+SVM
0.581546,2.483501,10320.000000,47,0,8,1,Cho2017,TS+SVM
0.667874,2.474064,10320.000000,48,0,8,1,Cho2017,TS+SVM
0.622271,2.473655,10320.000000,49,0,8,1,Cho2017,TS+SVM
0.485199,2.484875,10320.000000,50,0,8,1,Cho2017,TS+SVM
0.583741,2.485730,10320.000000,51,0,8,1,Cho2017,TS+SVM
0.487179,2.461945,10320.000000,52,0,8,1,Cho2017,TS+SVM
0.660000,1.473688,10320.000000,1,0,8,1,Cho2017,TS+LR
0.402011,1.471611,10320.000000,2,0,8,1,Cho2017,TS+LR
0.693339,1.478287,10320.000000,3,0,8,1,Cho2017,TS+LR
0.591848,1.470452,10320.000000,4,0,8,1,Cho2017,TS+LR
0.574138,1.472130,10320.000000,5,0,8,1,Cho2017,TS+LR
0.604199,1.481101,10320.000000,6,0,8,1,Cho2017,TS+LR
0.532522,1.476067,10280.000000,7,0,8,1,Cho2017,TS+LR
0.497762,1.477906,10320.000000,8,0,8,1,Cho2017,TS+LR
0.635187,1.481798,10280.000000,9,0,8,1,Cho2017,TS+LR
0.594178,1.478955,10320.000000,10,0,8,1,Cho2017,TS+LR
0.552083,1.478250,10320.000000,11,0,8,1,Cho2017,TS+LR
0.673603,1.478727,10320.000000,12,0,8,1,Cho2017,TS+LR
