score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.861500,6.012842,10320.000000,1,0,12,1,Cho2017,CSP+SVM
0.502600,6.033268,10320.000000,2,0,12,1,Cho2017,CSP+SVM
0.749900,6.026348,10320.000000,3,0,12,1,Cho2017,CSP+SVM
0.695600,6.012512,10320.000000,4,0,12,1,Cho2017,CSP+SVM
0.654700,6.022737,10320.000000,5,0,12,1,Cho2017,CSP+SVM
0.578500,6.008817,10320.000000,6,0,12,1,Cho2017,CSP+SVM
0.529931,6.024664,10280.000000,7,0,12,1,Cho2017,CSP+SVM
0.577600,6.011199,10320.000000,8,0,12,1,Cho2017,CSP+SVM
0.553681,5.972582,10280.000000,9,0,12,1,Cho2017,CSP+SVM
0.730200,6.096044,10320.000000,10,0,12,1,Cho2017,CSP+SVM
0.674500,5.999685,10320.000000,11,0,12,1,Cho2017,CSP+SVM
0.722400,6.034524,10320.000000,12,0,12,1,Cho2017,CSP+SVM
0.353800,5.987611,10320.000000,13,0,12,1,Cho2017,CSP+SVM
0.900600,5.988902,10320.000000,14,0,12,1,Cho2017,CSP+SVM
0.603800,6.108262,10320.000000,15,0,12,1,Cho2017,CSP+SVM
0.646100,6.072650,10320.000000,16,0,12,1,Cho2017,CSP+SVM
0.464900,6.118104,10320.000000,17,0,12,1,Cho2017,CSP+SVM
0.615600,6.025867,10320.000000,18,0,12,1,Cho2017,CSP+SVM
0.659600,6.004129,10320.000000,19,0,12,1,Cho2017,CSP+SVM
0.698000,6.130662,10320.000000,20,0,12,1,Cho2017,CSP+SVM
0.664500,6.102009,10320.000000,21,0,12,1,Cho2017,CSP+SVM
0.680500,6.076180,10320.000000,22,0,12,1,Cho2017,CSP+SVM
0.623500,5.994123,10320.000000,23,0,12,1,Cho2017,CSP+SVM
0.724400,5.971350,10320.000000,24,0,12,1,Cho2017,CSP+SVM
0.646300,6.083036,10320.000000,25,0,12,1,Cho2017,CSP+SVM
0.570700,6.006140,10320.000000,26,0,12,1,Cho2017,CSP+SVM
0.578100,6.027464,10320.000000,27,0,12,1,Cho2017,CSP+SVM
0.445400,6.053328,10320.000000,28,0,12,1,Cho2017,CSP+SVM
0.608600,6.103962,10320.000000,29,0,12,1,Cho2017,CSP+SVM
0.618500,6.023582,10320.000000,30,0,12,1,Cho2017,CSP+SVM
0.524400,6.065008,10320.000000,31,0,12,1,Cho2017,CSP+SVM
0.468800,6.026347,10320.000000,32,0,12,1,Cho2017,CSP+SVM
0.547800,6.123396,10320.000000,33,0,12,1,Cho2017,CSP+SVM
0.536800,6.047967,10320.000000,34,0,12,1,Cho2017,CSP+SVM
0.406300,6.190597,10320.000000,35,0,12,1,Cho2017,CSP+SVM
0.734300,6.051388,10320.000000,36,0,12,1,Cho2017,CSP+SVM
0.631800,6.463472,10320.000000,37,0,12,1,Cho2017,CSP+SVM
0.534100,6.380527,10320.000000,38,0,12,1,Cho2017,CSP+SVM
0.574900,6.251376,10320.000000,39,0,12,1,Cho2017,CSP+SVM
0.505200,6.382592,10320.000000,40,0,12,1,Cho2017,CSP+SVM
0.713600,5.979707,10320.000000,41,0,12,1,Cho2017,CSP+SVM
0.553700,6.033259,10320.000000,42,0,12,1,Cho2017,CSP+SVM
0.897600,5.986050,10320.000000,43,0,12,1,Cho2017,CSP+SVM
0.610000,6.049191,10320.000000,44,0,12,1,Cho2017,CSP+SVM
0.593000,6.284801,10320.000000,45,0,12,1,Cho2017,CSP+SVM
0.638611,6.271398,10280.000000,46,0,12,1,Cho2017,CSP+SVM
0.642400,6.413523,10320.000000,47,0,12,1,Cho2017,CSP+SVM
0.679200,6.281835,10320.000000,48,0,12,1,Cho2017,CSP+SVM
0.632000,6.258410,10320.000000,49,0,12,1,Cho2017,CSP+SVM
0.424200,6.350750,10320.000000,50,0,12,1,Cho2017,CSP+SVM
0.624800,6.466642,10320.000000,51,0,12,1,Cho2017,CSP+SVM
0.716400,6.490514,10320.000000,52,0,12,1,Cho2017,CSP+SVM
0.851700,3.794976,10320.000000,1,0,12,1,Cho2017,TS+SVM
0.533800,3.720770,10320.000000,2,0,12,1,Cho2017,TS+SVM
0.793200,3.792191,10320.000000,3,0,12,1,Cho2017,TS+SVM
0.709100,3.803794,10320.000000,4,0,12,1,Cho2017,TS+SVM
0.589900,3.781929,10320.000000,5,0,12,1,Cho2017,TS+SVM
0.615000,3.780030,10320.000000,6,0,12,1,Cho2017,TS+SVM
0.598264,3.763007,10280.000000,7,0,12,1,Cho2017,TS+SVM
0.585500,3.877026,10320.000000,8,0,12,1,Cho2017,TS+SVM
0.604236,3.767025,10280.000000,9,0,12,1,Cho2017,TS+SVM
0.722200,3.841393,10320.000000,10,0,12,1,Cho2017,TS+SVM
