score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.566952,6.514838,10320.000000,1,0,12,1,Cho2017,CSP+SVM
0.333333,6.343067,10320.000000,2,0,12,1,Cho2017,CSP+SVM
0.690912,6.367319,10320.000000,3,0,12,1,Cho2017,CSP+SVM
0.606826,6.237215,10320.000000,4,0,12,1,Cho2017,CSP+SVM
0.574645,6.267484,10320.000000,5,0,12,1,Cho2017,CSP+SVM
0.537222,6.281054,10320.000000,6,0,12,1,Cho2017,CSP+SVM
0.459237,6.179998,10280.000000,7,0,12,1,Cho2017,CSP+SVM
0.430601,6.226784,10320.000000,8,0,12,1,Cho2017,CSP+SVM
0.484008,6.230911,10280.000000,9,0,12,1,Cho2017,CSP+SVM
0.642774,6.221531,10320.000000,10,0,12,1,Cho2017,CSP+SVM
0.403856,6.283605,10320.000000,11,0,12,1,Cho2017,CSP+SVM
0.410658,6.441938,10320.000000,12,0,12,1,Cho2017,CSP+SVM
0.397132,6.450619,10320.000000,13,0,12,1,Cho2017,CSP+SVM
0.684484,6.236549,10320.000000,14,0,12,1,Cho2017,CSP+SVM
0.487483,6.239406,10320.000000,15,0,12,1,Cho2017,CSP+SVM
0.428571,6.192700,10320.000000,16,0,12,1,Cho2017,CSP+SVM
0.360502,6.074668,10320.000000,17,0,12,1,Cho2017,CSP+SVM
0.371069,6.208467,10320.000000,18,0,12,1,Cho2017,CSP+SVM
0.612822,6.175760,10320.000000,19,0,12,1,Cho2017,CSP+SVM
0.573333,6.242296,10320.000000,20,0,12,1,Cho2017,CSP+SVM
0.592003,6.237032,10320.000000,21,0,12,1,Cho2017,CSP+SVM
0.615537,6.274982,10320.000000,22,0,12,1,Cho2017,CSP+SVM
0.408085,6.208693,10320.000000,23,0,12,1,Cho2017,CSP+SVM
0.549451,6.423908,10320.000000,24,0,12,1,Cho2017,CSP+SVM
0.564941,6.229759,10320.000000,25,0,12,1,Cho2017,CSP+SVM
0.507819,6.246534,10320.000000,26,0,12,1,Cho2017,CSP+SVM
0.347861,6.248188,10320.000000,27,0,12,1,Cho2017,CSP+SVM
0.455069,6.299953,10320.000000,28,0,12,1,Cho2017,CSP+SVM
0.531250,6.244972,10320.000000,29,0,12,1,Cho2017,CSP+SVM
0.398847,6.225195,10320.000000,30,0,12,1,Cho2017,CSP+SVM
0.493724,6.145736,10320.000000,31,0,12,1,Cho2017,CSP+SVM
0.342019,6.313967,10320.000000,32,0,12,1,Cho2017,CSP+SVM
0.517460,6.270706,10320.000000,33,0,12,1,Cho2017,CSP+SVM
0.401807,6.231092,10320.000000,34,0,12,1,Cho2017,CSP+SVM
