score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.544100,3.406655,10320.000000,1,0,8,1,Cho2017,CSP+LDA
0.556600,3.623800,10320.000000,2,0,8,1,Cho2017,CSP+LDA
0.610600,3.718977,10320.000000,3,0,8,1,Cho2017,CSP+LDA
0.502700,3.843048,10320.000000,4,0,8,1,Cho2017,CSP+LDA
0.708900,3.790361,10320.000000,5,0,8,1,Cho2017,CSP+LDA
0.529000,3.825924,10320.000000,6,0,8,1,Cho2017,CSP+LDA
0.534306,3.539394,10280.000000,7,0,8,1,Cho2017,CSP+LDA
0.549400,3.688429,10320.000000,8,0,8,1,Cho2017,CSP+LDA
0.490833,3.590242,10280.000000,9,0,8,1,Cho2017,CSP+LDA
0.590500,3.825901,10320.000000,10,0,8,1,Cho2017,CSP+LDA
0.532300,3.469979,10320.000000,11,0,8,1,Cho2017,CSP+LDA
0.432400,3.588578,10320.000000,12,0,8,1,Cho2017,CSP+LDA
0.397300,3.444346,10320.000000,13,0,8,1,Cho2017,CSP+LDA
0.517000,3.561612,10320.000000,14,0,8,1,Cho2017,CSP+LDA
0.475400,3.615940,10320.000000,15,0,8,1,Cho2017,CSP+LDA
0.544900,3.242148,10320.000000,16,0,8,1,Cho2017,CSP+LDA
0.503700,3.171560,10320.000000,17,0,8,1,Cho2017,CSP+LDA
0.529300,3.179551,10320.000000,18,0,8,1,Cho2017,CSP+LDA
0.514000,3.182540,10320.000000,19,0,8,1,Cho2017,CSP+LDA
0.684000,3.192226,10320.000000,20,0,8,1,Cho2017,CSP+LDA
0.585100,3.171693,10320.000000,21,0,8,1,Cho2017,CSP+LDA
0.657000,3.258507,10320.000000,22,0,8,1,Cho2017,CSP+LDA
0.577900,3.253643,10320.000000,23,0,8,1,Cho2017,CSP+LDA
0.536100,3.239248,10320.000000,24,0,8,1,Cho2017,CSP+LDA
0.499600,3.208279,10320.000000,25,0,8,1,Cho2017,CSP+LDA
0.494400,3.170325,10320.000000,26,0,8,1,Cho2017,CSP+LDA
0.452300,3.208545,10320.000000,27,0,8,1,Cho2017,CSP+LDA
0.405000,3.166513,10320.000000,28,0,8,1,Cho2017,CSP+LDA
0.527800,3.233452,10320.000000,29,0,8,1,Cho2017,CSP+LDA
0.421400,3.174630,10320.000000,30,0,8,1,Cho2017,CSP+LDA
0.506500,3.184950,10320.000000,31,0,8,1,Cho2017,CSP+LDA
0.501000,3.304935,10320.000000,32,0,8,1,Cho2017,CSP+LDA
0.474300,3.243282,10320.000000,33,0,8,1,Cho2017,CSP+LDA
0.467800,3.499014,10320.000000,34,0,8,1,Cho2017,CSP+LDA
0.463600,3.491273,10320.000000,35,0,8,1,Cho2017,CSP+LDA
0.562700,3.455848,10320.000000,36,0,8,1,Cho2017,CSP+LDA
0.609800,3.396419,10320.000000,37,0,8,1,Cho2017,CSP+LDA
0.473100,3.377727,10320.000000,38,0,8,1,Cho2017,CSP+LDA
0.580800,3.321569,10320.000000,39,0,8,1,Cho2017,CSP+LDA
0.573200,3.461399,10320.000000,40,0,8,1,Cho2017,CSP+LDA
