score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.447273,3.344173,10320.000000,1,0,8,1,Cho2017,CSP+LDA
0.497235,3.367752,10320.000000,2,0,8,1,Cho2017,CSP+LDA
0.435028,3.378258,10320.000000,3,0,8,1,Cho2017,CSP+LDA
0.500000,3.416270,10320.000000,4,0,8,1,Cho2017,CSP+LDA
0.410658,3.420468,10320.000000,5,0,8,1,Cho2017,CSP+LDA
0.333333,3.399407,10320.000000,6,0,8,1,Cho2017,CSP+LDA
0.331476,3.319891,10280.000000,7,0,8,1,Cho2017,CSP+LDA
0.454230,3.398196,10320.000000,8,0,8,1,Cho2017,CSP+LDA
0.492654,3.443227,10280.000000,9,0,8,1,Cho2017,CSP+LDA
0.355682,3.456052,10320.000000,10,0,8,1,Cho2017,CSP+LDA
0.526543,3.346894,10320.000000,11,0,8,1,Cho2017,CSP+LDA
0.344349,3.342575,10320.000000,12,0,8,1,Cho2017,CSP+LDA
0.410030,3.372135,10320.000000,13,0,8,1,Cho2017,CSP+LDA
0.350312,3.511099,10320.000000,14,0,8,1,Cho2017,CSP+LDA
0.350312,3.386675,10320.000000,15,0,8,1,Cho2017,CSP+LDA
0.333333,3.440949,10320.000000,16,0,8,1,Cho2017,CSP+LDA
0.395915,3.407092,10320.000000,17,0,8,1,Cho2017,CSP+LDA
0.333333,3.370264,10320.000000,18,0,8,1,Cho2017,CSP+LDA
0.467613,3.496042,10320.000000,19,0,8,1,Cho2017,CSP+LDA
0.494485,3.164420,10320.000000,20,0,8,1,Cho2017,CSP+LDA
0.428918,3.156249,10320.000000,21,0,8,1,Cho2017,CSP+LDA
0.519598,3.232496,10320.000000,22,0,8,1,Cho2017,CSP+LDA
0.518634,3.178809,10320.000000,23,0,8,1,Cho2017,CSP+LDA
0.464955,3.171781,10320.000000,24,0,8,1,Cho2017,CSP+LDA
0.454230,3.171469,10320.000000,25,0,8,1,Cho2017,CSP+LDA
0.350312,3.271177,10320.000000,26,0,8,1,Cho2017,CSP+LDA
0.333333,3.298888,10320.000000,27,0,8,1,Cho2017,CSP+LDA
0.353689,3.543533,10320.000000,28,0,8,1,Cho2017,CSP+LDA
0.350312,3.357537,10320.000000,29,0,8,1,Cho2017,CSP+LDA
0.322884,3.397597,10320.000000,30,0,8,1,Cho2017,CSP+LDA
0.342019,3.355485,10320.000000,31,0,8,1,Cho2017,CSP+LDA
0.495811,3.326600,10320.000000,32,0,8,1,Cho2017,CSP+LDA
0.360775,3.386417,10320.000000,33,0,8,1,Cho2017,CSP+LDA
0.430199,3.380033,10320.000000,34,0,8,1,Cho2017,CSP+LDA
0.333333,3.378764,10320.000000,35,0,8,1,Cho2017,CSP+LDA
0.491965,3.362388,10320.000000,36,0,8,1,Cho2017,CSP+LDA
0.447921,3.400629,10320.000000,37,0,8,1,Cho2017,CSP+LDA
0.339675,3.547132,10320.000000,38,0,8,1,Cho2017,CSP+LDA
0.331104,3.342269,10320.000000,39,0,8,1,Cho2017,CSP+LDA
0.567501,3.453036,10320.000000,40,0,8,1,Cho2017,CSP+LDA
0.604911,3.405699,10320.000000,41,0,8,1,Cho2017,CSP+LDA
0.331104,3.349368,10320.000000,42,0,8,1,Cho2017,CSP+LDA
0.537428,3.669072,10320.000000,43,0,8,1,Cho2017,CSP+LDA
0.385580,3.166058,10320.000000,44,0,8,1,Cho2017,CSP+LDA
0.518634,3.200416,10320.000000,45,0,8,1,Cho2017,CSP+LDA
0.367211,3.220402,10280.000000,46,0,8,1,Cho2017,CSP+LDA
0.404762,3.214365,10320.000000,47,0,8,1,Cho2017,CSP+LDA
0.352751,3.228224,10320.000000,48,0,8,1,Cho2017,CSP+LDA
0.711823,3.234041,10320.000000,49,0,8,1,Cho2017,CSP+LDA
0.333333,3.158373,10320.000000,50,0,8,1,Cho2017,CSP+LDA
0.413601,3.236598,10320.000000,51,0,8,1,Cho2017,CSP+LDA
0.342019,3.198783,10320.000000,52,0,8,1,Cho2017,CSP+LDA
0.557761,1.503281,10320.000000,1,0,8,1,Cho2017,TS+LR
0.450150,1.507739,10320.000000,2,0,8,1,Cho2017,TS+LR
0.581221,1.490733,10320.000000,3,0,8,1,Cho2017,TS+LR
0.613153,1.505845,10320.000000,4,0,8,1,Cho2017,TS+LR
0.513307,1.509874,10320.000000,5,0,8,1,Cho2017,TS+LR
0.543619,1.497919,10320.000000,6,0,8,1,Cho2017,TS+LR
0.560218,1.498365,10280.000000,7,0,8,1,Cho2017,TS+LR
0.479390,1.502491,10320.000000,8,0,8,1,Cho2017,TS+LR
0.409400,1.486132,10280.000000,9,0,8,1,Cho2017,TS+LR
0.491649,1.584035,10320.000000,10,0,8,1,Cho2017,TS+LR
0.492695,1.501432,10320.000000,11,0,8,1,Cho2017,TS+LR
0.505715,1.499834,10320.000000,12,0,8,1,Cho2017,TS+LR
0.395380,1.495235,10320.000000,13,0,8,1,Cho2017,TS+LR
0.524284,1.496283,10320.000000,14,0,8,1,Cho2017,TS+LR
0.373041,1.505036,10320.000000,15,0,8,1,Cho2017,TS+LR
0.385580,1.502448,10320.000000,16,0,8,1,Cho2017,TS+LR
0.401817,1.507749,10320.000000,17,0,8,1,Cho2017,TS+LR
0.585859,1.501654,10320.000000,18,0,8,1,Cho2017,TS+LR
0.571129,1.483441,10320.000000,19,0,8,1,Cho2017,TS+LR
0.648596,1.485860,10320.000000,20,0,8,1,Cho2017,TS+LR
0.520945,1.481994,10320.000000,21,0,8,1,Cho2017,TS+LR
0.593282,1.482774,10320.000000,22,0,8,1,Cho2017,TS+LR
0.589959,1.489578,10320.000000,23,0,8,1,Cho2017,TS+LR
0.376299,1.482435,10320.000000,24,0,8,1,Cho2017,TS+LR
0.434645,1.477887,10320.000000,25,0,8,1,Cho2017,TS+LR
0.475925,1.478144,10320.000000,26,0,8,1,Cho2017,TS+LR
0.339675,1.493261,10320.000000,27,0,8,1,Cho2017,TS+LR
0.481010,1.491017,10320.000000,28,0,8,1,Cho2017,TS+LR
0.477562,1.486664,10320.000000,29,0,8,1,Cho2017,TS+LR
0.459404,1.484569,10320.000000,30,0,8,1,Cho2017,TS+LR
0.396740,1.486711,10320.000000,31,0,8,1,Cho2017,TS+LR
0.414092,1.489524,10320.000000,32,0,8,1,Cho2017,TS+LR
0.486715,1.502373,10320.000000,33,0,8,1,Cho2017,TS+LR
0.536244,1.533168,10320.000000,34,0,8,1,Cho2017,TS+LR
0.448217,1.500220,10320.000000,35,0,8,1,Cho2017,TS+LR
0.573711,1.499970,10320.000000,36,0,8,1,Cho2017,TS+LR
0.357176,1.492430,10320.000000,37,0,8,1,Cho2017,TS+LR
0.584010,1.489606,10320.000000,38,0,8,1,Cho2017,TS+LR
