score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.777600,6.394536,10320.000000,1,0,9,1,Cho2017,CSP+LDA
0.532600,5.605035,10320.000000,2,0,9,1,Cho2017,CSP+LDA
0.816900,5.455129,10320.000000,3,0,9,1,Cho2017,CSP+LDA
0.784000,5.606815,10320.000000,4,0,9,1,Cho2017,CSP+LDA
0.657900,5.597431,10320.000000,5,0,9,1,Cho2017,CSP+LDA
0.565500,5.511456,10320.000000,6,0,9,1,Cho2017,CSP+LDA
0.547292,5.557602,10280.000000,7,0,9,1,Cho2017,CSP+LDA
0.530900,5.488308,10320.000000,8,0,9,1,Cho2017,CSP+LDA
0.760694,5.492351,10280.000000,9,0,9,1,Cho2017,CSP+LDA
0.790500,5.511737,10320.000000,10,0,9,1,Cho2017,CSP+LDA
0.778400,5.665894,10320.000000,11,0,9,1,Cho2017,CSP+LDA
0.760100,5.572664,10320.000000,12,0,9,1,Cho2017,CSP+LDA
0.457300,5.905154,10320.000000,13,0,9,1,Cho2017,CSP+LDA
0.990600,5.616542,10320.000000,14,0,9,1,Cho2017,CSP+LDA
0.711500,5.709150,10320.000000,15,0,9,1,Cho2017,CSP+LDA
0.630000,5.706212,10320.000000,16,0,9,1,Cho2017,CSP+LDA
0.539200,5.562094,10320.000000,17,0,9,1,Cho2017,CSP+LDA
0.707100,5.651758,10320.000000,18,0,9,1,Cho2017,CSP+LDA
0.694300,5.585232,10320.000000,19,0,9,1,Cho2017,CSP+LDA
0.728400,5.748761,10320.000000,20,0,9,1,Cho2017,CSP+LDA
0.695200,5.688195,10320.000000,21,0,9,1,Cho2017,CSP+LDA
0.722500,5.342197,10320.000000,22,0,9,1,Cho2017,CSP+LDA
0.707800,5.303308,10320.000000,23,0,9,1,Cho2017,CSP+LDA
0.738100,5.617507,10320.000000,24,0,9,1,Cho2017,CSP+LDA
0.754100,5.679990,10320.000000,25,0,9,1,Cho2017,CSP+LDA
0.557900,5.668281,10320.000000,26,0,9,1,Cho2017,CSP+LDA
0.558600,5.500083,10320.000000,27,0,9,1,Cho2017,CSP+LDA
0.440600,5.446250,10320.000000,28,0,9,1,Cho2017,CSP+LDA
0.550000,5.607075,10320.000000,29,0,9,1,Cho2017,CSP+LDA
0.712400,5.532118,10320.000000,30,0,9,1,Cho2017,CSP+LDA
0.735300,5.713583,10320.000000,31,0,9,1,Cho2017,CSP+LDA
0.513500,5.328104,10320.000000,32,0,9,1,Cho2017,CSP+LDA
0.540000,5.666067,10320.000000,33,0,9,1,Cho2017,CSP+LDA
0.523200,5.569711,10320.000000,34,0,9,1,Cho2017,CSP+LDA
0.411400,5.614169,10320.000000,35,0,9,1,Cho2017,CSP+LDA
0.711000,5.725174,10320.000000,36,0,9,1,Cho2017,CSP+LDA
0.564000,5.653193,10320.000000,37,0,9,1,Cho2017,CSP+LDA
0.570300,5.311445,10320.000000,38,0,9,1,Cho2017,CSP+LDA
0.680700,5.565719,10320.000000,39,0,9,1,Cho2017,CSP+LDA
0.524400,5.320596,10320.000000,40,0,9,1,Cho2017,CSP+LDA
0.888300,5.457128,10320.000000,41,0,9,1,Cho2017,CSP+LDA
0.671300,5.506283,10320.000000,42,0,9,1,Cho2017,CSP+LDA
0.986900,5.754281,10320.000000,43,0,9,1,Cho2017,CSP+LDA
0.629400,5.473200,10320.000000,44,0,9,1,Cho2017,CSP+LDA
0.654400,5.679263,10320.000000,45,0,9,1,Cho2017,CSP+LDA
0.545208,5.505250,10280.000000,46,0,9,1,Cho2017,CSP+LDA
0.687400,5.590438,10320.000000,47,0,9,1,Cho2017,CSP+LDA
0.786900,5.462346,10320.000000,48,0,9,1,Cho2017,CSP+LDA
0.678100,5.459456,10320.000000,49,0,9,1,Cho2017,CSP+LDA
0.502600,5.549121,10320.000000,50,0,9,1,Cho2017,CSP+LDA
0.647100,5.501199,10320.000000,51,0,9,1,Cho2017,CSP+LDA
0.653700,5.709592,10320.000000,52,0,9,1,Cho2017,CSP+LDA
0.760000,2.044126,10320.000000,1,0,9,1,Cho2017,TS+EL
0.548100,2.004817,10320.000000,2,0,9,1,Cho2017,TS+EL
0.823300,1.992838,10320.000000,3,0,9,1,Cho2017,TS+EL
0.805900,1.989436,10320.000000,4,0,9,1,Cho2017,TS+EL
0.674100,1.951630,10320.000000,5,0,9,1,Cho2017,TS+EL
0.562700,1.965142,10320.000000,6,0,9,1,Cho2017,TS+EL
0.530486,1.962598,10280.000000,7,0,9,1,Cho2017,TS+EL
0.486700,2.014413,10320.000000,8,0,9,1,Cho2017,TS+EL
0.718194,2.020293,10280.000000,9,0,9,1,Cho2017,TS+EL
0.833500,2.001873,10320.000000,10,0,9,1,Cho2017,TS+EL
0.716000,1.966006,10320.000000,11,0,9,1,Cho2017,TS+EL
0.806500,1.970856,10320.000000,12,0,9,1,Cho2017,TS+EL
0.465900,1.966003,10320.000000,13,0,9,1,Cho2017,TS+EL
0.955600,1.965223,10320.000000,14,0,9,1,Cho2017,TS+EL
0.740100,2.006152,10320.000000,15,0,9,1,Cho2017,TS+EL
0.661200,2.051725,10320.000000,16,0,9,1,Cho2017,TS+EL
0.497900,2.044502,10320.000000,17,0,9,1,Cho2017,TS+EL
0.724100,1.876804,10320.000000,18,0,9,1,Cho2017,TS+EL
0.750800,1.922603,10320.000000,19,0,9,1,Cho2017,TS+EL
0.705700,2.193540,10320.000000,20,0,9,1,Cho2017,TS+EL
0.734800,1.982131,10320.000000,21,0,9,1,Cho2017,TS+EL
0.708500,2.010144,10320.000000,22,0,9,1,Cho2017,TS+EL
0.779600,1.919947,10320.000000,23,0,9,1,Cho2017,TS+EL
0.738600,1.923814,10320.000000,24,0,9,1,Cho2017,TS+EL
0.756500,1.970766,10320.000000,25,0,9,1,Cho2017,TS+EL
0.576900,2.041936,10320.000000,26,0,9,1,Cho2017,TS+EL
0.635600,1.918726,10320.000000,27,0,9,1,Cho2017,TS+EL
0.480500,1.935871,10320.000000,28,0,9,1,Cho2017,TS+EL
