score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.501042,5.393903,10320.000000,1,0,9,1,Cho2017,CSP+LDA
0.466667,5.375774,10320.000000,2,0,9,1,Cho2017,CSP+LDA
0.721314,5.658112,10320.000000,3,0,9,1,Cho2017,CSP+LDA
0.688764,5.534778,10320.000000,4,0,9,1,Cho2017,CSP+LDA
0.502446,5.501337,10320.000000,5,0,9,1,Cho2017,CSP+LDA
0.518634,5.517070,10320.000000,6,0,9,1,Cho2017,CSP+LDA
0.529653,5.461866,10280.000000,7,0,9,1,Cho2017,CSP+LDA
0.499671,5.563317,10320.000000,8,0,9,1,Cho2017,CSP+LDA
0.649040,5.651036,10280.000000,9,0,9,1,Cho2017,CSP+LDA
0.663483,5.624018,10320.000000,10,0,9,1,Cho2017,CSP+LDA
0.608589,5.636950,10320.000000,11,0,9,1,Cho2017,CSP+LDA
0.636892,5.790182,10320.000000,12,0,9,1,Cho2017,CSP+LDA
0.475925,5.503791,10320.000000,13,0,9,1,Cho2017,CSP+LDA
0.944966,5.574538,10320.000000,14,0,9,1,Cho2017,CSP+LDA
0.460018,5.733490,10320.000000,15,0,9,1,Cho2017,CSP+LDA
0.594503,5.492412,10320.000000,16,0,9,1,Cho2017,CSP+LDA
0.458909,5.654765,10320.000000,17,0,9,1,Cho2017,CSP+LDA
0.540282,5.562246,10320.000000,18,0,9,1,Cho2017,CSP+LDA
0.618627,5.555522,10320.000000,19,0,9,1,Cho2017,CSP+LDA
0.451142,5.758348,10320.000000,20,0,9,1,Cho2017,CSP+LDA
0.595277,5.563947,10320.000000,21,0,9,1,Cho2017,CSP+LDA
0.617611,5.525981,10320.000000,22,0,9,1,Cho2017,CSP+LDA
0.540282,5.612913,10320.000000,23,0,9,1,Cho2017,CSP+LDA
0.653128,5.501700,10320.000000,24,0,9,1,Cho2017,CSP+LDA
0.574908,5.594187,10320.000000,25,0,9,1,Cho2017,CSP+LDA
0.412364,5.329154,10320.000000,26,0,9,1,Cho2017,CSP+LDA
0.355178,5.363452,10320.000000,27,0,9,1,Cho2017,CSP+LDA
0.333333,5.308037,10320.000000,28,0,9,1,Cho2017,CSP+LDA
0.564989,5.508252,10320.000000,29,0,9,1,Cho2017,CSP+LDA
0.417163,5.583070,10320.000000,30,0,9,1,Cho2017,CSP+LDA
0.652174,5.513883,10320.000000,31,0,9,1,Cho2017,CSP+LDA
0.342019,5.643842,10320.000000,32,0,9,1,Cho2017,CSP+LDA
0.530765,5.783689,10320.000000,33,0,9,1,Cho2017,CSP+LDA
0.493592,5.332243,10320.000000,34,0,9,1,Cho2017,CSP+LDA
0.405843,5.574380,10320.000000,35,0,9,1,Cho2017,CSP+LDA
0.634740,5.405869,10320.000000,36,0,9,1,Cho2017,CSP+LDA
0.435636,5.627840,10320.000000,37,0,9,1,Cho2017,CSP+LDA
0.386602,5.622418,10320.000000,38,0,9,1,Cho2017,CSP+LDA
0.403856,5.600362,10320.000000,39,0,9,1,Cho2017,CSP+LDA
0.407712,5.536353,10320.000000,40,0,9,1,Cho2017,CSP+LDA
0.702886,5.560244,10320.000000,41,0,9,1,Cho2017,CSP+LDA
0.634918,5.568538,10320.000000,42,0,9,1,Cho2017,CSP+LDA
0.939994,5.437270,10320.000000,43,0,9,1,Cho2017,CSP+LDA
0.585030,5.523929,10320.000000,44,0,9,1,Cho2017,CSP+LDA
0.553655,5.453743,10320.000000,45,0,9,1,Cho2017,CSP+LDA
0.367211,5.456991,10280.000000,46,0,9,1,Cho2017,CSP+LDA
0.618039,5.514181,10320.000000,47,0,9,1,Cho2017,CSP+LDA
0.630451,5.578504,10320.000000,48,0,9,1,Cho2017,CSP+LDA
0.629667,5.693351,10320.000000,49,0,9,1,Cho2017,CSP+LDA
0.482549,5.722969,10320.000000,50,0,9,1,Cho2017,CSP+LDA
0.498663,5.547869,10320.000000,51,0,9,1,Cho2017,CSP+LDA
0.509804,5.533008,10320.000000,52,0,9,1,Cho2017,CSP+LDA
0.685471,1.962761,10320.000000,1,0,9,1,Cho2017,TS+EL
0.534895,2.007208,10320.000000,2,0,9,1,Cho2017,TS+EL
0.707024,2.036349,10320.000000,3,0,9,1,Cho2017,TS+EL
0.580713,1.880878,10320.000000,4,0,9,1,Cho2017,TS+EL
0.634259,1.955340,10320.000000,5,0,9,1,Cho2017,TS+EL
0.588519,1.940471,10320.000000,6,0,9,1,Cho2017,TS+EL
0.524802,1.987103,10280.000000,7,0,9,1,Cho2017,TS+EL
0.512987,1.971373,10320.000000,8,0,9,1,Cho2017,TS+EL
0.597143,1.928440,10280.000000,9,0,9,1,Cho2017,TS+EL
0.739766,1.993351,10320.000000,10,0,9,1,Cho2017,TS+EL
0.570080,2.086931,10320.000000,11,0,9,1,Cho2017,TS+EL
0.574908,1.982908,10320.000000,12,0,9,1,Cho2017,TS+EL
0.449119,1.960233,10320.000000,13,0,9,1,Cho2017,TS+EL
0.837250,1.995361,10320.000000,14,0,9,1,Cho2017,TS+EL
0.689969,2.016618,10320.000000,15,0,9,1,Cho2017,TS+EL
0.525402,1.894103,10320.000000,16,0,9,1,Cho2017,TS+EL
0.479259,1.921321,10320.000000,17,0,9,1,Cho2017,TS+EL
0.567348,1.961984,10320.000000,18,0,9,1,Cho2017,TS+EL
0.668015,1.991983,10320.000000,19,0,9,1,Cho2017,TS+EL
0.509971,1.962845,10320.000000,20,0,9,1,Cho2017,TS+EL
0.673837,1.952791,10320.000000,21,0,9,1,Cho2017,TS+EL
0.579333,1.923325,10320.000000,22,0,9,1,Cho2017,TS+EL
0.645344,2.016471,10320.000000,23,0,9,1,Cho2017,TS+EL
0.509677,1.973038,10320.000000,24,0,9,1,Cho2017,TS+EL
0.620820,1.941559,10320.000000,25,0,9,1,Cho2017,TS+EL
0.509804,1.898384,10320.000000,26,0,9,1,Cho2017,TS+EL
0.595101,1.891567,10320.000000,27,0,9,1,Cho2017,TS+EL
0.333333,2.139462,10320.000000,28,0,9,1,Cho2017,TS+EL
0.561834,2.061385,10320.000000,29,0,9,1,Cho2017,TS+EL
0.694809,1.896891,10320.000000,30,0,9,1,Cho2017,TS+EL
0.660000,1.911496,10320.000000,31,0,9,1,Cho2017,TS+EL
0.558897,2.055287,10320.000000,32,0,9,1,Cho2017,TS+EL
0.534988,1.947150,10320.000000,33,0,9,1,Cho2017,TS+EL
0.490676,1.892282,10320.000000,34,0,9,1,Cho2017,TS+EL
0.417294,2.030332,10320.000000,35,0,9,1,Cho2017,TS+EL
0.648277,1.941696,10320.000000,36,0,9,1,Cho2017,TS+EL
0.486139,1.911959,10320.000000,37,0,9,1,Cho2017,TS+EL
0.423008,1.917581,10320.000000,38,0,9,1,Cho2017,TS+EL
0.512464,1.966635,10320.000000,39,0,9,1,Cho2017,TS+EL
0.493724,1.965538,10320.000000,40,0,9,1,Cho2017,TS+EL
0.746318,1.972610,10320.000000,41,0,9,1,Cho2017,TS+EL
0.679712,2.001529,10320.000000,42,0,9,1,Cho2017,TS+EL
0.944933,2.081336,10320.000000,43,0,9,1,Cho2017,TS+EL
0.580648,1.936161,10320.000000,44,0,9,1,Cho2017,TS+EL
0.609961,1.940822,10320.000000,45,0,9,1,Cho2017,TS+EL
0.540230,1.937767,10280.000000,46,0,9,1,Cho2017,TS+EL
0.490210,2.028728,10320.000000,47,0,9,1,Cho2017,TS+EL
0.784348,1.961354,10320.000000,48,0,9,1,Cho2017,TS+EL
0.602837,1.846942,10320.000000,49,0,9,1,Cho2017,TS+EL
0.500492,1.907529,10320.000000,50,0,9,1,Cho2017,TS+EL
0.542900,1.980104,10320.000000,51,0,9,1,Cho2017,TS+EL
0.595394,2.072534,10320.000000,52,0,9,1,Cho2017,TS+EL
0.663105,3.693494,10320.000000,1,0,9,1,Cho2017,TS+SVM
0.538338,3.411612,10320.000000,2,0,9,1,Cho2017,TS+SVM
0.715255,3.623105,10320.000000,3,0,9,1,Cho2017,TS+SVM
0.580713,3.451713,10320.000000,4,0,9,1,Cho2017,TS+SVM
0.613366,3.516923,10320.000000,5,0,9,1,Cho2017,TS+SVM
0.557166,3.536144,10320.000000,6,0,9,1,Cho2017,TS+SVM
0.515016,3.410460,10280.000000,7,0,9,1,Cho2017,TS+SVM
0.498747,3.486759,10320.000000,8,0,9,1,Cho2017,TS+SVM
0.601990,3.388823,10280.000000,9,0,9,1,Cho2017,TS+SVM
0.744841,3.591468,10320.000000,10,0,9,1,Cho2017,TS+SVM
0.585921,3.467348,10320.000000,11,0,9,1,Cho2017,TS+SVM
0.559727,3.670246,10320.000000,12,0,9,1,Cho2017,TS+SVM
0.467390,3.425034,10320.000000,13,0,9,1,Cho2017,TS+SVM
0.868938,3.615373,10320.000000,14,0,9,1,Cho2017,TS+SVM
0.709971,3.568833,10320.000000,15,0,9,1,Cho2017,TS+SVM
0.519598,3.431465,10320.000000,16,0,9,1,Cho2017,TS+SVM
0.481233,3.474370,10320.000000,17,0,9,1,Cho2017,TS+SVM
0.576823,3.409638,10320.000000,18,0,9,1,Cho2017,TS+SVM
0.662153,3.511641,10320.000000,19,0,9,1,Cho2017,TS+SVM
0.494485,3.585427,10320.000000,20,0,9,1,Cho2017,TS+SVM
0.663093,3.493540,10320.000000,21,0,9,1,Cho2017,TS+SVM
0.568547,3.501521,10320.000000,22,0,9,1,Cho2017,TS+SVM
0.639865,3.487643,10320.000000,23,0,9,1,Cho2017,TS+SVM
0.528931,3.457893,10320.000000,24,0,9,1,Cho2017,TS+SVM
0.625468,3.551670,10320.000000,25,0,9,1,Cho2017,TS+SVM
0.518797,3.557369,10320.000000,26,0,9,1,Cho2017,TS+SVM
0.552000,3.589275,10320.000000,27,0,9,1,Cho2017,TS+SVM
0.333333,3.536352,10320.000000,28,0,9,1,Cho2017,TS+SVM
0.563718,3.580472,10320.000000,29,0,9,1,Cho2017,TS+SVM
0.694992,3.538331,10320.000000,30,0,9,1,Cho2017,TS+SVM
0.674992,3.714481,10320.000000,31,0,9,1,Cho2017,TS+SVM
0.562539,3.452607,10320.000000,32,0,9,1,Cho2017,TS+SVM
0.524893,3.608907,10320.000000,33,0,9,1,Cho2017,TS+SVM
0.450118,3.434191,10320.000000,34,0,9,1,Cho2017,TS+SVM
0.418605,3.577232,10320.000000,35,0,9,1,Cho2017,TS+SVM
0.648735,3.584783,10320.000000,36,0,9,1,Cho2017,TS+SVM
0.483516,3.586920,10320.000000,37,0,9,1,Cho2017,TS+SVM
0.423008,3.486858,10320.000000,38,0,9,1,Cho2017,TS+SVM
0.502274,3.487533,10320.000000,39,0,9,1,Cho2017,TS+SVM
0.498721,3.505934,10320.000000,40,0,9,1,Cho2017,TS+SVM
0.751964,3.448235,10320.000000,41,0,9,1,Cho2017,TS+SVM
0.679872,3.503555,10320.000000,42,0,9,1,Cho2017,TS+SVM
0.954972,3.442834,10320.000000,43,0,9,1,Cho2017,TS+SVM
0.599754,3.596069,10320.000000,44,0,9,1,Cho2017,TS+SVM
0.624540,3.594459,10320.000000,45,0,9,1,Cho2017,TS+SVM
0.551435,3.508706,10280.000000,46,0,9,1,Cho2017,TS+SVM
0.490210,3.557724,10320.000000,47,0,9,1,Cho2017,TS+SVM
0.778203,3.611381,10320.000000,48,0,9,1,Cho2017,TS+SVM
0.615769,3.653815,10320.000000,49,0,9,1,Cho2017,TS+SVM
0.513528,3.535040,10320.000000,50,0,9,1,Cho2017,TS+SVM
0.530516,3.476469,10320.000000,51,0,9,1,Cho2017,TS+SVM
0.602837,3.370839,10320.000000,52,0,9,1,Cho2017,TS+SVM
0.685471,2.460586,10320.000000,1,0,9,1,Cho2017,TS+LR
0.529812,2.738319,10320.000000,2,0,9,1,Cho2017,TS+LR
0.707024,2.923142,10320.000000,3,0,9,1,Cho2017,TS+LR
0.587790,2.653972,10320.000000,4,0,9,1,Cho2017,TS+LR
0.639098,2.763897,10320.000000,5,0,9,1,Cho2017,TS+LR
0.583239,2.753067,10320.000000,6,0,9,1,Cho2017,TS+LR
0.520202,2.466417,10280.000000,7,0,9,1,Cho2017,TS+LR
0.497143,2.685197,10320.000000,8,0,9,1,Cho2017,TS+LR
0.597143,2.834050,10280.000000,9,0,9,1,Cho2017,TS+LR
0.744687,2.754489,10320.000000,10,0,9,1,Cho2017,TS+LR
0.570080,2.705496,10320.000000,11,0,9,1,Cho2017,TS+LR
0.559727,2.698473,10320.000000,12,0,9,1,Cho2017,TS+LR
0.454332,2.766701,10320.000000,13,0,9,1,Cho2017,TS+LR
0.837250,2.538749,10320.000000,14,0,9,1,Cho2017,TS+LR
0.700000,2.619985,10320.000000,15,0,9,1,Cho2017,TS+LR
0.525402,2.461156,10320.000000,16,0,9,1,Cho2017,TS+LR
0.489370,2.941793,10320.000000,17,0,9,1,Cho2017,TS+LR
