score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.546200,1.423589,10320.000000,1,0,5,1,Cho2017,TS+LR
0.489500,1.470930,10320.000000,2,0,5,1,Cho2017,TS+LR
0.540700,1.437940,10320.000000,3,0,5,1,Cho2017,TS+LR
0.515300,1.353009,10320.000000,4,0,5,1,Cho2017,TS+LR
0.591400,1.474779,10320.000000,5,0,5,1,Cho2017,TS+LR
0.516800,1.412778,10320.000000,6,0,5,1,Cho2017,TS+LR
0.561944,1.549916,10280.000000,7,0,5,1,Cho2017,TS+LR
0.482100,1.437162,10320.000000,8,0,5,1,Cho2017,TS+LR
0.552222,1.406206,10280.000000,9,0,5,1,Cho2017,TS+LR
0.555800,1.451260,10320.000000,10,0,5,1,Cho2017,TS+LR
0.489400,1.427057,10320.000000,11,0,5,1,Cho2017,TS+LR
0.447400,1.456342,10320.000000,12,0,5,1,Cho2017,TS+LR
0.516600,1.477250,10320.000000,13,0,5,1,Cho2017,TS+LR
0.469800,1.462325,10320.000000,14,0,5,1,Cho2017,TS+LR
0.570900,1.460066,10320.000000,15,0,5,1,Cho2017,TS+LR
0.547800,1.378190,10320.000000,16,0,5,1,Cho2017,TS+LR
0.452000,1.461820,10320.000000,17,0,5,1,Cho2017,TS+LR
0.551900,1.449725,10320.000000,18,0,5,1,Cho2017,TS+LR
0.557200,1.389606,10320.000000,19,0,5,1,Cho2017,TS+LR
0.583800,1.428273,10320.000000,20,0,5,1,Cho2017,TS+LR
0.639100,1.494294,10320.000000,21,0,5,1,Cho2017,TS+LR
0.595700,1.497368,10320.000000,22,0,5,1,Cho2017,TS+LR
0.543600,1.404338,10320.000000,23,0,5,1,Cho2017,TS+LR
0.549100,1.402825,10320.000000,24,0,5,1,Cho2017,TS+LR
0.597600,1.432477,10320.000000,25,0,5,1,Cho2017,TS+LR
0.652000,1.401393,10320.000000,26,0,5,1,Cho2017,TS+LR
0.509500,1.350822,10320.000000,27,0,5,1,Cho2017,TS+LR
0.570100,1.355429,10320.000000,28,0,5,1,Cho2017,TS+LR
0.467700,1.394059,10320.000000,29,0,5,1,Cho2017,TS+LR
0.499400,1.402951,10320.000000,30,0,5,1,Cho2017,TS+LR
0.479200,1.552680,10320.000000,31,0,5,1,Cho2017,TS+LR
0.608300,1.456479,10320.000000,32,0,5,1,Cho2017,TS+LR
0.497800,1.373727,10320.000000,33,0,5,1,Cho2017,TS+LR
0.519400,1.452161,10320.000000,34,0,5,1,Cho2017,TS+LR
0.450000,1.394676,10320.000000,35,0,5,1,Cho2017,TS+LR
0.492800,1.409066,10320.000000,36,0,5,1,Cho2017,TS+LR
0.614700,1.418317,10320.000000,37,0,5,1,Cho2017,TS+LR
0.547300,1.465466,10320.000000,38,0,5,1,Cho2017,TS+LR
0.536800,1.430786,10320.000000,39,0,5,1,Cho2017,TS+LR
0.559000,1.460638,10320.000000,40,0,5,1,Cho2017,TS+LR
0.518400,1.389007,10320.000000,41,0,5,1,Cho2017,TS+LR
0.592500,1.395720,10320.000000,42,0,5,1,Cho2017,TS+LR
0.642100,1.401893,10320.000000,43,0,5,1,Cho2017,TS+LR
0.711200,1.425427,10320.000000,44,0,5,1,Cho2017,TS+LR
0.530800,1.378886,10320.000000,45,0,5,1,Cho2017,TS+LR
0.479861,1.482883,10280.000000,46,0,5,1,Cho2017,TS+LR
0.460100,1.437311,10320.000000,47,0,5,1,Cho2017,TS+LR
0.487800,1.361198,10320.000000,48,0,5,1,Cho2017,TS+LR
0.645400,1.453062,10320.000000,49,0,5,1,Cho2017,TS+LR
0.555500,1.422992,10320.000000,50,0,5,1,Cho2017,TS+LR
0.581300,1.379211,10320.000000,51,0,5,1,Cho2017,TS+LR
0.488300,1.396099,10320.000000,52,0,5,1,Cho2017,TS+LR
0.588700,3.663370,10320.000000,1,0,5,1,Cho2017,CSP+SVM
0.551800,3.592036,10320.000000,2,0,5,1,Cho2017,CSP+SVM
0.663000,3.645994,10320.000000,3,0,5,1,Cho2017,CSP+SVM
0.489600,3.544060,10320.000000,4,0,5,1,Cho2017,CSP+SVM
0.563600,3.775158,10320.000000,5,0,5,1,Cho2017,CSP+SVM
0.515400,3.629642,10320.000000,6,0,5,1,Cho2017,CSP+SVM
0.517222,3.545026,10280.000000,7,0,5,1,Cho2017,CSP+SVM
0.475200,3.693688,10320.000000,8,0,5,1,Cho2017,CSP+SVM
0.603958,3.521462,10280.000000,9,0,5,1,Cho2017,CSP+SVM
0.586900,3.639490,10320.000000,10,0,5,1,Cho2017,CSP+SVM
0.518300,3.505406,10320.000000,11,0,5,1,Cho2017,CSP+SVM
0.398200,3.603050,10320.000000,12,0,5,1,Cho2017,CSP+SVM
0.496600,3.570214,10320.000000,13,0,5,1,Cho2017,CSP+SVM
0.516600,3.849818,10320.000000,14,0,5,1,Cho2017,CSP+SVM
0.484000,3.583128,10320.000000,15,0,5,1,Cho2017,CSP+SVM
0.577300,3.497617,10320.000000,16,0,5,1,Cho2017,CSP+SVM
0.544400,3.590322,10320.000000,17,0,5,1,Cho2017,CSP+SVM
0.507600,3.539750,10320.000000,18,0,5,1,Cho2017,CSP+SVM
0.485900,3.817121,10320.000000,19,0,5,1,Cho2017,CSP+SVM
0.590400,3.586116,10320.000000,20,0,5,1,Cho2017,CSP+SVM
0.587200,3.506503,10320.000000,21,0,5,1,Cho2017,CSP+SVM
0.606000,3.541176,10320.000000,22,0,5,1,Cho2017,CSP+SVM
0.573300,3.580174,10320.000000,23,0,5,1,Cho2017,CSP+SVM
0.523700,3.598008,10320.000000,24,0,5,1,Cho2017,CSP+SVM
0.609500,3.597790,10320.000000,25,0,5,1,Cho2017,CSP+SVM
0.543800,3.793037,10320.000000,26,0,5,1,Cho2017,CSP+SVM
0.413800,3.648227,10320.000000,27,0,5,1,Cho2017,CSP+SVM
0.499500,3.621418,10320.000000,28,0,5,1,Cho2017,CSP+SVM
0.561400,3.727345,10320.000000,29,0,5,1,Cho2017,CSP+SVM
0.428800,3.782385,10320.000000,30,0,5,1,Cho2017,CSP+SVM
0.495200,3.643850,10320.000000,31,0,5,1,Cho2017,CSP+SVM
0.566600,3.637229,10320.000000,32,0,5,1,Cho2017,CSP+SVM
0.514600,3.546109,10320.000000,33,0,5,1,Cho2017,CSP+SVM
0.514900,3.569169,10320.000000,34,0,5,1,Cho2017,CSP+SVM
0.444900,3.733035,10320.000000,35,0,5,1,Cho2017,CSP+SVM
0.503200,3.649225,10320.000000,36,0,5,1,Cho2017,CSP+SVM
0.629900,3.627425,10320.000000,37,0,5,1,Cho2017,CSP+SVM
0.508500,3.505662,10320.000000,38,0,5,1,Cho2017,CSP+SVM
0.578500,3.509768,10320.000000,39,0,5,1,Cho2017,CSP+SVM
0.556800,3.792708,10320.000000,40,0,5,1,Cho2017,CSP+SVM
0.581100,3.564528,10320.000000,41,0,5,1,Cho2017,CSP+SVM
0.507000,3.480256,10320.000000,42,0,5,1,Cho2017,CSP+SVM
0.494800,3.628377,10320.000000,43,0,5,1,Cho2017,CSP+SVM
0.580400,3.816773,10320.000000,44,0,5,1,Cho2017,CSP+SVM
0.548400,3.492173,10320.000000,45,0,5,1,Cho2017,CSP+SVM
0.539583,3.578994,10280.000000,46,0,5,1,Cho2017,CSP+SVM
0.608300,3.642471,10320.000000,47,0,5,1,Cho2017,CSP+SVM
0.453700,3.869871,10320.000000,48,0,5,1,Cho2017,CSP+SVM
0.734700,3.814067,10320.000000,49,0,5,1,Cho2017,CSP+SVM
0.537300,3.555444,10320.000000,50,0,5,1,Cho2017,CSP+SVM
