score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.485078,1.463169,10320.000000,1,0,5,1,Cho2017,TS+LR
0.473935,1.459062,10320.000000,2,0,5,1,Cho2017,TS+LR
0.358234,1.383614,10320.000000,3,0,5,1,Cho2017,TS+LR
0.489541,1.422404,10320.000000,4,0,5,1,Cho2017,TS+LR
0.553112,1.369845,10320.000000,5,0,5,1,Cho2017,TS+LR
0.489362,1.415894,10320.000000,6,0,5,1,Cho2017,TS+LR
0.556825,1.480601,10280.000000,7,0,5,1,Cho2017,TS+LR
0.522985,1.461254,10320.000000,8,0,5,1,Cho2017,TS+LR
0.483358,1.369599,10280.000000,9,0,5,1,Cho2017,TS+LR
0.472403,1.449342,10320.000000,10,0,5,1,Cho2017,TS+LR
0.514121,1.364243,10320.000000,11,0,5,1,Cho2017,TS+LR
0.394965,1.452617,10320.000000,12,0,5,1,Cho2017,TS+LR
0.498332,1.483393,10320.000000,13,0,5,1,Cho2017,TS+LR
0.452113,1.423277,10320.000000,14,0,5,1,Cho2017,TS+LR
0.560102,1.433188,10320.000000,15,0,5,1,Cho2017,TS+LR
0.525253,1.473290,10320.000000,16,0,5,1,Cho2017,TS+LR
0.468672,1.405860,10320.000000,17,0,5,1,Cho2017,TS+LR
0.547101,1.564880,10320.000000,18,0,5,1,Cho2017,TS+LR
0.503996,1.437216,10320.000000,19,0,5,1,Cho2017,TS+LR
0.468316,1.440447,10320.000000,20,0,5,1,Cho2017,TS+LR
0.407712,1.472978,10320.000000,21,0,5,1,Cho2017,TS+LR
0.503829,1.493382,10320.000000,22,0,5,1,Cho2017,TS+LR
0.507587,1.601316,10320.000000,23,0,5,1,Cho2017,TS+LR
0.518404,1.361246,10320.000000,24,0,5,1,Cho2017,TS+LR
0.565972,1.399995,10320.000000,25,0,5,1,Cho2017,TS+LR
0.624540,1.446455,10320.000000,26,0,5,1,Cho2017,TS+LR
0.333333,1.374806,10320.000000,27,0,5,1,Cho2017,TS+LR
0.376299,1.433511,10320.000000,28,0,5,1,Cho2017,TS+LR
0.428325,1.418634,10320.000000,29,0,5,1,Cho2017,TS+LR
0.448924,1.480823,10320.000000,30,0,5,1,Cho2017,TS+LR
0.474356,1.412410,10320.000000,31,0,5,1,Cho2017,TS+LR
0.450678,1.395910,10320.000000,32,0,5,1,Cho2017,TS+LR
0.359695,1.426801,10320.000000,33,0,5,1,Cho2017,TS+LR
0.431818,1.386486,10320.000000,34,0,5,1,Cho2017,TS+LR
0.492857,1.397462,10320.000000,35,0,5,1,Cho2017,TS+LR
0.483258,1.460519,10320.000000,36,0,5,1,Cho2017,TS+LR
0.530667,1.388065,10320.000000,37,0,5,1,Cho2017,TS+LR
0.506649,1.535280,10320.000000,38,0,5,1,Cho2017,TS+LR
0.345366,1.485440,10320.000000,39,0,5,1,Cho2017,TS+LR
