score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.596600,2.179887,10320.000000,1,0,2,1,Cho2017,CSP+SVM
0.511800,2.312315,10320.000000,2,0,2,1,Cho2017,CSP+SVM
0.657500,2.184045,10320.000000,3,0,2,1,Cho2017,CSP+SVM
0.506500,2.113899,10320.000000,4,0,2,1,Cho2017,CSP+SVM
0.599800,2.289930,10320.000000,5,0,2,1,Cho2017,CSP+SVM
0.508800,2.067209,10320.000000,6,0,2,1,Cho2017,CSP+SVM
0.545764,2.119521,10280.000000,7,0,2,1,Cho2017,CSP+SVM
0.488900,2.215968,10320.000000,8,0,2,1,Cho2017,CSP+SVM
0.632500,2.221788,10280.000000,9,0,2,1,Cho2017,CSP+SVM
0.618700,2.233959,10320.000000,10,0,2,1,Cho2017,CSP+SVM
0.538000,2.222029,10320.000000,11,0,2,1,Cho2017,CSP+SVM
0.397800,2.090801,10320.000000,12,0,2,1,Cho2017,CSP+SVM
0.431100,1.994467,10320.000000,13,0,2,1,Cho2017,CSP+SVM
0.533100,2.104559,10320.000000,14,0,2,1,Cho2017,CSP+SVM
0.468300,2.052674,10320.000000,15,0,2,1,Cho2017,CSP+SVM
0.555800,2.157721,10320.000000,16,0,2,1,Cho2017,CSP+SVM
0.545400,2.124529,10320.000000,17,0,2,1,Cho2017,CSP+SVM
0.512900,2.116980,10320.000000,18,0,2,1,Cho2017,CSP+SVM
0.517900,2.123968,10320.000000,19,0,2,1,Cho2017,CSP+SVM
0.616600,2.167354,10320.000000,20,0,2,1,Cho2017,CSP+SVM
0.605400,2.247521,10320.000000,21,0,2,1,Cho2017,CSP+SVM
0.610700,2.195208,10320.000000,22,0,2,1,Cho2017,CSP+SVM
0.534300,2.084146,10320.000000,23,0,2,1,Cho2017,CSP+SVM
0.550500,2.112712,10320.000000,24,0,2,1,Cho2017,CSP+SVM
0.653600,2.172679,10320.000000,25,0,2,1,Cho2017,CSP+SVM
0.541400,2.202312,10320.000000,26,0,2,1,Cho2017,CSP+SVM
0.463000,2.143626,10320.000000,27,0,2,1,Cho2017,CSP+SVM
0.534100,2.193601,10320.000000,28,0,2,1,Cho2017,CSP+SVM
0.570200,2.132308,10320.000000,29,0,2,1,Cho2017,CSP+SVM
0.476300,2.022570,10320.000000,30,0,2,1,Cho2017,CSP+SVM
0.493400,2.107938,10320.000000,31,0,2,1,Cho2017,CSP+SVM
0.585200,2.308437,10320.000000,32,0,2,1,Cho2017,CSP+SVM
0.511400,2.282806,10320.000000,33,0,2,1,Cho2017,CSP+SVM
0.504500,2.118172,10320.000000,34,0,2,1,Cho2017,CSP+SVM
0.455100,2.055497,10320.000000,35,0,2,1,Cho2017,CSP+SVM
0.506100,2.201383,10320.000000,36,0,2,1,Cho2017,CSP+SVM
0.609800,2.171372,10320.000000,37,0,2,1,Cho2017,CSP+SVM
0.510300,2.153161,10320.000000,38,0,2,1,Cho2017,CSP+SVM
0.605700,2.212848,10320.000000,39,0,2,1,Cho2017,CSP+SVM
0.564200,2.309902,10320.000000,40,0,2,1,Cho2017,CSP+SVM
0.588800,2.259393,10320.000000,41,0,2,1,Cho2017,CSP+SVM
0.593800,2.029153,10320.000000,42,0,2,1,Cho2017,CSP+SVM
0.640000,2.073013,10320.000000,43,0,2,1,Cho2017,CSP+SVM
0.630000,2.039962,10320.000000,44,0,2,1,Cho2017,CSP+SVM
0.562100,2.197728,10320.000000,45,0,2,1,Cho2017,CSP+SVM
0.529514,2.220519,10280.000000,46,0,2,1,Cho2017,CSP+SVM
0.595000,2.094537,10320.000000,47,0,2,1,Cho2017,CSP+SVM
0.469900,2.325220,10320.000000,48,0,2,1,Cho2017,CSP+SVM
0.744000,2.173863,10320.000000,49,0,2,1,Cho2017,CSP+SVM
0.523900,2.167725,10320.000000,50,0,2,1,Cho2017,CSP+SVM
0.550400,2.092920,10320.000000,51,0,2,1,Cho2017,CSP+SVM
0.523500,2.045312,10320.000000,52,0,2,1,Cho2017,CSP+SVM
0.585200,1.079245,10320.000000,1,0,2,1,Cho2017,TS+EL
0.482100,1.141549,10320.000000,2,0,2,1,Cho2017,TS+EL
0.598100,1.116997,10320.000000,3,0,2,1,Cho2017,TS+EL
0.519600,1.050564,10320.000000,4,0,2,1,Cho2017,TS+EL
0.603500,1.081826,10320.000000,5,0,2,1,Cho2017,TS+EL
0.520200,1.111632,10320.000000,6,0,2,1,Cho2017,TS+EL
0.551250,1.107704,10280.000000,7,0,2,1,Cho2017,TS+EL
0.471200,1.079395,10320.000000,8,0,2,1,Cho2017,TS+EL
0.617917,1.105667,10280.000000,9,0,2,1,Cho2017,TS+EL
0.641100,1.104391,10320.000000,10,0,2,1,Cho2017,TS+EL
0.532500,1.132031,10320.000000,11,0,2,1,Cho2017,TS+EL
0.403700,1.079845,10320.000000,12,0,2,1,Cho2017,TS+EL
0.441800,1.125282,10320.000000,13,0,2,1,Cho2017,TS+EL
0.517100,1.118329,10320.000000,14,0,2,1,Cho2017,TS+EL
0.501000,1.092956,10320.000000,15,0,2,1,Cho2017,TS+EL
0.559200,1.057299,10320.000000,16,0,2,1,Cho2017,TS+EL
0.534400,1.145309,10320.000000,17,0,2,1,Cho2017,TS+EL
0.514900,1.062260,10320.000000,18,0,2,1,Cho2017,TS+EL
0.518300,1.103917,10320.000000,19,0,2,1,Cho2017,TS+EL
0.604200,1.089952,10320.000000,20,0,2,1,Cho2017,TS+EL
0.617400,1.065768,10320.000000,21,0,2,1,Cho2017,TS+EL
0.583500,1.118009,10320.000000,22,0,2,1,Cho2017,TS+EL
0.538700,1.117246,10320.000000,23,0,2,1,Cho2017,TS+EL
0.549300,1.070282,10320.000000,24,0,2,1,Cho2017,TS+EL
0.623100,1.120606,10320.000000,25,0,2,1,Cho2017,TS+EL
0.599000,1.124429,10320.000000,26,0,2,1,Cho2017,TS+EL
0.499800,1.237554,10320.000000,27,0,2,1,Cho2017,TS+EL
0.589400,1.141040,10320.000000,28,0,2,1,Cho2017,TS+EL
0.540300,1.087448,10320.000000,29,0,2,1,Cho2017,TS+EL
0.505600,1.090074,10320.000000,30,0,2,1,Cho2017,TS+EL
0.464700,1.052545,10320.000000,31,0,2,1,Cho2017,TS+EL
0.582600,1.168694,10320.000000,32,0,2,1,Cho2017,TS+EL
0.505600,1.140828,10320.000000,33,0,2,1,Cho2017,TS+EL
0.499700,1.104326,10320.000000,34,0,2,1,Cho2017,TS+EL
0.413400,1.103375,10320.000000,35,0,2,1,Cho2017,TS+EL
0.510300,1.146109,10320.000000,36,0,2,1,Cho2017,TS+EL
0.663400,1.163287,10320.000000,37,0,2,1,Cho2017,TS+EL
0.517600,1.082209,10320.000000,38,0,2,1,Cho2017,TS+EL
0.591400,1.144902,10320.000000,39,0,2,1,Cho2017,TS+EL
0.573400,1.069717,10320.000000,40,0,2,1,Cho2017,TS+EL
0.574200,1.160707,10320.000000,41,0,2,1,Cho2017,TS+EL
0.618900,1.174330,10320.000000,42,0,2,1,Cho2017,TS+EL
0.696600,1.161555,10320.000000,43,0,2,1,Cho2017,TS+EL
0.677400,1.105680,10320.000000,44,0,2,1,Cho2017,TS+EL
0.559800,1.056730,10320.000000,45,0,2,1,Cho2017,TS+EL
0.513542,1.050523,10280.000000,46,0,2,1,Cho2017,TS+EL
0.552800,1.161964,10320.000000,47,0,2,1,Cho2017,TS+EL
0.473700,1.145642,10320.000000,48,0,2,1,Cho2017,TS+EL
0.733300,1.258840,10320.000000,49,0,2,1,Cho2017,TS+EL
0.568200,1.121077,10320.000000,50,0,2,1,Cho2017,TS+EL
0.562300,1.138850,10320.000000,51,0,2,1,Cho2017,TS+EL
0.492800,1.084496,10320.000000,52,0,2,1,Cho2017,TS+EL
0.584900,1.069540,10320.000000,1,0,2,1,Cho2017,TS+LR
0.481900,1.104697,10320.000000,2,0,2,1,Cho2017,TS+LR
0.596700,1.058488,10320.000000,3,0,2,1,Cho2017,TS+LR
0.519900,1.039154,10320.000000,4,0,2,1,Cho2017,TS+LR
0.603300,1.111052,10320.000000,5,0,2,1,Cho2017,TS+LR
0.520100,1.100998,10320.000000,6,0,2,1,Cho2017,TS+LR
0.551806,1.096349,10280.000000,7,0,2,1,Cho2017,TS+LR
0.470700,1.071273,10320.000000,8,0,2,1,Cho2017,TS+LR
0.617986,1.068377,10280.000000,9,0,2,1,Cho2017,TS+LR
0.642500,1.110393,10320.000000,10,0,2,1,Cho2017,TS+LR
0.531700,1.056519,10320.000000,11,0,2,1,Cho2017,TS+LR
0.404100,1.085881,10320.000000,12,0,2,1,Cho2017,TS+LR
0.441900,1.060926,10320.000000,13,0,2,1,Cho2017,TS+LR
0.516900,1.120348,10320.000000,14,0,2,1,Cho2017,TS+LR
0.501300,1.141424,10320.000000,15,0,2,1,Cho2017,TS+LR
0.559100,1.060958,10320.000000,16,0,2,1,Cho2017,TS+LR
0.533900,1.122175,10320.000000,17,0,2,1,Cho2017,TS+LR
0.515200,1.051545,10320.000000,18,0,2,1,Cho2017,TS+LR
0.518200,1.110774,10320.000000,19,0,2,1,Cho2017,TS+LR
0.604200,1.095331,10320.000000,20,0,2,1,Cho2017,TS+LR
0.617800,1.094911,10320.000000,21,0,2,1,Cho2017,TS+LR
0.583500,1.098319,10320.000000,22,0,2,1,Cho2017,TS+LR
0.538800,1.066996,10320.000000,23,0,2,1,Cho2017,TS+LR
0.549800,1.100823,10320.000000,24,0,2,1,Cho2017,TS+LR
0.622300,1.067323,10320.000000,25,0,2,1,Cho2017,TS+LR
0.600200,1.063560,10320.000000,26,0,2,1,Cho2017,TS+LR
0.499600,1.065601,10320.000000,27,0,2,1,Cho2017,TS+LR
0.590100,1.121051,10320.000000,28,0,2,1,Cho2017,TS+LR
0.540000,1.078449,10320.000000,29,0,2,1,Cho2017,TS+LR
0.505900,1.089040,10320.000000,30,0,2,1,Cho2017,TS+LR
0.464800,1.157566,10320.000000,31,0,2,1,Cho2017,TS+LR
0.582400,1.096294,10320.000000,32,0,2,1,Cho2017,TS+LR
0.504900,1.059804,10320.000000,33,0,2,1,Cho2017,TS+LR
0.498900,1.160043,10320.000000,34,0,2,1,Cho2017,TS+LR
0.413200,1.074607,10320.000000,35,0,2,1,Cho2017,TS+LR
0.510100,1.101686,10320.000000,36,0,2,1,Cho2017,TS+LR
0.665300,1.101775,10320.000000,37,0,2,1,Cho2017,TS+LR
0.517100,1.088303,10320.000000,38,0,2,1,Cho2017,TS+LR
0.591500,1.103407,10320.000000,39,0,2,1,Cho2017,TS+LR
0.573900,1.086470,10320.000000,40,0,2,1,Cho2017,TS+LR
0.573900,1.109519,10320.000000,41,0,2,1,Cho2017,TS+LR
0.618800,1.145479,10320.000000,42,0,2,1,Cho2017,TS+LR
0.697800,1.153540,10320.000000,43,0,2,1,Cho2017,TS+LR
0.677300,1.045397,10320.000000,44,0,2,1,Cho2017,TS+LR
0.559700,1.072018,10320.000000,45,0,2,1,Cho2017,TS+LR
0.513333,1.064173,10280.000000,46,0,2,1,Cho2017,TS+LR
0.551900,1.112718,10320.000000,47,0,2,1,Cho2017,TS+LR
0.473900,1.101109,10320.000000,48,0,2,1,Cho2017,TS+LR
0.733000,1.116915,10320.000000,49,0,2,1,Cho2017,TS+LR
0.569500,1.052689,10320.000000,50,0,2,1,Cho2017,TS+LR
0.562600,1.042071,10320.000000,51,0,2,1,Cho2017,TS+LR
0.492700,1.104968,10320.000000,52,0,2,1,Cho2017,TS+LR
0.596700,1.873266,10320.000000,1,0,2,1,Cho2017,TS+SVM
0.525700,1.940642,10320.000000,2,0,2,1,Cho2017,TS+SVM
0.668800,1.762076,10320.000000,3,0,2,1,Cho2017,TS+SVM
0.504900,1.923119,10320.000000,4,0,2,1,Cho2017,TS+SVM
0.601500,1.895103,10320.000000,5,0,2,1,Cho2017,TS+SVM
0.500600,1.841617,10320.000000,6,0,2,1,Cho2017,TS+SVM
0.543750,1.860447,10280.000000,7,0,2,1,Cho2017,TS+SVM
0.492100,1.817027,10320.000000,8,0,2,1,Cho2017,TS+SVM
0.624792,1.809357,10280.000000,9,0,2,1,Cho2017,TS+SVM
0.599100,1.918851,10320.000000,10,0,2,1,Cho2017,TS+SVM
0.536700,1.804837,10320.000000,11,0,2,1,Cho2017,TS+SVM
0.397600,1.959057,10320.000000,12,0,2,1,Cho2017,TS+SVM
0.422200,1.860263,10320.000000,13,0,2,1,Cho2017,TS+SVM
0.535200,1.783411,10320.000000,14,0,2,1,Cho2017,TS+SVM
0.461200,1.901839,10320.000000,15,0,2,1,Cho2017,TS+SVM
0.551800,1.742407,10320.000000,16,0,2,1,Cho2017,TS+SVM
0.552700,1.877100,10320.000000,17,0,2,1,Cho2017,TS+SVM
0.514600,1.821805,10320.000000,18,0,2,1,Cho2017,TS+SVM
0.514400,1.876229,10320.000000,19,0,2,1,Cho2017,TS+SVM
0.617900,1.815604,10320.000000,20,0,2,1,Cho2017,TS+SVM
0.599100,1.922611,10320.000000,21,0,2,1,Cho2017,TS+SVM
0.613700,1.749712,10320.000000,22,0,2,1,Cho2017,TS+SVM
0.531500,1.865261,10320.000000,23,0,2,1,Cho2017,TS+SVM
0.534600,1.733400,10320.000000,24,0,2,1,Cho2017,TS+SVM
0.658400,1.895307,10320.000000,25,0,2,1,Cho2017,TS+SVM
0.507400,1.819427,10320.000000,26,0,2,1,Cho2017,TS+SVM
0.501100,1.838204,10320.000000,27,0,2,1,Cho2017,TS+SVM
0.496800,1.900992,10320.000000,28,0,2,1,Cho2017,TS+SVM
0.574800,1.817764,10320.000000,29,0,2,1,Cho2017,TS+SVM
0.459700,1.823534,10320.000000,30,0,2,1,Cho2017,TS+SVM
0.502800,1.786567,10320.000000,31,0,2,1,Cho2017,TS+SVM
0.583000,1.752616,10320.000000,32,0,2,1,Cho2017,TS+SVM
0.512400,1.791909,10320.000000,33,0,2,1,Cho2017,TS+SVM
0.506800,1.836032,10320.000000,34,0,2,1,Cho2017,TS+SVM
0.470300,1.822240,10320.000000,35,0,2,1,Cho2017,TS+SVM
