score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.567230,2.123237,10320.000000,1,0,2,1,Cho2017,CSP+SVM
0.355178,2.111084,10320.000000,2,0,2,1,Cho2017,CSP+SVM
0.410658,2.138484,10320.000000,3,0,2,1,Cho2017,CSP+SVM
0.514262,2.143520,10320.000000,4,0,2,1,Cho2017,CSP+SVM
0.569304,2.093320,10320.000000,5,0,2,1,Cho2017,CSP+SVM
0.333333,2.140962,10320.000000,6,0,2,1,Cho2017,CSP+SVM
0.340599,2.180042,10280.000000,7,0,2,1,Cho2017,CSP+SVM
0.333333,2.152857,10320.000000,8,0,2,1,Cho2017,CSP+SVM
0.333333,2.047011,10280.000000,9,0,2,1,Cho2017,CSP+SVM
0.612403,2.140360,10320.000000,10,0,2,1,Cho2017,CSP+SVM
0.383905,2.152107,10320.000000,11,0,2,1,Cho2017,CSP+SVM
0.434697,2.168111,10320.000000,12,0,2,1,Cho2017,CSP+SVM
0.415420,2.073949,10320.000000,13,0,2,1,Cho2017,CSP+SVM
0.363306,2.083838,10320.000000,14,0,2,1,Cho2017,CSP+SVM
0.368441,2.221030,10320.000000,15,0,2,1,Cho2017,CSP+SVM
0.420181,2.082148,10320.000000,16,0,2,1,Cho2017,CSP+SVM
0.339675,2.232351,10320.000000,17,0,2,1,Cho2017,CSP+SVM
0.513627,2.232703,10320.000000,18,0,2,1,Cho2017,CSP+SVM
0.425338,2.260058,10320.000000,19,0,2,1,Cho2017,CSP+SVM
0.525040,2.210239,10320.000000,20,0,2,1,Cho2017,CSP+SVM
0.507819,2.202488,10320.000000,21,0,2,1,Cho2017,CSP+SVM
0.565936,2.079026,10320.000000,22,0,2,1,Cho2017,CSP+SVM
0.432494,2.081345,10320.000000,23,0,2,1,Cho2017,CSP+SVM
0.381200,2.230441,10320.000000,24,0,2,1,Cho2017,CSP+SVM
0.471507,2.116662,10320.000000,25,0,2,1,Cho2017,CSP+SVM
0.363306,2.139771,10320.000000,26,0,2,1,Cho2017,CSP+SVM
0.333333,2.154045,10320.000000,27,0,2,1,Cho2017,CSP+SVM
0.333333,2.291972,10320.000000,28,0,2,1,Cho2017,CSP+SVM
0.333333,2.188793,10320.000000,29,0,2,1,Cho2017,CSP+SVM
0.333333,2.171624,10320.000000,30,0,2,1,Cho2017,CSP+SVM
0.377139,2.074422,10320.000000,31,0,2,1,Cho2017,CSP+SVM
0.347861,2.178312,10320.000000,32,0,2,1,Cho2017,CSP+SVM
0.339675,2.202813,10320.000000,33,0,2,1,Cho2017,CSP+SVM
0.388379,2.075791,10320.000000,34,0,2,1,Cho2017,CSP+SVM
0.333333,2.046230,10320.000000,35,0,2,1,Cho2017,CSP+SVM
0.395380,2.178175,10320.000000,36,0,2,1,Cho2017,CSP+SVM
0.333333,2.136302,10320.000000,37,0,2,1,Cho2017,CSP+SVM
0.333333,2.114323,10320.000000,38,0,2,1,Cho2017,CSP+SVM
0.358234,2.180984,10320.000000,39,0,2,1,Cho2017,CSP+SVM
0.549279,2.119475,10320.000000,40,0,2,1,Cho2017,CSP+SVM
0.433895,2.182423,10320.000000,41,0,2,1,Cho2017,CSP+SVM
0.331104,2.154732,10320.000000,42,0,2,1,Cho2017,CSP+SVM
0.376299,2.137060,10320.000000,43,0,2,1,Cho2017,CSP+SVM
0.398119,2.012815,10320.000000,44,0,2,1,Cho2017,CSP+SVM
0.524243,2.115324,10320.000000,45,0,2,1,Cho2017,CSP+SVM
0.393939,2.013684,10280.000000,46,0,2,1,Cho2017,CSP+SVM
0.544077,2.230758,10320.000000,47,0,2,1,Cho2017,CSP+SVM
0.328859,2.155174,10320.000000,48,0,2,1,Cho2017,CSP+SVM
0.420290,2.148848,10320.000000,49,0,2,1,Cho2017,CSP+SVM
0.385580,2.220529,10320.000000,50,0,2,1,Cho2017,CSP+SVM
0.559295,1.930223,10320.000000,51,0,2,1,Cho2017,CSP+SVM
0.344349,2.136535,10320.000000,52,0,2,1,Cho2017,CSP+SVM
0.482182,1.144253,10320.000000,1,0,2,1,Cho2017,TS+EL
0.458829,1.116761,10320.000000,2,0,2,1,Cho2017,TS+EL
0.586652,1.069402,10320.000000,3,0,2,1,Cho2017,TS+EL
0.502900,1.062101,10320.000000,4,0,2,1,Cho2017,TS+EL
0.570332,1.101919,10320.000000,5,0,2,1,Cho2017,TS+EL
0.326599,1.128793,10320.000000,6,0,2,1,Cho2017,TS+EL
0.482104,1.068313,10280.000000,7,0,2,1,Cho2017,TS+EL
0.484987,1.083936,10320.000000,8,0,2,1,Cho2017,TS+EL
0.568842,1.079290,10280.000000,9,0,2,1,Cho2017,TS+EL
0.382774,1.112286,10320.000000,10,0,2,1,Cho2017,TS+EL
0.472846,1.127731,10320.000000,11,0,2,1,Cho2017,TS+EL
0.389417,1.088564,10320.000000,12,0,2,1,Cho2017,TS+EL
0.403927,1.113532,10320.000000,13,0,2,1,Cho2017,TS+EL
0.484154,1.112564,10320.000000,14,0,2,1,Cho2017,TS+EL
0.456506,1.207124,10320.000000,15,0,2,1,Cho2017,TS+EL
0.529812,1.053718,10320.000000,16,0,2,1,Cho2017,TS+EL
0.529953,1.089145,10320.000000,17,0,2,1,Cho2017,TS+EL
0.469523,1.154162,10320.000000,18,0,2,1,Cho2017,TS+EL
0.500204,1.093588,10320.000000,19,0,2,1,Cho2017,TS+EL
0.353120,1.089937,10320.000000,20,0,2,1,Cho2017,TS+EL
