score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.596600,2.181852,10320.000000,1,0,2,1,Cho2017,CSP+SVM
0.511800,2.208070,10320.000000,2,0,2,1,Cho2017,CSP+SVM
0.657500,2.249056,10320.000000,3,0,2,1,Cho2017,CSP+SVM
0.506500,2.289907,10320.000000,4,0,2,1,Cho2017,CSP+SVM
0.599800,2.094380,10320.000000,5,0,2,1,Cho2017,CSP+SVM
0.508800,2.124102,10320.000000,6,0,2,1,Cho2017,CSP+SVM
0.545764,2.241126,10280.000000,7,0,2,1,Cho2017,CSP+SVM
0.488900,2.241698,10320.000000,8,0,2,1,Cho2017,CSP+SVM
0.632500,2.106207,10280.000000,9,0,2,1,Cho2017,CSP+SVM
0.618700,2.057312,10320.000000,10,0,2,1,Cho2017,CSP+SVM
0.538000,2.213584,10320.000000,11,0,2,1,Cho2017,CSP+SVM
0.397800,2.142057,10320.000000,12,0,2,1,Cho2017,CSP+SVM
0.431100,2.101108,10320.000000,13,0,2,1,Cho2017,CSP+SVM
0.533100,2.097879,10320.000000,14,0,2,1,Cho2017,CSP+SVM
0.468300,2.222451,10320.000000,15,0,2,1,Cho2017,CSP+SVM
0.555800,2.154415,10320.000000,16,0,2,1,Cho2017,CSP+SVM
0.545400,2.346951,10320.000000,17,0,2,1,Cho2017,CSP+SVM
0.512900,2.205943,10320.000000,18,0,2,1,Cho2017,CSP+SVM
0.517900,2.265387,10320.000000,19,0,2,1,Cho2017,CSP+SVM
0.616600,2.159695,10320.000000,20,0,2,1,Cho2017,CSP+SVM
0.605400,2.257879,10320.000000,21,0,2,1,Cho2017,CSP+SVM
0.610700,2.186039,10320.000000,22,0,2,1,Cho2017,CSP+SVM
0.534300,2.197351,10320.000000,23,0,2,1,Cho2017,CSP+SVM
0.550500,2.225226,10320.000000,24,0,2,1,Cho2017,CSP+SVM
0.653600,2.206064,10320.000000,25,0,2,1,Cho2017,CSP+SVM
0.541400,2.185077,10320.000000,26,0,2,1,Cho2017,CSP+SVM
0.463000,2.239379,10320.000000,27,0,2,1,Cho2017,CSP+SVM
0.534100,2.300178,10320.000000,28,0,2,1,Cho2017,CSP+SVM
0.570200,2.372320,10320.000000,29,0,2,1,Cho2017,CSP+SVM
0.476300,2.167848,10320.000000,30,0,2,1,Cho2017,CSP+SVM
0.493400,2.266587,10320.000000,31,0,2,1,Cho2017,CSP+SVM
0.585200,2.241389,10320.000000,32,0,2,1,Cho2017,CSP+SVM
0.511400,2.230548,10320.000000,33,0,2,1,Cho2017,CSP+SVM
0.504500,2.288951,10320.000000,34,0,2,1,Cho2017,CSP+SVM
0.455100,2.255860,10320.000000,35,0,2,1,Cho2017,CSP+SVM
0.506100,2.170712,10320.000000,36,0,2,1,Cho2017,CSP+SVM
0.609800,2.300425,10320.000000,37,0,2,1,Cho2017,CSP+SVM
0.510300,2.133388,10320.000000,38,0,2,1,Cho2017,CSP+SVM
0.605700,2.184097,10320.000000,39,0,2,1,Cho2017,CSP+SVM
0.564200,2.258941,10320.000000,40,0,2,1,Cho2017,CSP+SVM
0.588800,2.142577,10320.000000,41,0,2,1,Cho2017,CSP+SVM
0.593800,2.151964,10320.000000,42,0,2,1,Cho2017,CSP+SVM
0.640000,2.140344,10320.000000,43,0,2,1,Cho2017,CSP+SVM
0.630000,2.266077,10320.000000,44,0,2,1,Cho2017,CSP+SVM
0.562100,2.246376,10320.000000,45,0,2,1,Cho2017,CSP+SVM
0.529514,2.197591,10280.000000,46,0,2,1,Cho2017,CSP+SVM
0.595000,2.108468,10320.000000,47,0,2,1,Cho2017,CSP+SVM
0.469900,2.136526,10320.000000,48,0,2,1,Cho2017,CSP+SVM
0.744000,2.133204,10320.000000,49,0,2,1,Cho2017,CSP+SVM
0.523900,2.111619,10320.000000,50,0,2,1,Cho2017,CSP+SVM
0.550400,2.111982,10320.000000,51,0,2,1,Cho2017,CSP+SVM
0.523500,2.128485,10320.000000,52,0,2,1,Cho2017,CSP+SVM
0.585200,1.122997,10320.000000,1,0,2,1,Cho2017,TS+EL
0.482100,1.116718,10320.000000,2,0,2,1,Cho2017,TS+EL
0.598100,1.121906,10320.000000,3,0,2,1,Cho2017,TS+EL
0.519600,1.125475,10320.000000,4,0,2,1,Cho2017,TS+EL
0.603500,1.085521,10320.000000,5,0,2,1,Cho2017,TS+EL
0.520200,1.092566,10320.000000,6,0,2,1,Cho2017,TS+EL
0.551250,1.116812,10280.000000,7,0,2,1,Cho2017,TS+EL
0.471200,1.214538,10320.000000,8,0,2,1,Cho2017,TS+EL
0.617917,1.128149,10280.000000,9,0,2,1,Cho2017,TS+EL
0.641100,1.124790,10320.000000,10,0,2,1,Cho2017,TS+EL
0.532500,1.109434,10320.000000,11,0,2,1,Cho2017,TS+EL
0.403700,1.104392,10320.000000,12,0,2,1,Cho2017,TS+EL
0.441800,1.072850,10320.000000,13,0,2,1,Cho2017,TS+EL
0.517100,1.113223,10320.000000,14,0,2,1,Cho2017,TS+EL
0.501000,1.164394,10320.000000,15,0,2,1,Cho2017,TS+EL
0.559200,1.104662,10320.000000,16,0,2,1,Cho2017,TS+EL
0.534400,1.087372,10320.000000,17,0,2,1,Cho2017,TS+EL
0.514900,1.167866,10320.000000,18,0,2,1,Cho2017,TS+EL
0.518300,1.080724,10320.000000,19,0,2,1,Cho2017,TS+EL
0.604200,1.103492,10320.000000,20,0,2,1,Cho2017,TS+EL
0.617400,1.075079,10320.000000,21,0,2,1,Cho2017,TS+EL
0.583500,1.101602,10320.000000,22,0,2,1,Cho2017,TS+EL
0.538700,1.148542,10320.000000,23,0,2,1,Cho2017,TS+EL
0.549300,1.107579,10320.000000,24,0,2,1,Cho2017,TS+EL
0.623100,1.058385,10320.000000,25,0,2,1,Cho2017,TS+EL
0.599000,1.106191,10320.000000,26,0,2,1,Cho2017,TS+EL
0.499800,1.100155,10320.000000,27,0,2,1,Cho2017,TS+EL
0.589400,1.114773,10320.000000,28,0,2,1,Cho2017,TS+EL
0.540300,1.121534,10320.000000,29,0,2,1,Cho2017,TS+EL
0.505600,1.087024,10320.000000,30,0,2,1,Cho2017,TS+EL
0.464700,1.081773,10320.000000,31,0,2,1,Cho2017,TS+EL
0.582600,1.116924,10320.000000,32,0,2,1,Cho2017,TS+EL
0.505600,1.168846,10320.000000,33,0,2,1,Cho2017,TS+EL
0.499700,1.083627,10320.000000,34,0,2,1,Cho2017,TS+EL
0.413400,1.129290,10320.000000,35,0,2,1,Cho2017,TS+EL
0.510300,1.094785,10320.000000,36,0,2,1,Cho2017,TS+EL
0.663400,1.119003,10320.000000,37,0,2,1,Cho2017,TS+EL
0.517600,1.150975,10320.000000,38,0,2,1,Cho2017,TS+EL
0.591400,1.133085,10320.000000,39,0,2,1,Cho2017,TS+EL
0.573400,1.097519,10320.000000,40,0,2,1,Cho2017,TS+EL
0.574200,1.188514,10320.000000,41,0,2,1,Cho2017,TS+EL
0.618900,1.139479,10320.000000,42,0,2,1,Cho2017,TS+EL
