score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.567230,2.238858,10320.000000,1,0,2,1,Cho2017,CSP+SVM
0.355178,2.147412,10320.000000,2,0,2,1,Cho2017,CSP+SVM
0.410658,2.181031,10320.000000,3,0,2,1,Cho2017,CSP+SVM
0.514262,2.235355,10320.000000,4,0,2,1,Cho2017,CSP+SVM
0.569304,2.201400,10320.000000,5,0,2,1,Cho2017,CSP+SVM
0.333333,2.195353,10320.000000,6,0,2,1,Cho2017,CSP+SVM
0.340599,2.157335,10280.000000,7,0,2,1,Cho2017,CSP+SVM
0.333333,2.139983,10320.000000,8,0,2,1,Cho2017,CSP+SVM
0.333333,2.099069,10280.000000,9,0,2,1,Cho2017,CSP+SVM
0.612403,2.176013,10320.000000,10,0,2,1,Cho2017,CSP+SVM
0.383905,2.346174,10320.000000,11,0,2,1,Cho2017,CSP+SVM
0.434697,2.151958,10320.000000,12,0,2,1,Cho2017,CSP+SVM
0.415420,2.189324,10320.000000,13,0,2,1,Cho2017,CSP+SVM
0.363306,2.182353,10320.000000,14,0,2,1,Cho2017,CSP+SVM
0.368441,2.211944,10320.000000,15,0,2,1,Cho2017,CSP+SVM
0.420181,2.425482,10320.000000,16,0,2,1,Cho2017,CSP+SVM
0.339675,2.318037,10320.000000,17,0,2,1,Cho2017,CSP+SVM
0.513627,2.206996,10320.000000,18,0,2,1,Cho2017,CSP+SVM
0.425338,2.214705,10320.000000,19,0,2,1,Cho2017,CSP+SVM
0.525040,2.317480,10320.000000,20,0,2,1,Cho2017,CSP+SVM
0.507819,2.177608,10320.000000,21,0,2,1,Cho2017,CSP+SVM
0.565936,2.215508,10320.000000,22,0,2,1,Cho2017,CSP+SVM
0.432494,2.322223,10320.000000,23,0,2,1,Cho2017,CSP+SVM
0.381200,2.211873,10320.000000,24,0,2,1,Cho2017,CSP+SVM
0.471507,2.193881,10320.000000,25,0,2,1,Cho2017,CSP+SVM
0.363306,2.243454,10320.000000,26,0,2,1,Cho2017,CSP+SVM
0.333333,2.111743,10320.000000,27,0,2,1,Cho2017,CSP+SVM
0.333333,2.199428,10320.000000,28,0,2,1,Cho2017,CSP+SVM
0.333333,2.106973,10320.000000,29,0,2,1,Cho2017,CSP+SVM
0.333333,2.263808,10320.000000,30,0,2,1,Cho2017,CSP+SVM
0.377139,2.378354,10320.000000,31,0,2,1,Cho2017,CSP+SVM
0.347861,2.165472,10320.000000,32,0,2,1,Cho2017,CSP+SVM
0.339675,2.252556,10320.000000,33,0,2,1,Cho2017,CSP+SVM
0.388379,2.231719,10320.000000,34,0,2,1,Cho2017,CSP+SVM
0.333333,2.311829,10320.000000,35,0,2,1,Cho2017,CSP+SVM
0.395380,2.172246,10320.000000,36,0,2,1,Cho2017,CSP+SVM
0.333333,2.291145,10320.000000,37,0,2,1,Cho2017,CSP+SVM
0.333333,2.240934,10320.000000,38,0,2,1,Cho2017,CSP+SVM
0.358234,2.215822,10320.000000,39,0,2,1,Cho2017,CSP+SVM
0.549279,2.304790,10320.000000,40,0,2,1,Cho2017,CSP+SVM
0.433895,2.202880,10320.000000,41,0,2,1,Cho2017,CSP+SVM
0.331104,2.285474,10320.000000,42,0,2,1,Cho2017,CSP+SVM
0.376299,2.320227,10320.000000,43,0,2,1,Cho2017,CSP+SVM
0.398119,2.228935,10320.000000,44,0,2,1,Cho2017,CSP+SVM
0.524243,2.396341,10320.000000,45,0,2,1,Cho2017,CSP+SVM
0.393939,2.234527,10280.000000,46,0,2,1,Cho2017,CSP+SVM
0.544077,2.133923,10320.000000,47,0,2,1,Cho2017,CSP+SVM
0.328859,2.266074,10320.000000,48,0,2,1,Cho2017,CSP+SVM
0.420290,2.161302,10320.000000,49,0,2,1,Cho2017,CSP+SVM
0.385580,2.237975,10320.000000,50,0,2,1,Cho2017,CSP+SVM
0.559295,2.207812,10320.000000,51,0,2,1,Cho2017,CSP+SVM
0.344349,2.091002,10320.000000,52,0,2,1,Cho2017,CSP+SVM
0.482182,1.119724,10320.000000,1,0,2,1,Cho2017,TS+EL
0.458829,1.139427,10320.000000,2,0,2,1,Cho2017,TS+EL
0.586652,1.155963,10320.000000,3,0,2,1,Cho2017,TS+EL
0.502900,1.121508,10320.000000,4,0,2,1,Cho2017,TS+EL
0.570332,1.102580,10320.000000,5,0,2,1,Cho2017,TS+EL
0.326599,1.132348,10320.000000,6,0,2,1,Cho2017,TS+EL
0.482104,1.100864,10280.000000,7,0,2,1,Cho2017,TS+EL
0.484987,1.066879,10320.000000,8,0,2,1,Cho2017,TS+EL
0.568842,1.059657,10280.000000,9,0,2,1,Cho2017,TS+EL
0.382774,1.123688,10320.000000,10,0,2,1,Cho2017,TS+EL
0.472846,1.111535,10320.000000,11,0,2,1,Cho2017,TS+EL
0.389417,1.106184,10320.000000,12,0,2,1,Cho2017,TS+EL
0.403927,1.060201,10320.000000,13,0,2,1,Cho2017,TS+EL
0.484154,1.163770,10320.000000,14,0,2,1,Cho2017,TS+EL
0.456506,1.108225,10320.000000,15,0,2,1,Cho2017,TS+EL
0.529812,1.105851,10320.000000,16,0,2,1,Cho2017,TS+EL
0.529953,1.108913,10320.000000,17,0,2,1,Cho2017,TS+EL
0.469523,1.080792,10320.000000,18,0,2,1,Cho2017,TS+EL
0.500204,1.100611,10320.000000,19,0,2,1,Cho2017,TS+EL
0.353120,1.092767,10320.000000,20,0,2,1,Cho2017,TS+EL
0.392361,1.093344,10320.000000,21,0,2,1,Cho2017,TS+EL
0.442426,1.104462,10320.000000,22,0,2,1,Cho2017,TS+EL
0.514615,1.110653,10320.000000,23,0,2,1,Cho2017,TS+EL
