score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.801900,1.690130,10320.000000,1,0,8,1,Cho2017,TS+LR
0.521100,1.762332,10320.000000,2,0,8,1,Cho2017,TS+LR
0.838900,1.690524,10320.000000,3,0,8,1,Cho2017,TS+LR
0.756700,1.736206,10320.000000,4,0,8,1,Cho2017,TS+LR
0.639400,1.654389,10320.000000,5,0,8,1,Cho2017,TS+LR
0.605500,1.845692,10320.000000,6,0,8,1,Cho2017,TS+LR
0.549097,1.664542,10280.000000,7,0,8,1,Cho2017,TS+LR
0.532500,1.691573,10320.000000,8,0,8,1,Cho2017,TS+LR
0.734861,1.795615,10280.000000,9,0,8,1,Cho2017,TS+LR
0.767200,1.695173,10320.000000,10,0,8,1,Cho2017,TS+LR
0.638300,1.744004,10320.000000,11,0,8,1,Cho2017,TS+LR
0.786100,1.714661,10320.000000,12,0,8,1,Cho2017,TS+LR
0.417600,1.780421,10320.000000,13,0,8,1,Cho2017,TS+LR
0.971100,1.761555,10320.000000,14,0,8,1,Cho2017,TS+LR
0.705400,1.653529,10320.000000,15,0,8,1,Cho2017,TS+LR
0.632900,1.934365,10320.000000,16,0,8,1,Cho2017,TS+LR
0.488200,1.659269,10320.000000,17,0,8,1,Cho2017,TS+LR
0.681900,1.746328,10320.000000,18,0,8,1,Cho2017,TS+LR
0.714200,1.668198,10320.000000,19,0,8,1,Cho2017,TS+LR
0.726100,1.696612,10320.000000,20,0,8,1,Cho2017,TS+LR
0.727200,1.726419,10320.000000,21,0,8,1,Cho2017,TS+LR
0.670500,1.797112,10320.000000,22,0,8,1,Cho2017,TS+LR
0.797100,1.731682,10320.000000,23,0,8,1,Cho2017,TS+LR
0.742300,1.754872,10320.000000,24,0,8,1,Cho2017,TS+LR
0.706900,1.696837,10320.000000,25,0,8,1,Cho2017,TS+LR
0.569100,1.774798,10320.000000,26,0,8,1,Cho2017,TS+LR
0.606200,1.731415,10320.000000,27,0,8,1,Cho2017,TS+LR
0.486500,1.669621,10320.000000,28,0,8,1,Cho2017,TS+LR
0.555300,1.751667,10320.000000,29,0,8,1,Cho2017,TS+LR
0.704300,1.673150,10320.000000,30,0,8,1,Cho2017,TS+LR
0.779800,1.770538,10320.000000,31,0,8,1,Cho2017,TS+LR
0.526200,1.803616,10320.000000,32,0,8,1,Cho2017,TS+LR
0.541400,1.729582,10320.000000,33,0,8,1,Cho2017,TS+LR
0.536400,1.720389,10320.000000,34,0,8,1,Cho2017,TS+LR
0.420700,1.781186,10320.000000,35,0,8,1,Cho2017,TS+LR
0.694200,1.689195,10320.000000,36,0,8,1,Cho2017,TS+LR
0.534400,1.746214,10320.000000,37,0,8,1,Cho2017,TS+LR
0.567000,1.759615,10320.000000,38,0,8,1,Cho2017,TS+LR
0.624700,1.762455,10320.000000,39,0,8,1,Cho2017,TS+LR
0.517900,1.707485,10320.000000,40,0,8,1,Cho2017,TS+LR
0.854200,1.756461,10320.000000,41,0,8,1,Cho2017,TS+LR
0.663400,1.803480,10320.000000,42,0,8,1,Cho2017,TS+LR
0.989900,1.745117,10320.000000,43,0,8,1,Cho2017,TS+LR
0.631800,1.754124,10320.000000,44,0,8,1,Cho2017,TS+LR
0.620100,1.671461,10320.000000,45,0,8,1,Cho2017,TS+LR
0.558056,1.773067,10280.000000,46,0,8,1,Cho2017,TS+LR
0.636100,1.745857,10320.000000,47,0,8,1,Cho2017,TS+LR
0.809800,1.743990,10320.000000,48,0,8,1,Cho2017,TS+LR
0.659000,1.736534,10320.000000,49,0,8,1,Cho2017,TS+LR
0.504900,1.740689,10320.000000,50,0,8,1,Cho2017,TS+LR
0.663400,1.764770,10320.000000,51,0,8,1,Cho2017,TS+LR
0.761300,1.710945,10320.000000,52,0,8,1,Cho2017,TS+LR
0.651100,4.866695,10320.000000,1,0,8,1,Cho2017,CSP+LDA
0.557500,4.686365,10320.000000,2,0,8,1,Cho2017,CSP+LDA
0.807000,4.710073,10320.000000,3,0,8,1,Cho2017,CSP+LDA
0.754600,4.823296,10320.000000,4,0,8,1,Cho2017,CSP+LDA
0.612800,4.794929,10320.000000,5,0,8,1,Cho2017,CSP+LDA
0.563800,4.782346,10320.000000,6,0,8,1,Cho2017,CSP+LDA
0.533056,4.959528,10280.000000,7,0,8,1,Cho2017,CSP+LDA
0.572900,4.900452,10320.000000,8,0,8,1,Cho2017,CSP+LDA
0.688750,4.810411,10280.000000,9,0,8,1,Cho2017,CSP+LDA
0.800000,5.102898,10320.000000,10,0,8,1,Cho2017,CSP+LDA
0.584800,4.715846,10320.000000,11,0,8,1,Cho2017,CSP+LDA
0.785800,5.441721,10320.000000,12,0,8,1,Cho2017,CSP+LDA
0.390500,4.574666,10320.000000,13,0,8,1,Cho2017,CSP+LDA
0.968200,4.924728,10320.000000,14,0,8,1,Cho2017,CSP+LDA
0.611500,4.813700,10320.000000,15,0,8,1,Cho2017,CSP+LDA
0.619100,4.736176,10320.000000,16,0,8,1,Cho2017,CSP+LDA
0.522000,5.153368,10320.000000,17,0,8,1,Cho2017,CSP+LDA
0.661000,5.042247,10320.000000,18,0,8,1,Cho2017,CSP+LDA
0.671800,4.689265,10320.000000,19,0,8,1,Cho2017,CSP+LDA
0.746800,4.936584,10320.000000,20,0,8,1,Cho2017,CSP+LDA
0.696900,4.860355,10320.000000,21,0,8,1,Cho2017,CSP+LDA
0.661700,4.835692,10320.000000,22,0,8,1,Cho2017,CSP+LDA
0.751900,4.885223,10320.000000,23,0,8,1,Cho2017,CSP+LDA
0.718400,4.900738,10320.000000,24,0,8,1,Cho2017,CSP+LDA
0.672400,4.809322,10320.000000,25,0,8,1,Cho2017,CSP+LDA
0.584000,5.022380,10320.000000,26,0,8,1,Cho2017,CSP+LDA
0.513300,4.668550,10320.000000,27,0,8,1,Cho2017,CSP+LDA
0.479000,4.678939,10320.000000,28,0,8,1,Cho2017,CSP+LDA
0.584400,4.753911,10320.000000,29,0,8,1,Cho2017,CSP+LDA
0.714500,4.742238,10320.000000,30,0,8,1,Cho2017,CSP+LDA
0.677100,4.921708,10320.000000,31,0,8,1,Cho2017,CSP+LDA
0.494200,4.689877,10320.000000,32,0,8,1,Cho2017,CSP+LDA
0.556900,4.856388,10320.000000,33,0,8,1,Cho2017,CSP+LDA
0.537200,4.796857,10320.000000,34,0,8,1,Cho2017,CSP+LDA
0.403400,4.629511,10320.000000,35,0,8,1,Cho2017,CSP+LDA
0.730100,4.891240,10320.000000,36,0,8,1,Cho2017,CSP+LDA
0.782300,4.668787,10320.000000,37,0,8,1,Cho2017,CSP+LDA
0.548700,4.854940,10320.000000,38,0,8,1,Cho2017,CSP+LDA
0.617700,4.986781,10320.000000,39,0,8,1,Cho2017,CSP+LDA
0.516100,4.951750,10320.000000,40,0,8,1,Cho2017,CSP+LDA
0.822300,4.828772,10320.000000,41,0,8,1,Cho2017,CSP+LDA
0.632300,4.772452,10320.000000,42,0,8,1,Cho2017,CSP+LDA
0.921300,4.730169,10320.000000,43,0,8,1,Cho2017,CSP+LDA
0.634800,4.800032,10320.000000,44,0,8,1,Cho2017,CSP+LDA
0.647200,4.785621,10320.000000,45,0,8,1,Cho2017,CSP+LDA
0.568264,4.838684,10280.000000,46,0,8,1,Cho2017,CSP+LDA
0.645100,4.842044,10320.000000,47,0,8,1,Cho2017,CSP+LDA
0.766700,4.913448,10320.000000,48,0,8,1,Cho2017,CSP+LDA
0.735100,4.751351,10320.000000,49,0,8,1,Cho2017,CSP+LDA
0.517700,4.715689,10320.000000,50,0,8,1,Cho2017,CSP+LDA
0.611900,4.815763,10320.000000,51,0,8,1,Cho2017,CSP+LDA
0.730100,4.749259,10320.000000,52,0,8,1,Cho2017,CSP+LDA
0.796900,3.119222,10320.000000,1,0,8,1,Cho2017,TS+SVM
0.519000,3.096411,10320.000000,2,0,8,1,Cho2017,TS+SVM
0.841300,3.042521,10320.000000,3,0,8,1,Cho2017,TS+SVM
0.764800,3.072255,10320.000000,4,0,8,1,Cho2017,TS+SVM
0.646300,2.979513,10320.000000,5,0,8,1,Cho2017,TS+SVM
0.604500,2.981953,10320.000000,6,0,8,1,Cho2017,TS+SVM
0.549722,2.972119,10280.000000,7,0,8,1,Cho2017,TS+SVM
0.531900,2.899435,10320.000000,8,0,8,1,Cho2017,TS+SVM
0.730903,3.107336,10280.000000,9,0,8,1,Cho2017,TS+SVM
0.761300,3.090403,10320.000000,10,0,8,1,Cho2017,TS+SVM
0.628400,3.090047,10320.000000,11,0,8,1,Cho2017,TS+SVM
0.786100,2.987511,10320.000000,12,0,8,1,Cho2017,TS+SVM
0.423000,2.982084,10320.000000,13,0,8,1,Cho2017,TS+SVM
0.972800,3.029558,10320.000000,14,0,8,1,Cho2017,TS+SVM
0.713700,3.024339,10320.000000,15,0,8,1,Cho2017,TS+SVM
0.631700,3.245639,10320.000000,16,0,8,1,Cho2017,TS+SVM
0.490200,2.932704,10320.000000,17,0,8,1,Cho2017,TS+SVM
0.678400,3.135253,10320.000000,18,0,8,1,Cho2017,TS+SVM
0.714800,2.933700,10320.000000,19,0,8,1,Cho2017,TS+SVM
0.726600,3.031625,10320.000000,20,0,8,1,Cho2017,TS+SVM
0.722600,2.980635,10320.000000,21,0,8,1,Cho2017,TS+SVM
0.669700,3.169450,10320.000000,22,0,8,1,Cho2017,TS+SVM
0.807800,3.084677,10320.000000,23,0,8,1,Cho2017,TS+SVM
0.739400,3.001088,10320.000000,24,0,8,1,Cho2017,TS+SVM
0.707700,2.941148,10320.000000,25,0,8,1,Cho2017,TS+SVM
0.584500,3.011685,10320.000000,26,0,8,1,Cho2017,TS+SVM
0.600100,2.969814,10320.000000,27,0,8,1,Cho2017,TS+SVM
0.483600,3.052867,10320.000000,28,0,8,1,Cho2017,TS+SVM
0.554800,3.012113,10320.000000,29,0,8,1,Cho2017,TS+SVM
0.702400,3.307892,10320.000000,30,0,8,1,Cho2017,TS+SVM
0.771600,3.076000,10320.000000,31,0,8,1,Cho2017,TS+SVM
0.525000,3.129375,10320.000000,32,0,8,1,Cho2017,TS+SVM
0.542900,3.223510,10320.000000,33,0,8,1,Cho2017,TS+SVM
0.538000,3.185638,10320.000000,34,0,8,1,Cho2017,TS+SVM
0.408300,3.039503,10320.000000,35,0,8,1,Cho2017,TS+SVM
0.690700,3.041109,10320.000000,36,0,8,1,Cho2017,TS+SVM
0.554800,3.288838,10320.000000,37,0,8,1,Cho2017,TS+SVM
0.570200,3.065590,10320.000000,38,0,8,1,Cho2017,TS+SVM
0.617100,3.102681,10320.000000,39,0,8,1,Cho2017,TS+SVM
0.518900,2.930900,10320.000000,40,0,8,1,Cho2017,TS+SVM
0.856700,3.021123,10320.000000,41,0,8,1,Cho2017,TS+SVM
0.663300,3.051345,10320.000000,42,0,8,1,Cho2017,TS+SVM
0.989600,2.991255,10320.000000,43,0,8,1,Cho2017,TS+SVM
0.637000,3.073999,10320.000000,44,0,8,1,Cho2017,TS+SVM
0.622100,2.997220,10320.000000,45,0,8,1,Cho2017,TS+SVM
0.556736,2.996854,10280.000000,46,0,8,1,Cho2017,TS+SVM
0.637100,3.118435,10320.000000,47,0,8,1,Cho2017,TS+SVM
0.813700,3.160424,10320.000000,48,0,8,1,Cho2017,TS+SVM
0.662100,2.963578,10320.000000,49,0,8,1,Cho2017,TS+SVM
0.508000,3.225718,10320.000000,50,0,8,1,Cho2017,TS+SVM
0.660300,3.116862,10320.000000,51,0,8,1,Cho2017,TS+SVM
0.756000,3.110105,10320.000000,52,0,8,1,Cho2017,TS+SVM
0.649700,5.850673,10320.000000,1,0,8,1,Cho2017,CSP+SVM
0.556600,5.534727,10320.000000,2,0,8,1,Cho2017,CSP+SVM
0.808900,5.620595,10320.000000,3,0,8,1,Cho2017,CSP+SVM
0.755300,5.633268,10320.000000,4,0,8,1,Cho2017,CSP+SVM
0.613000,5.582446,10320.000000,5,0,8,1,Cho2017,CSP+SVM
0.563900,5.473378,10320.000000,6,0,8,1,Cho2017,CSP+SVM
0.533056,5.501368,10280.000000,7,0,8,1,Cho2017,CSP+SVM
0.573700,5.356324,10320.000000,8,0,8,1,Cho2017,CSP+SVM
0.688611,5.475677,10280.000000,9,0,8,1,Cho2017,CSP+SVM
0.801100,6.022838,10320.000000,10,0,8,1,Cho2017,CSP+SVM
0.587100,5.722359,10320.000000,11,0,8,1,Cho2017,CSP+SVM
0.787000,5.578911,10320.000000,12,0,8,1,Cho2017,CSP+SVM
0.388800,5.718269,10320.000000,13,0,8,1,Cho2017,CSP+SVM
0.972700,5.738474,10320.000000,14,0,8,1,Cho2017,CSP+SVM
0.612200,5.551399,10320.000000,15,0,8,1,Cho2017,CSP+SVM
0.619500,5.722762,10320.000000,16,0,8,1,Cho2017,CSP+SVM
0.521800,5.647560,10320.000000,17,0,8,1,Cho2017,CSP+SVM
0.662800,5.671650,10320.000000,18,0,8,1,Cho2017,CSP+SVM
0.673400,5.901395,10320.000000,19,0,8,1,Cho2017,CSP+SVM
0.750100,5.659076,10320.000000,20,0,8,1,Cho2017,CSP+SVM
0.699000,5.683715,10320.000000,21,0,8,1,Cho2017,CSP+SVM
0.663200,5.752793,10320.000000,22,0,8,1,Cho2017,CSP+SVM
0.752000,5.631375,10320.000000,23,0,8,1,Cho2017,CSP+SVM
0.719200,5.515347,10320.000000,24,0,8,1,Cho2017,CSP+SVM
0.673400,5.737833,10320.000000,25,0,8,1,Cho2017,CSP+SVM
0.583800,5.664745,10320.000000,26,0,8,1,Cho2017,CSP+SVM
0.514200,5.801559,10320.000000,27,0,8,1,Cho2017,CSP+SVM
0.478000,5.744795,10320.000000,28,0,8,1,Cho2017,CSP+SVM
0.584500,5.779373,10320.000000,29,0,8,1,Cho2017,CSP+SVM
0.713000,5.475420,10320.000000,30,0,8,1,Cho2017,CSP+SVM
0.674200,5.659597,10320.000000,31,0,8,1,Cho2017,CSP+SVM
0.495300,5.682710,10320.000000,32,0,8,1,Cho2017,CSP+SVM
0.556900,5.678028,10320.000000,33,0,8,1,Cho2017,CSP+SVM
0.537800,5.651172,10320.000000,34,0,8,1,Cho2017,CSP+SVM
0.402800,5.740346,10320.000000,35,0,8,1,Cho2017,CSP+SVM
0.730800,5.693976,10320.000000,36,0,8,1,Cho2017,CSP+SVM
0.781200,5.713500,10320.000000,37,0,8,1,Cho2017,CSP+SVM
0.547400,5.493970,10320.000000,38,0,8,1,Cho2017,CSP+SVM
0.619200,5.509220,10320.000000,39,0,8,1,Cho2017,CSP+SVM
0.517000,5.748257,10320.000000,40,0,8,1,Cho2017,CSP+SVM
0.823500,5.564339,10320.000000,41,0,8,1,Cho2017,CSP+SVM
0.631800,5.692361,10320.000000,42,0,8,1,Cho2017,CSP+SVM
0.910400,5.618000,10320.000000,43,0,8,1,Cho2017,CSP+SVM
0.633700,5.960567,10320.000000,44,0,8,1,Cho2017,CSP+SVM
0.648300,5.660230,10320.000000,45,0,8,1,Cho2017,CSP+SVM
0.568889,5.451222,10280.000000,46,0,8,1,Cho2017,CSP+SVM
0.649000,5.674574,10320.000000,47,0,8,1,Cho2017,CSP+SVM
0.766400,5.519997,10320.000000,48,0,8,1,Cho2017,CSP+SVM
0.736200,5.559445,10320.000000,49,0,8,1,Cho2017,CSP+SVM
0.518100,5.654045,10320.000000,50,0,8,1,Cho2017,CSP+SVM
0.612600,5.643544,10320.000000,51,0,8,1,Cho2017,CSP+SVM
0.731900,5.578065,10320.000000,52,0,8,1,Cho2017,CSP+SVM
0.801400,1.742997,10320.000000,1,0,8,1,Cho2017,TS+EL
0.521100,1.808166,10320.000000,2,0,8,1,Cho2017,TS+EL
0.838200,1.772737,10320.000000,3,0,8,1,Cho2017,TS+EL
0.757200,1.771350,10320.000000,4,0,8,1,Cho2017,TS+EL
0.639100,1.716634,10320.000000,5,0,8,1,Cho2017,TS+EL
0.605600,1.732301,10320.000000,6,0,8,1,Cho2017,TS+EL
0.549097,1.775708,10280.000000,7,0,8,1,Cho2017,TS+EL
0.532100,1.755852,10320.000000,8,0,8,1,Cho2017,TS+EL
0.735903,1.755301,10280.000000,9,0,8,1,Cho2017,TS+EL
0.766100,1.795125,10320.000000,10,0,8,1,Cho2017,TS+EL
0.638300,1.748749,10320.000000,11,0,8,1,Cho2017,TS+EL
0.786200,1.817208,10320.000000,12,0,8,1,Cho2017,TS+EL
0.417500,1.833398,10320.000000,13,0,8,1,Cho2017,TS+EL
0.971300,1.789536,10320.000000,14,0,8,1,Cho2017,TS+EL
0.704600,1.751545,10320.000000,15,0,8,1,Cho2017,TS+EL
0.631600,1.753736,10320.000000,16,0,8,1,Cho2017,TS+EL
0.488000,1.736766,10320.000000,17,0,8,1,Cho2017,TS+EL
0.682400,1.761633,10320.000000,18,0,8,1,Cho2017,TS+EL
0.714300,1.719556,10320.000000,19,0,8,1,Cho2017,TS+EL
0.726100,1.722362,10320.000000,20,0,8,1,Cho2017,TS+EL
0.727900,1.748449,10320.000000,21,0,8,1,Cho2017,TS+EL
0.670100,1.778893,10320.000000,22,0,8,1,Cho2017,TS+EL
0.797100,1.874340,10320.000000,23,0,8,1,Cho2017,TS+EL
0.742000,1.867019,10320.000000,24,0,8,1,Cho2017,TS+EL
0.705900,1.744909,10320.000000,25,0,8,1,Cho2017,TS+EL
0.568800,1.739844,10320.000000,26,0,8,1,Cho2017,TS+EL
0.606200,1.751703,10320.000000,27,0,8,1,Cho2017,TS+EL
0.486500,1.733537,10320.000000,28,0,8,1,Cho2017,TS+EL
0.555100,1.805802,10320.000000,29,0,8,1,Cho2017,TS+EL
0.704200,1.770336,10320.000000,30,0,8,1,Cho2017,TS+EL
0.780600,1.801481,10320.000000,31,0,8,1,Cho2017,TS+EL
0.526200,1.818126,10320.000000,32,0,8,1,Cho2017,TS+EL
0.541500,1.792027,10320.000000,33,0,8,1,Cho2017,TS+EL
0.535700,1.835121,10320.000000,34,0,8,1,Cho2017,TS+EL
0.420900,1.821275,10320.000000,35,0,8,1,Cho2017,TS+EL
0.694500,1.815881,10320.000000,36,0,8,1,Cho2017,TS+EL
0.535500,1.716401,10320.000000,37,0,8,1,Cho2017,TS+EL
0.566500,1.719587,10320.000000,38,0,8,1,Cho2017,TS+EL
0.625900,1.819754,10320.000000,39,0,8,1,Cho2017,TS+EL
0.518900,1.732395,10320.000000,40,0,8,1,Cho2017,TS+EL
0.854700,1.830240,10320.000000,41,0,8,1,Cho2017,TS+EL
0.662900,1.802896,10320.000000,42,0,8,1,Cho2017,TS+EL
0.989800,1.745226,10320.000000,43,0,8,1,Cho2017,TS+EL
0.629300,1.819181,10320.000000,44,0,8,1,Cho2017,TS+EL
0.619900,1.714449,10320.000000,45,0,8,1,Cho2017,TS+EL
0.557917,1.766280,10280.000000,46,0,8,1,Cho2017,TS+EL
0.637600,1.771138,10320.000000,47,0,8,1,Cho2017,TS+EL
0.809300,1.772904,10320.000000,48,0,8,1,Cho2017,TS+EL
0.659300,1.708985,10320.000000,49,0,8,1,Cho2017,TS+EL
0.505600,1.811139,10320.000000,50,0,8,1,Cho2017,TS+EL
0.662500,1.847578,10320.000000,51,0,8,1,Cho2017,TS+EL
0.761100,1.718235,10320.000000,52,0,8,1,Cho2017,TS+EL
