score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.705996,1.738522,10320.000000,1,0,8,1,Cho2017,TS+LR
0.491405,1.754231,10320.000000,2,0,8,1,Cho2017,TS+LR
0.622115,1.734245,10320.000000,3,0,8,1,Cho2017,TS+LR
0.651758,1.722373,10320.000000,4,0,8,1,Cho2017,TS+LR
0.604516,1.720952,10320.000000,5,0,8,1,Cho2017,TS+LR
0.626015,1.843644,10320.000000,6,0,8,1,Cho2017,TS+LR
0.524089,1.689069,10280.000000,7,0,8,1,Cho2017,TS+LR
0.482549,1.773647,10320.000000,8,0,8,1,Cho2017,TS+LR
0.608612,1.738112,10280.000000,9,0,8,1,Cho2017,TS+LR
0.655032,1.769793,10320.000000,10,0,8,1,Cho2017,TS+LR
0.605333,1.692214,10320.000000,11,0,8,1,Cho2017,TS+LR
0.555825,1.738575,10320.000000,12,0,8,1,Cho2017,TS+LR
0.408908,1.734913,10320.000000,13,0,8,1,Cho2017,TS+LR
0.826601,1.753374,10320.000000,14,0,8,1,Cho2017,TS+LR
0.621483,1.791561,10320.000000,15,0,8,1,Cho2017,TS+LR
0.554454,1.700871,10320.000000,16,0,8,1,Cho2017,TS+LR
0.473407,1.673352,10320.000000,17,0,8,1,Cho2017,TS+LR
0.551048,1.788185,10320.000000,18,0,8,1,Cho2017,TS+LR
0.471090,1.683460,10320.000000,19,0,8,1,Cho2017,TS+LR
0.565508,1.696398,10320.000000,20,0,8,1,Cho2017,TS+LR
0.654784,1.731436,10320.000000,21,0,8,1,Cho2017,TS+LR
0.579228,1.674168,10320.000000,22,0,8,1,Cho2017,TS+LR
0.481071,1.732243,10320.000000,23,0,8,1,Cho2017,TS+LR
0.650000,1.712867,10320.000000,24,0,8,1,Cho2017,TS+LR
0.460189,1.704281,10320.000000,25,0,8,1,Cho2017,TS+LR
0.517636,1.638386,10320.000000,26,0,8,1,Cho2017,TS+LR
0.371069,1.678264,10320.000000,27,0,8,1,Cho2017,TS+LR
0.365804,1.773659,10320.000000,28,0,8,1,Cho2017,TS+LR
0.557833,1.699026,10320.000000,29,0,8,1,Cho2017,TS+LR
0.653048,1.730417,10320.000000,30,0,8,1,Cho2017,TS+LR
0.694002,1.691588,10320.000000,31,0,8,1,Cho2017,TS+LR
0.503998,1.797466,10320.000000,32,0,8,1,Cho2017,TS+LR
0.529247,1.713307,10320.000000,33,0,8,1,Cho2017,TS+LR
0.478368,1.707201,10320.000000,34,0,8,1,Cho2017,TS+LR
0.396419,1.798538,10320.000000,35,0,8,1,Cho2017,TS+LR
0.639964,1.749623,10320.000000,36,0,8,1,Cho2017,TS+LR
0.516013,1.725426,10320.000000,37,0,8,1,Cho2017,TS+LR
0.512464,1.836644,10320.000000,38,0,8,1,Cho2017,TS+LR
0.371069,1.767737,10320.000000,39,0,8,1,Cho2017,TS+LR
0.468770,1.724799,10320.000000,40,0,8,1,Cho2017,TS+LR
0.740266,1.699256,10320.000000,41,0,8,1,Cho2017,TS+LR
0.601023,1.755229,10320.000000,42,0,8,1,Cho2017,TS+LR
