score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.741900,8.183596,10320.000000,1,0,19,1,Cho2017,TS+SVM
0.580400,8.493562,10320.000000,2,0,19,1,Cho2017,TS+SVM
0.858100,8.128651,10320.000000,3,0,19,1,Cho2017,TS+SVM
0.759600,8.533461,10320.000000,4,0,19,1,Cho2017,TS+SVM
0.653800,8.430724,10320.000000,5,0,19,1,Cho2017,TS+SVM
0.626600,8.134350,10320.000000,6,0,19,1,Cho2017,TS+SVM
0.540278,8.281770,10280.000000,7,0,19,1,Cho2017,TS+SVM
0.625700,8.435909,10320.000000,8,0,19,1,Cho2017,TS+SVM
0.695139,8.029027,10280.000000,9,0,19,1,Cho2017,TS+SVM
0.775200,7.833719,10320.000000,10,0,19,1,Cho2017,TS+SVM
0.657000,8.399399,10320.000000,11,0,19,1,Cho2017,TS+SVM
0.751500,7.990098,10320.000000,12,0,19,1,Cho2017,TS+SVM
0.443200,7.607626,10320.000000,13,0,19,1,Cho2017,TS+SVM
0.918700,7.744634,10320.000000,14,0,19,1,Cho2017,TS+SVM
0.750000,7.917158,10320.000000,15,0,19,1,Cho2017,TS+SVM
0.652300,7.828221,10320.000000,16,0,19,1,Cho2017,TS+SVM
0.492900,8.551686,10320.000000,17,0,19,1,Cho2017,TS+SVM
0.683600,7.926691,10320.000000,18,0,19,1,Cho2017,TS+SVM
0.711100,7.792068,10320.000000,19,0,19,1,Cho2017,TS+SVM
0.709100,7.946918,10320.000000,20,0,19,1,Cho2017,TS+SVM
0.744800,8.032158,10320.000000,21,0,19,1,Cho2017,TS+SVM
0.644800,8.328134,10320.000000,22,0,19,1,Cho2017,TS+SVM
0.760500,7.845060,10320.000000,23,0,19,1,Cho2017,TS+SVM
0.762400,7.815448,10320.000000,24,0,19,1,Cho2017,TS+SVM
0.664500,8.078201,10320.000000,25,0,19,1,Cho2017,TS+SVM
0.578400,8.121457,10320.000000,26,0,19,1,Cho2017,TS+SVM
0.666500,7.969748,10320.000000,27,0,19,1,Cho2017,TS+SVM
0.422700,7.826029,10320.000000,28,0,19,1,Cho2017,TS+SVM
0.577400,8.054976,10320.000000,29,0,19,1,Cho2017,TS+SVM
0.629100,7.886164,10320.000000,30,0,19,1,Cho2017,TS+SVM
0.707600,7.899378,10320.000000,31,0,19,1,Cho2017,TS+SVM
0.539600,7.896347,10320.000000,32,0,19,1,Cho2017,TS+SVM
0.578100,7.934460,10320.000000,33,0,19,1,Cho2017,TS+SVM
0.564600,7.834929,10320.000000,34,0,19,1,Cho2017,TS+SVM
0.425500,7.830670,10320.000000,35,0,19,1,Cho2017,TS+SVM
0.754500,7.842308,10320.000000,36,0,19,1,Cho2017,TS+SVM
0.462100,7.887533,10320.000000,37,0,19,1,Cho2017,TS+SVM
0.600800,7.902623,10320.000000,38,0,19,1,Cho2017,TS+SVM
0.665200,7.982722,10320.000000,39,0,19,1,Cho2017,TS+SVM
0.536400,7.875842,10320.000000,40,0,19,1,Cho2017,TS+SVM
0.885300,7.893616,10320.000000,41,0,19,1,Cho2017,TS+SVM
0.641200,7.763854,10320.000000,42,0,19,1,Cho2017,TS+SVM
0.981700,8.113276,10320.000000,43,0,19,1,Cho2017,TS+SVM
0.649600,7.958838,10320.000000,44,0,19,1,Cho2017,TS+SVM
0.657500,7.993219,10320.000000,45,0,19,1,Cho2017,TS+SVM
0.701389,7.717480,10280.000000,46,0,19,1,Cho2017,TS+SVM
0.636600,7.871139,10320.000000,47,0,19,1,Cho2017,TS+SVM
0.859800,8.012148,10320.000000,48,0,19,1,Cho2017,TS+SVM
0.648000,8.080593,10320.000000,49,0,19,1,Cho2017,TS+SVM
0.494200,7.880336,10320.000000,50,0,19,1,Cho2017,TS+SVM
