score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.591848,10.089823,10320.000000,1,0,29,1,Cho2017,TS+LR
0.516604,10.085414,10320.000000,2,0,29,1,Cho2017,TS+LR
0.775602,9.946147,10320.000000,3,0,29,1,Cho2017,TS+LR
0.656003,10.130643,10320.000000,4,0,29,1,Cho2017,TS+LR
0.431801,9.908047,10320.000000,5,0,29,1,Cho2017,TS+LR
0.544989,9.965933,10320.000000,6,0,29,1,Cho2017,TS+LR
0.503106,9.572926,10280.000000,7,0,29,1,Cho2017,TS+LR
0.447273,9.720627,10320.000000,8,0,29,1,Cho2017,TS+LR
0.584871,10.346147,10280.000000,9,0,29,1,Cho2017,TS+LR
0.629427,9.926068,10320.000000,10,0,29,1,Cho2017,TS+LR
0.505974,9.941489,10320.000000,11,0,29,1,Cho2017,TS+LR
0.555825,9.805288,10320.000000,12,0,29,1,Cho2017,TS+LR
0.333333,9.864401,10320.000000,13,0,29,1,Cho2017,TS+LR
0.555867,9.940526,10320.000000,14,0,29,1,Cho2017,TS+LR
0.521368,10.249153,10320.000000,15,0,29,1,Cho2017,TS+LR
0.593771,9.626993,10320.000000,16,0,29,1,Cho2017,TS+LR
0.501577,9.984493,10320.000000,17,0,29,1,Cho2017,TS+LR
0.637376,9.993369,10320.000000,18,0,29,1,Cho2017,TS+LR
0.630968,9.539824,10320.000000,19,0,29,1,Cho2017,TS+LR
0.618129,9.492176,10320.000000,20,0,29,1,Cho2017,TS+LR
0.684044,10.299040,10320.000000,21,0,29,1,Cho2017,TS+LR
0.554292,9.888112,10320.000000,22,0,29,1,Cho2017,TS+LR
0.699139,9.984695,10320.000000,23,0,29,1,Cho2017,TS+LR
0.492865,9.903710,10320.000000,24,0,29,1,Cho2017,TS+LR
0.420693,9.867406,10320.000000,25,0,29,1,Cho2017,TS+LR
0.490017,9.553361,10320.000000,26,0,29,1,Cho2017,TS+LR
0.549550,9.703701,10320.000000,27,0,29,1,Cho2017,TS+LR
0.333333,9.636189,10320.000000,28,0,29,1,Cho2017,TS+LR
