score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.596900,2.510788,10320.000000,1,0,8,1,Cho2017,TS+SVM
0.591100,2.488169,10320.000000,2,0,8,1,Cho2017,TS+SVM
0.844000,2.518683,10320.000000,3,0,8,1,Cho2017,TS+SVM
0.793700,2.516026,10320.000000,4,0,8,1,Cho2017,TS+SVM
0.673500,2.550921,10320.000000,5,0,8,1,Cho2017,TS+SVM
0.638900,2.579687,10320.000000,6,0,8,1,Cho2017,TS+SVM
0.522222,2.521594,10280.000000,7,0,8,1,Cho2017,TS+SVM
0.550300,2.573439,10320.000000,8,0,8,1,Cho2017,TS+SVM
0.702153,2.535288,10280.000000,9,0,8,1,Cho2017,TS+SVM
0.674400,2.517135,10320.000000,10,0,8,1,Cho2017,TS+SVM
0.576500,2.500646,10320.000000,11,0,8,1,Cho2017,TS+SVM
0.696600,2.447421,10320.000000,12,0,8,1,Cho2017,TS+SVM
0.435400,2.510720,10320.000000,13,0,8,1,Cho2017,TS+SVM
0.916700,2.458863,10320.000000,14,0,8,1,Cho2017,TS+SVM
0.671200,2.534546,10320.000000,15,0,8,1,Cho2017,TS+SVM
0.554500,2.534668,10320.000000,16,0,8,1,Cho2017,TS+SVM
0.452200,2.495847,10320.000000,17,0,8,1,Cho2017,TS+SVM
0.644400,2.492282,10320.000000,18,0,8,1,Cho2017,TS+SVM
0.724000,2.524797,10320.000000,19,0,8,1,Cho2017,TS+SVM
0.694600,2.534541,10320.000000,20,0,8,1,Cho2017,TS+SVM
0.696900,2.492620,10320.000000,21,0,8,1,Cho2017,TS+SVM
0.620300,2.488081,10320.000000,22,0,8,1,Cho2017,TS+SVM
0.719900,2.522187,10320.000000,23,0,8,1,Cho2017,TS+SVM
0.653700,2.466333,10320.000000,24,0,8,1,Cho2017,TS+SVM
0.588600,2.508002,10320.000000,25,0,8,1,Cho2017,TS+SVM
0.574100,2.499563,10320.000000,26,0,8,1,Cho2017,TS+SVM
0.570000,2.557446,10320.000000,27,0,8,1,Cho2017,TS+SVM
0.434900,2.442453,10320.000000,28,0,8,1,Cho2017,TS+SVM
0.572400,2.523934,10320.000000,29,0,8,1,Cho2017,TS+SVM
0.654300,2.485267,10320.000000,30,0,8,1,Cho2017,TS+SVM
0.684800,2.507684,10320.000000,31,0,8,1,Cho2017,TS+SVM
0.468200,2.508163,10320.000000,32,0,8,1,Cho2017,TS+SVM
0.510800,2.537213,10320.000000,33,0,8,1,Cho2017,TS+SVM
0.579900,2.516138,10320.000000,34,0,8,1,Cho2017,TS+SVM
0.511800,2.497660,10320.000000,35,0,8,1,Cho2017,TS+SVM
0.706100,2.490459,10320.000000,36,0,8,1,Cho2017,TS+SVM
0.423100,2.528008,10320.000000,37,0,8,1,Cho2017,TS+SVM
0.574300,2.488808,10320.000000,38,0,8,1,Cho2017,TS+SVM
0.603400,2.467743,10320.000000,39,0,8,1,Cho2017,TS+SVM
0.552300,2.505611,10320.000000,40,0,8,1,Cho2017,TS+SVM
0.833700,2.505309,10320.000000,41,0,8,1,Cho2017,TS+SVM
0.614200,2.508665,10320.000000,42,0,8,1,Cho2017,TS+SVM
0.930300,2.536426,10320.000000,43,0,8,1,Cho2017,TS+SVM
0.597900,2.513961,10320.000000,44,0,8,1,Cho2017,TS+SVM
0.563100,2.515813,10320.000000,45,0,8,1,Cho2017,TS+SVM
0.590208,2.490271,10280.000000,46,0,8,1,Cho2017,TS+SVM
0.583300,2.530437,10320.000000,47,0,8,1,Cho2017,TS+SVM
0.790800,2.503696,10320.000000,48,0,8,1,Cho2017,TS+SVM
0.663200,2.514842,10320.000000,49,0,8,1,Cho2017,TS+SVM
0.553800,2.514179,10320.000000,50,0,8,1,Cho2017,TS+SVM
0.646800,2.541006,10320.000000,51,0,8,1,Cho2017,TS+SVM
0.707300,2.552041,10320.000000,52,0,8,1,Cho2017,TS+SVM
0.604400,4.060246,10320.000000,1,0,8,1,Cho2017,CSP+SVM
0.549000,3.978471,10320.000000,2,0,8,1,Cho2017,CSP+SVM
0.805200,4.034826,10320.000000,3,0,8,1,Cho2017,CSP+SVM
