score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.567100,2.474896,10320.000000,1,0,8,1,Cho2017,TS+SVM
0.418861,2.460311,10320.000000,2,0,8,1,Cho2017,TS+SVM
0.738720,2.479816,10320.000000,3,0,8,1,Cho2017,TS+SVM
0.714822,2.481000,10320.000000,4,0,8,1,Cho2017,TS+SVM
0.634918,2.448753,10320.000000,5,0,8,1,Cho2017,TS+SVM
0.563271,2.481052,10320.000000,6,0,8,1,Cho2017,TS+SVM
0.479720,2.466081,10280.000000,7,0,8,1,Cho2017,TS+SVM
0.525040,2.484797,10320.000000,8,0,8,1,Cho2017,TS+SVM
0.647034,2.489048,10280.000000,9,0,8,1,Cho2017,TS+SVM
0.622271,2.459760,10320.000000,10,0,8,1,Cho2017,TS+SVM
0.509333,2.435524,10320.000000,11,0,8,1,Cho2017,TS+SVM
0.641767,2.450078,10320.000000,12,0,8,1,Cho2017,TS+SVM
0.407160,2.487923,10320.000000,13,0,8,1,Cho2017,TS+SVM
0.801905,2.441549,10320.000000,14,0,8,1,Cho2017,TS+SVM
0.452381,2.533084,10320.000000,15,0,8,1,Cho2017,TS+SVM
0.400990,2.501451,10320.000000,16,0,8,1,Cho2017,TS+SVM
0.445333,2.454225,10320.000000,17,0,8,1,Cho2017,TS+SVM
0.526543,2.460744,10320.000000,18,0,8,1,Cho2017,TS+SVM
0.667874,2.478671,10320.000000,19,0,8,1,Cho2017,TS+SVM
0.534489,2.466794,10320.000000,20,0,8,1,Cho2017,TS+SVM
0.623469,2.490277,10320.000000,21,0,8,1,Cho2017,TS+SVM
0.574645,2.469639,10320.000000,22,0,8,1,Cho2017,TS+SVM
0.571429,2.441670,10320.000000,23,0,8,1,Cho2017,TS+SVM
0.545442,2.468415,10320.000000,24,0,8,1,Cho2017,TS+SVM
0.426173,2.468302,10320.000000,25,0,8,1,Cho2017,TS+SVM
0.568446,2.434124,10320.000000,26,0,8,1,Cho2017,TS+SVM
0.365804,2.476786,10320.000000,27,0,8,1,Cho2017,TS+SVM
0.427193,2.435964,10320.000000,28,0,8,1,Cho2017,TS+SVM
0.537410,2.474500,10320.000000,29,0,8,1,Cho2017,TS+SVM
0.579438,2.463363,10320.000000,30,0,8,1,Cho2017,TS+SVM
0.479390,2.435764,10320.000000,31,0,8,1,Cho2017,TS+SVM
0.443852,2.480008,10320.000000,32,0,8,1,Cho2017,TS+SVM
0.484368,2.463219,10320.000000,33,0,8,1,Cho2017,TS+SVM
0.482257,2.459987,10320.000000,34,0,8,1,Cho2017,TS+SVM
0.491325,2.478551,10320.000000,35,0,8,1,Cho2017,TS+SVM
0.597668,2.456198,10320.000000,36,0,8,1,Cho2017,TS+SVM
0.471061,2.456080,10320.000000,37,0,8,1,Cho2017,TS+SVM
0.482182,2.453985,10320.000000,38,0,8,1,Cho2017,TS+SVM
0.526543,2.454059,10320.000000,39,0,8,1,Cho2017,TS+SVM
0.512464,2.461138,10320.000000,40,0,8,1,Cho2017,TS+SVM
0.754503,2.467033,10320.000000,41,0,8,1,Cho2017,TS+SVM
0.559295,2.455733,10320.000000,42,0,8,1,Cho2017,TS+SVM
0.839599,2.485615,10320.000000,43,0,8,1,Cho2017,TS+SVM
0.571129,2.453136,10320.000000,44,0,8,1,Cho2017,TS+SVM
0.476381,2.461038,10320.000000,45,0,8,1,Cho2017,TS+SVM
0.513995,2.410646,10280.000000,46,0,8,1,Cho2017,TS+SVM
0.530516,2.468257,10320.000000,47,0,8,1,Cho2017,TS+SVM
0.665237,2.451988,10320.000000,48,0,8,1,Cho2017,TS+SVM
0.569137,2.474095,10320.000000,49,0,8,1,Cho2017,TS+SVM
0.543619,2.449381,10320.000000,50,0,8,1,Cho2017,TS+SVM
0.634772,2.473719,10320.000000,51,0,8,1,Cho2017,TS+SVM
0.532539,2.488012,10320.000000,52,0,8,1,Cho2017,TS+SVM
0.569137,3.974469,10320.000000,1,0,8,1,Cho2017,CSP+SVM
0.524893,4.048738,10320.000000,2,0,8,1,Cho2017,CSP+SVM
0.749599,3.990077,10320.000000,3,0,8,1,Cho2017,CSP+SVM
0.474495,3.942207,10320.000000,4,0,8,1,Cho2017,CSP+SVM
0.630000,4.068896,10320.000000,5,0,8,1,Cho2017,CSP+SVM
0.433622,3.989330,10320.000000,6,0,8,1,Cho2017,CSP+SVM
0.391715,3.910884,10280.000000,7,0,8,1,Cho2017,CSP+SVM
0.479873,3.971565,10320.000000,8,0,8,1,Cho2017,CSP+SVM
0.588206,3.930165,10280.000000,9,0,8,1,Cho2017,CSP+SVM
0.601023,3.965745,10320.000000,10,0,8,1,Cho2017,CSP+SVM
0.526583,4.024930,10320.000000,11,0,8,1,Cho2017,CSP+SVM
0.483527,3.961303,10320.000000,12,0,8,1,Cho2017,CSP+SVM
0.505495,3.991604,10320.000000,13,0,8,1,Cho2017,CSP+SVM
0.333333,4.033197,10320.000000,14,0,8,1,Cho2017,CSP+SVM
0.521920,3.962768,10320.000000,15,0,8,1,Cho2017,CSP+SVM
0.482182,4.115685,10320.000000,16,0,8,1,Cho2017,CSP+SVM
0.457341,3.955995,10320.000000,17,0,8,1,Cho2017,CSP+SVM
0.619658,4.069558,10320.000000,18,0,8,1,Cho2017,CSP+SVM
0.333333,3.972436,10320.000000,19,0,8,1,Cho2017,CSP+SVM
0.347861,4.049729,10320.000000,20,0,8,1,Cho2017,CSP+SVM
0.331104,4.042254,10320.000000,21,0,8,1,Cho2017,CSP+SVM
0.554292,4.017735,10320.000000,22,0,8,1,Cho2017,CSP+SVM
0.368626,3.960191,10320.000000,23,0,8,1,Cho2017,CSP+SVM
0.531616,3.995034,10320.000000,24,0,8,1,Cho2017,CSP+SVM
0.352751,3.975684,10320.000000,25,0,8,1,Cho2017,CSP+SVM
0.575372,3.986742,10320.000000,26,0,8,1,Cho2017,CSP+SVM
0.333333,3.961493,10320.000000,27,0,8,1,Cho2017,CSP+SVM
0.443295,3.996370,10320.000000,28,0,8,1,Cho2017,CSP+SVM
0.471470,3.942934,10320.000000,29,0,8,1,Cho2017,CSP+SVM
0.569828,3.960359,10320.000000,30,0,8,1,Cho2017,CSP+SVM
0.535478,3.945759,10320.000000,31,0,8,1,Cho2017,CSP+SVM
0.495418,3.960587,10320.000000,32,0,8,1,Cho2017,CSP+SVM
0.392909,3.984796,10320.000000,33,0,8,1,Cho2017,CSP+SVM
0.326599,3.941603,10320.000000,34,0,8,1,Cho2017,CSP+SVM
0.371069,3.958562,10320.000000,35,0,8,1,Cho2017,CSP+SVM
0.597668,3.967295,10320.000000,36,0,8,1,Cho2017,CSP+SVM
0.331104,3.937681,10320.000000,37,0,8,1,Cho2017,CSP+SVM
0.371069,4.016682,10320.000000,38,0,8,1,Cho2017,CSP+SVM
0.331104,4.010802,10320.000000,39,0,8,1,Cho2017,CSP+SVM
0.427302,3.945955,10320.000000,40,0,8,1,Cho2017,CSP+SVM
0.600673,4.000621,10320.000000,41,0,8,1,Cho2017,CSP+SVM
0.428918,3.954259,10320.000000,42,0,8,1,Cho2017,CSP+SVM
0.791194,4.028817,10320.000000,43,0,8,1,Cho2017,CSP+SVM
0.601403,3.971330,10320.000000,44,0,8,1,Cho2017,CSP+SVM
0.368441,3.992615,10320.000000,45,0,8,1,Cho2017,CSP+SVM
0.331476,3.922826,10280.000000,46,0,8,1,Cho2017,CSP+SVM
0.592496,3.956558,10320.000000,47,0,8,1,Cho2017,CSP+SVM
0.410658,3.950628,10320.000000,48,0,8,1,Cho2017,CSP+SVM
0.632803,3.992782,10320.000000,49,0,8,1,Cho2017,CSP+SVM
0.432049,4.031846,10320.000000,50,0,8,1,Cho2017,CSP+SVM
0.352751,3.938547,10320.000000,51,0,8,1,Cho2017,CSP+SVM
0.342019,3.993337,10320.000000,52,0,8,1,Cho2017,CSP+SVM
0.646465,3.295342,10320.000000,1,0,8,1,Cho2017,CSP+LDA
0.514891,3.302811,10320.000000,2,0,8,1,Cho2017,CSP+LDA
0.754503,3.402211,10320.000000,3,0,8,1,Cho2017,CSP+LDA
0.517450,3.318542,10320.000000,4,0,8,1,Cho2017,CSP+LDA
0.613832,3.297889,10320.000000,5,0,8,1,Cho2017,CSP+LDA
0.437187,3.423406,10320.000000,6,0,8,1,Cho2017,CSP+LDA
0.401448,3.367307,10280.000000,7,0,8,1,Cho2017,CSP+LDA
0.487522,3.325803,10320.000000,8,0,8,1,Cho2017,CSP+LDA
0.507447,3.282591,10280.000000,9,0,8,1,Cho2017,CSP+LDA
0.562667,3.374840,10320.000000,10,0,8,1,Cho2017,CSP+LDA
0.518594,3.322088,10320.000000,11,0,8,1,Cho2017,CSP+LDA
0.467948,3.354444,10320.000000,12,0,8,1,Cho2017,CSP+LDA
