score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.627900,1.307825,10320.000000,1,0,6,1,Cho2017,TS+EL
0.550500,1.302614,10320.000000,2,0,6,1,Cho2017,TS+EL
0.818400,1.294230,10320.000000,3,0,6,1,Cho2017,TS+EL
0.764400,1.297477,10320.000000,4,0,6,1,Cho2017,TS+EL
0.627600,1.304515,10320.000000,5,0,6,1,Cho2017,TS+EL
0.591000,1.305388,10320.000000,6,0,6,1,Cho2017,TS+EL
0.522292,1.294572,10280.000000,7,0,6,1,Cho2017,TS+EL
0.538600,1.302372,10320.000000,8,0,6,1,Cho2017,TS+EL
0.670208,1.294403,10280.000000,9,0,6,1,Cho2017,TS+EL
0.632300,1.308384,10320.000000,10,0,6,1,Cho2017,TS+EL
0.558700,1.316614,10320.000000,11,0,6,1,Cho2017,TS+EL
0.683100,1.305775,10320.000000,12,0,6,1,Cho2017,TS+EL
0.369600,1.309720,10320.000000,13,0,6,1,Cho2017,TS+EL
0.858700,1.312012,10320.000000,14,0,6,1,Cho2017,TS+EL
0.612400,1.300153,10320.000000,15,0,6,1,Cho2017,TS+EL
0.566400,1.297192,10320.000000,16,0,6,1,Cho2017,TS+EL
0.436900,1.308075,10320.000000,17,0,6,1,Cho2017,TS+EL
0.580400,1.302121,10320.000000,18,0,6,1,Cho2017,TS+EL
0.720800,1.305628,10320.000000,19,0,6,1,Cho2017,TS+EL
0.700100,1.296546,10320.000000,20,0,6,1,Cho2017,TS+EL
0.658600,1.305736,10320.000000,21,0,6,1,Cho2017,TS+EL
0.542500,1.312506,10320.000000,22,0,6,1,Cho2017,TS+EL
0.732700,1.307402,10320.000000,23,0,6,1,Cho2017,TS+EL
0.660000,1.293262,10320.000000,24,0,6,1,Cho2017,TS+EL
0.556900,1.303663,10320.000000,25,0,6,1,Cho2017,TS+EL
0.546000,1.306039,10320.000000,26,0,6,1,Cho2017,TS+EL
0.568800,1.296606,10320.000000,27,0,6,1,Cho2017,TS+EL
0.424000,1.306823,10320.000000,28,0,6,1,Cho2017,TS+EL
0.582400,1.312226,10320.000000,29,0,6,1,Cho2017,TS+EL
0.618700,1.311465,10320.000000,30,0,6,1,Cho2017,TS+EL
0.673900,1.309472,10320.000000,31,0,6,1,Cho2017,TS+EL
0.445900,1.308565,10320.000000,32,0,6,1,Cho2017,TS+EL
0.496100,1.306585,10320.000000,33,0,6,1,Cho2017,TS+EL
0.546900,1.308061,10320.000000,34,0,6,1,Cho2017,TS+EL
0.471600,1.304742,10320.000000,35,0,6,1,Cho2017,TS+EL
0.655000,1.298567,10320.000000,36,0,6,1,Cho2017,TS+EL
0.332300,1.302248,10320.000000,37,0,6,1,Cho2017,TS+EL
0.593100,1.307769,10320.000000,38,0,6,1,Cho2017,TS+EL
0.644000,1.301817,10320.000000,39,0,6,1,Cho2017,TS+EL
0.520500,1.307367,10320.000000,40,0,6,1,Cho2017,TS+EL
0.819300,1.307508,10320.000000,41,0,6,1,Cho2017,TS+EL
0.636800,1.306503,10320.000000,42,0,6,1,Cho2017,TS+EL
0.893900,1.305507,10320.000000,43,0,6,1,Cho2017,TS+EL
0.582600,1.303845,10320.000000,44,0,6,1,Cho2017,TS+EL
0.566600,1.304948,10320.000000,45,0,6,1,Cho2017,TS+EL
0.507778,1.297348,10280.000000,46,0,6,1,Cho2017,TS+EL
0.635900,1.301895,10320.000000,47,0,6,1,Cho2017,TS+EL
0.741400,1.302048,10320.000000,48,0,6,1,Cho2017,TS+EL
