score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.594747,1.304539,10320.000000,1,0,6,1,Cho2017,TS+EL
0.400727,1.301181,10320.000000,2,0,6,1,Cho2017,TS+EL
0.754700,1.299982,10320.000000,3,0,6,1,Cho2017,TS+EL
0.704816,1.298900,10320.000000,4,0,6,1,Cho2017,TS+EL
0.614219,1.307390,10320.000000,5,0,6,1,Cho2017,TS+EL
0.381200,1.309372,10320.000000,6,0,6,1,Cho2017,TS+EL
0.509425,1.303459,10280.000000,7,0,6,1,Cho2017,TS+EL
0.443204,1.310729,10320.000000,8,0,6,1,Cho2017,TS+EL
0.550332,1.300210,10280.000000,9,0,6,1,Cho2017,TS+EL
0.604516,1.310872,10320.000000,10,0,6,1,Cho2017,TS+EL
0.472676,1.311327,10320.000000,11,0,6,1,Cho2017,TS+EL
0.584491,1.302375,10320.000000,12,0,6,1,Cho2017,TS+EL
0.419763,1.301627,10320.000000,13,0,6,1,Cho2017,TS+EL
0.762860,1.300249,10320.000000,14,0,6,1,Cho2017,TS+EL
0.470545,1.301331,10320.000000,15,0,6,1,Cho2017,TS+EL
0.435652,1.296260,10320.000000,16,0,6,1,Cho2017,TS+EL
0.390636,1.304261,10320.000000,17,0,6,1,Cho2017,TS+EL
0.462366,1.303587,10320.000000,18,0,6,1,Cho2017,TS+EL
0.668808,1.298473,10320.000000,19,0,6,1,Cho2017,TS+EL
0.510011,1.304971,10320.000000,20,0,6,1,Cho2017,TS+EL
0.569147,1.300896,10320.000000,21,0,6,1,Cho2017,TS+EL
0.494667,1.297881,10320.000000,22,0,6,1,Cho2017,TS+EL
0.637376,1.297977,10320.000000,23,0,6,1,Cho2017,TS+EL
0.608889,1.304050,10320.000000,24,0,6,1,Cho2017,TS+EL
0.429563,1.302434,10320.000000,25,0,6,1,Cho2017,TS+EL
0.461575,1.302974,10320.000000,26,0,6,1,Cho2017,TS+EL
0.383677,1.304535,10320.000000,27,0,6,1,Cho2017,TS+EL
0.431092,1.304900,10320.000000,28,0,6,1,Cho2017,TS+EL
0.572596,1.299933,10320.000000,29,0,6,1,Cho2017,TS+EL
