score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.550000,1.264033,10320.000000,1,0,6,1,Cho2017,TS+LR
0.556600,1.272415,10320.000000,2,0,6,1,Cho2017,TS+LR
0.870600,1.269829,10320.000000,3,0,6,1,Cho2017,TS+LR
0.767000,1.271351,10320.000000,4,0,6,1,Cho2017,TS+LR
0.576500,1.272060,10320.000000,5,0,6,1,Cho2017,TS+LR
0.574400,1.263943,10320.000000,6,0,6,1,Cho2017,TS+LR
0.500903,1.260906,10280.000000,7,0,6,1,Cho2017,TS+LR
0.586000,1.267554,10320.000000,8,0,6,1,Cho2017,TS+LR
0.722361,1.256139,10280.000000,9,0,6,1,Cho2017,TS+LR
0.783100,1.270352,10320.000000,10,0,6,1,Cho2017,TS+LR
0.614800,1.270411,10320.000000,11,0,6,1,Cho2017,TS+LR
0.776600,1.265856,10320.000000,12,0,6,1,Cho2017,TS+LR
0.489200,1.264860,10320.000000,13,0,6,1,Cho2017,TS+LR
0.983700,1.274668,10320.000000,14,0,6,1,Cho2017,TS+LR
0.721500,1.259322,10320.000000,15,0,6,1,Cho2017,TS+LR
0.620800,1.272053,10320.000000,16,0,6,1,Cho2017,TS+LR
0.549400,1.270115,10320.000000,17,0,6,1,Cho2017,TS+LR
0.603500,1.257707,10320.000000,18,0,6,1,Cho2017,TS+LR
0.715400,1.267648,10320.000000,19,0,6,1,Cho2017,TS+LR
0.634900,1.265787,10320.000000,20,0,6,1,Cho2017,TS+LR
0.743400,1.259542,10320.000000,21,0,6,1,Cho2017,TS+LR
0.674800,1.267106,10320.000000,22,0,6,1,Cho2017,TS+LR
0.773400,1.264912,10320.000000,23,0,6,1,Cho2017,TS+LR
0.689500,1.260317,10320.000000,24,0,6,1,Cho2017,TS+LR
0.682500,1.266275,10320.000000,25,0,6,1,Cho2017,TS+LR
0.602700,1.275823,10320.000000,26,0,6,1,Cho2017,TS+LR
0.540600,1.275510,10320.000000,27,0,6,1,Cho2017,TS+LR
0.505100,1.263161,10320.000000,28,0,6,1,Cho2017,TS+LR
0.533400,1.263236,10320.000000,29,0,6,1,Cho2017,TS+LR
0.646600,1.279988,10320.000000,30,0,6,1,Cho2017,TS+LR
0.636700,1.274804,10320.000000,31,0,6,1,Cho2017,TS+LR
0.446900,1.279140,10320.000000,32,0,6,1,Cho2017,TS+LR
0.562400,1.273011,10320.000000,33,0,6,1,Cho2017,TS+LR
0.522000,1.277384,10320.000000,34,0,6,1,Cho2017,TS+LR
0.454800,1.271933,10320.000000,35,0,6,1,Cho2017,TS+LR
0.724100,1.274685,10320.000000,36,0,6,1,Cho2017,TS+LR
0.649100,1.266500,10320.000000,37,0,6,1,Cho2017,TS+LR
0.607300,1.268647,10320.000000,38,0,6,1,Cho2017,TS+LR
0.627800,1.249941,10320.000000,39,0,6,1,Cho2017,TS+LR
0.548400,1.272965,10320.000000,40,0,6,1,Cho2017,TS+LR
0.911600,1.271028,10320.000000,41,0,6,1,Cho2017,TS+LR
0.574100,1.263867,10320.000000,42,0,6,1,Cho2017,TS+LR
0.954700,1.275262,10320.000000,43,0,6,1,Cho2017,TS+LR
0.596300,1.269295,10320.000000,44,0,6,1,Cho2017,TS+LR
0.651400,1.272193,10320.000000,45,0,6,1,Cho2017,TS+LR
0.691875,1.267527,10280.000000,46,0,6,1,Cho2017,TS+LR
0.630500,1.273895,10320.000000,47,0,6,1,Cho2017,TS+LR
0.800900,1.274700,10320.000000,48,0,6,1,Cho2017,TS+LR
0.619300,1.271845,10320.000000,49,0,6,1,Cho2017,TS+LR
0.551200,1.271436,10320.000000,50,0,6,1,Cho2017,TS+LR
0.579100,1.272220,10320.000000,51,0,6,1,Cho2017,TS+LR
0.732700,1.273772,10320.000000,52,0,6,1,Cho2017,TS+LR
0.534500,2.806165,10320.000000,1,0,6,1,Cho2017,CSP+SVM
0.514500,2.831011,10320.000000,2,0,6,1,Cho2017,CSP+SVM
