score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.485199,1.266689,10320.000000,1,0,6,1,Cho2017,TS+LR
0.535424,1.283091,10320.000000,2,0,6,1,Cho2017,TS+LR
0.732641,1.263310,10320.000000,3,0,6,1,Cho2017,TS+LR
0.624500,1.278286,10320.000000,4,0,6,1,Cho2017,TS+LR
0.510417,1.282745,10320.000000,5,0,6,1,Cho2017,TS+LR
0.527619,1.279823,10320.000000,6,0,6,1,Cho2017,TS+LR
0.511474,1.273623,10280.000000,7,0,6,1,Cho2017,TS+LR
0.487483,1.273430,10320.000000,8,0,6,1,Cho2017,TS+LR
0.534560,1.267196,10280.000000,9,0,6,1,Cho2017,TS+LR
0.700000,1.278291,10320.000000,10,0,6,1,Cho2017,TS+LR
0.564117,1.267638,10320.000000,11,0,6,1,Cho2017,TS+LR
0.718621,1.264585,10320.000000,12,0,6,1,Cho2017,TS+LR
0.484848,1.265757,10320.000000,13,0,6,1,Cho2017,TS+LR
0.924908,1.270557,10320.000000,14,0,6,1,Cho2017,TS+LR
0.659966,1.263509,10320.000000,15,0,6,1,Cho2017,TS+LR
0.545982,1.275460,10320.000000,16,0,6,1,Cho2017,TS+LR
0.542546,1.263955,10320.000000,17,0,6,1,Cho2017,TS+LR
0.546410,1.263702,10320.000000,18,0,6,1,Cho2017,TS+LR
0.629427,1.277524,10320.000000,19,0,6,1,Cho2017,TS+LR
0.589386,1.275315,10320.000000,20,0,6,1,Cho2017,TS+LR
0.669703,1.274231,10320.000000,21,0,6,1,Cho2017,TS+LR
0.433895,1.281679,10320.000000,22,0,6,1,Cho2017,TS+LR
0.576649,1.272526,10320.000000,23,0,6,1,Cho2017,TS+LR
0.531409,1.279560,10320.000000,24,0,6,1,Cho2017,TS+LR
0.664589,1.274075,10320.000000,25,0,6,1,Cho2017,TS+LR
0.556138,1.274334,10320.000000,26,0,6,1,Cho2017,TS+LR
0.417193,1.268748,10320.000000,27,0,6,1,Cho2017,TS+LR
0.418861,1.269816,10320.000000,28,0,6,1,Cho2017,TS+LR
0.468903,1.276302,10320.000000,29,0,6,1,Cho2017,TS+LR
0.582652,1.271832,10320.000000,30,0,6,1,Cho2017,TS+LR
0.626263,1.274686,10320.000000,31,0,6,1,Cho2017,TS+LR
0.410308,1.280293,10320.000000,32,0,6,1,Cho2017,TS+LR
0.574734,1.268521,10320.000000,33,0,6,1,Cho2017,TS+LR
0.422102,1.278830,10320.000000,34,0,6,1,Cho2017,TS+LR
0.417703,1.276200,10320.000000,35,0,6,1,Cho2017,TS+LR
0.610016,1.276032,10320.000000,36,0,6,1,Cho2017,TS+LR
0.565936,1.278503,10320.000000,37,0,6,1,Cho2017,TS+LR
0.523536,1.275364,10320.000000,38,0,6,1,Cho2017,TS+LR
0.391172,1.249870,10320.000000,39,0,6,1,Cho2017,TS+LR
0.524036,1.280874,10320.000000,40,0,6,1,Cho2017,TS+LR
0.780383,1.272142,10320.000000,41,0,6,1,Cho2017,TS+LR
0.569311,1.272726,10320.000000,42,0,6,1,Cho2017,TS+LR
0.864236,1.280195,10320.000000,43,0,6,1,Cho2017,TS+LR
0.559604,1.277547,10320.000000,44,0,6,1,Cho2017,TS+LR
0.551048,1.258849,10320.000000,45,0,6,1,Cho2017,TS+LR
0.598184,1.268873,10280.000000,46,0,6,1,Cho2017,TS+LR
0.355178,1.273706,10320.000000,47,0,6,1,Cho2017,TS+LR
0.611692,1.267243,10320.000000,48,0,6,1,Cho2017,TS+LR
0.513220,1.272406,10320.000000,49,0,6,1,Cho2017,TS+LR
0.539586,1.272761,10320.000000,50,0,6,1,Cho2017,TS+LR
0.540856,1.269749,10320.000000,51,0,6,1,Cho2017,TS+LR
0.686869,1.273321,10320.000000,52,0,6,1,Cho2017,TS+LR
0.509593,2.904446,10320.000000,1,0,6,1,Cho2017,CSP+SVM
0.347861,2.823889,10320.000000,2,0,6,1,Cho2017,CSP+SVM
0.764947,2.853022,10320.000000,3,0,6,1,Cho2017,CSP+SVM
0.540364,2.802445,10320.000000,4,0,6,1,Cho2017,CSP+SVM
0.464955,2.835576,10320.000000,5,0,6,1,Cho2017,CSP+SVM
0.443930,2.907737,10320.000000,6,0,6,1,Cho2017,CSP+SVM
0.349960,2.739016,10280.000000,7,0,6,1,Cho2017,CSP+SVM
0.339675,2.773193,10320.000000,8,0,6,1,Cho2017,CSP+SVM
0.539931,2.791665,10280.000000,9,0,6,1,Cho2017,CSP+SVM
0.435652,2.819895,10320.000000,10,0,6,1,Cho2017,CSP+SVM
0.614505,2.814545,10320.000000,11,0,6,1,Cho2017,CSP+SVM
0.520804,2.793796,10320.000000,12,0,6,1,Cho2017,CSP+SVM
0.333333,2.870637,10320.000000,13,0,6,1,Cho2017,CSP+SVM
0.454365,2.820347,10320.000000,14,0,6,1,Cho2017,CSP+SVM
0.600597,2.770900,10320.000000,15,0,6,1,Cho2017,CSP+SVM
0.441476,2.756783,10320.000000,16,0,6,1,Cho2017,CSP+SVM
0.360775,2.821766,10320.000000,17,0,6,1,Cho2017,CSP+SVM
0.533107,2.791816,10320.000000,18,0,6,1,Cho2017,CSP+SVM
0.355178,2.808791,10320.000000,19,0,6,1,Cho2017,CSP+SVM
0.342019,2.832805,10320.000000,20,0,6,1,Cho2017,CSP+SVM
0.355178,2.883981,10320.000000,21,0,6,1,Cho2017,CSP+SVM
0.584158,2.775962,10320.000000,22,0,6,1,Cho2017,CSP+SVM
0.469277,2.778128,10320.000000,23,0,6,1,Cho2017,CSP+SVM
0.502157,2.787345,10320.000000,24,0,6,1,Cho2017,CSP+SVM
0.355178,2.848448,10320.000000,25,0,6,1,Cho2017,CSP+SVM
0.577932,2.830723,10320.000000,26,0,6,1,Cho2017,CSP+SVM
0.373688,2.842882,10320.000000,27,0,6,1,Cho2017,CSP+SVM
0.333333,2.882908,10320.000000,28,0,6,1,Cho2017,CSP+SVM
0.438123,2.808862,10320.000000,29,0,6,1,Cho2017,CSP+SVM
0.518594,2.879580,10320.000000,30,0,6,1,Cho2017,CSP+SVM
0.333333,2.776407,10320.000000,31,0,6,1,Cho2017,CSP+SVM
0.331104,2.856564,10320.000000,32,0,6,1,Cho2017,CSP+SVM
0.535228,2.783179,10320.000000,33,0,6,1,Cho2017,CSP+SVM
0.380552,2.814657,10320.000000,34,0,6,1,Cho2017,CSP+SVM
0.443171,2.900872,10320.000000,35,0,6,1,Cho2017,CSP+SVM
0.562667,2.838413,10320.000000,36,0,6,1,Cho2017,CSP+SVM
0.601053,2.800936,10320.000000,37,0,6,1,Cho2017,CSP+SVM
0.414141,2.803802,10320.000000,38,0,6,1,Cho2017,CSP+SVM
0.333333,2.882064,10320.000000,39,0,6,1,Cho2017,CSP+SVM
0.333333,2.770418,10320.000000,40,0,6,1,Cho2017,CSP+SVM
0.709273,2.846962,10320.000000,41,0,6,1,Cho2017,CSP+SVM
0.411115,2.855951,10320.000000,42,0,6,1,Cho2017,CSP+SVM
0.511905,2.807388,10320.000000,43,0,6,1,Cho2017,CSP+SVM
0.558638,2.845096,10320.000000,44,0,6,1,Cho2017,CSP+SVM
0.426173,2.822765,10320.000000,45,0,6,1,Cho2017,CSP+SVM
0.333333,2.745636,10280.000000,46,0,6,1,Cho2017,CSP+SVM
0.538462,2.795542,10320.000000,47,0,6,1,Cho2017,CSP+SVM
0.460189,2.914249,10320.000000,48,0,6,1,Cho2017,CSP+SVM
0.599640,2.842945,10320.000000,49,0,6,1,Cho2017,CSP+SVM
0.480031,2.798261,10320.000000,50,0,6,1,Cho2017,CSP+SVM
0.355178,2.778865,10320.000000,51,0,6,1,Cho2017,CSP+SVM
0.440397,2.809632,10320.000000,52,0,6,1,Cho2017,CSP+SVM
0.499550,2.167489,10320.000000,1,0,6,1,Cho2017,CSP+LDA
0.388379,2.215280,10320.000000,2,0,6,1,Cho2017,CSP+LDA
0.757576,2.171250,10320.000000,3,0,6,1,Cho2017,CSP+LDA
0.554367,2.171963,10320.000000,4,0,6,1,Cho2017,CSP+LDA
0.451992,2.311152,10320.000000,5,0,6,1,Cho2017,CSP+LDA
0.523559,2.223625,10320.000000,6,0,6,1,Cho2017,CSP+LDA
0.363885,2.218107,10280.000000,7,0,6,1,Cho2017,CSP+LDA
0.383677,2.167864,10320.000000,8,0,6,1,Cho2017,CSP+LDA
0.389181,2.150904,10280.000000,9,0,6,1,Cho2017,CSP+LDA
0.501042,2.167550,10320.000000,10,0,6,1,Cho2017,CSP+LDA
0.660000,2.219563,10320.000000,11,0,6,1,Cho2017,CSP+LDA
0.456903,2.172480,10320.000000,12,0,6,1,Cho2017,CSP+LDA
0.333333,2.166179,10320.000000,13,0,6,1,Cho2017,CSP+LDA
0.454365,2.330602,10320.000000,14,0,6,1,Cho2017,CSP+LDA
0.491265,2.250674,10320.000000,15,0,6,1,Cho2017,CSP+LDA
0.400990,2.169325,10320.000000,16,0,6,1,Cho2017,CSP+LDA
0.395243,2.193251,10320.000000,17,0,6,1,Cho2017,CSP+LDA
0.555556,2.176482,10320.000000,18,0,6,1,Cho2017,CSP+LDA
0.333333,2.282057,10320.000000,19,0,6,1,Cho2017,CSP+LDA
0.388379,2.168915,10320.000000,20,0,6,1,Cho2017,CSP+LDA
0.365827,2.278302,10320.000000,21,0,6,1,Cho2017,CSP+LDA
0.576271,2.219744,10320.000000,22,0,6,1,Cho2017,CSP+LDA
0.565972,2.176380,10320.000000,23,0,6,1,Cho2017,CSP+LDA
0.460885,2.173498,10320.000000,24,0,6,1,Cho2017,CSP+LDA
0.410658,2.175810,10320.000000,25,0,6,1,Cho2017,CSP+LDA
0.564270,2.171636,10320.000000,26,0,6,1,Cho2017,CSP+LDA
0.333333,2.206814,10320.000000,27,0,6,1,Cho2017,CSP+LDA
0.333333,2.169094,10320.000000,28,0,6,1,Cho2017,CSP+LDA
0.495586,2.199982,10320.000000,29,0,6,1,Cho2017,CSP+LDA
0.400990,2.270483,10320.000000,30,0,6,1,Cho2017,CSP+LDA
0.333333,2.238423,10320.000000,31,0,6,1,Cho2017,CSP+LDA
