score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.613800,1.561547,10320.000000,1,0,4,1,Cho2017,CSP+LDA
0.562800,1.504252,10320.000000,2,0,4,1,Cho2017,CSP+LDA
0.693300,1.373850,10320.000000,3,0,4,1,Cho2017,CSP+LDA
0.514100,1.379159,10320.000000,4,0,4,1,Cho2017,CSP+LDA
0.583100,1.393049,10320.000000,5,0,4,1,Cho2017,CSP+LDA
0.551400,1.374791,10320.000000,6,0,4,1,Cho2017,CSP+LDA
0.512569,1.362010,10280.000000,7,0,4,1,Cho2017,CSP+LDA
0.556100,1.398554,10320.000000,8,0,4,1,Cho2017,CSP+LDA
0.591389,1.364645,10280.000000,9,0,4,1,Cho2017,CSP+LDA
0.550600,1.372946,10320.000000,10,0,4,1,Cho2017,CSP+LDA
0.514600,1.423645,10320.000000,11,0,4,1,Cho2017,CSP+LDA
0.400700,1.423687,10320.000000,12,0,4,1,Cho2017,CSP+LDA
0.386800,1.371198,10320.000000,13,0,4,1,Cho2017,CSP+LDA
0.554300,1.413464,10320.000000,14,0,4,1,Cho2017,CSP+LDA
0.507600,1.367260,10320.000000,15,0,4,1,Cho2017,CSP+LDA
0.607300,1.369648,10320.000000,16,0,4,1,Cho2017,CSP+LDA
0.515600,1.470170,10320.000000,17,0,4,1,Cho2017,CSP+LDA
0.557200,1.387552,10320.000000,18,0,4,1,Cho2017,CSP+LDA
0.538900,1.430299,10320.000000,19,0,4,1,Cho2017,CSP+LDA
0.653800,1.411151,10320.000000,20,0,4,1,Cho2017,CSP+LDA
0.521300,1.401788,10320.000000,21,0,4,1,Cho2017,CSP+LDA
0.667100,1.365901,10320.000000,22,0,4,1,Cho2017,CSP+LDA
0.542900,1.369654,10320.000000,23,0,4,1,Cho2017,CSP+LDA
0.525500,1.489398,10320.000000,24,0,4,1,Cho2017,CSP+LDA
0.578500,1.388947,10320.000000,25,0,4,1,Cho2017,CSP+LDA
0.417500,1.372616,10320.000000,26,0,4,1,Cho2017,CSP+LDA
0.479400,1.369490,10320.000000,27,0,4,1,Cho2017,CSP+LDA
0.487900,1.446087,10320.000000,28,0,4,1,Cho2017,CSP+LDA
0.521400,1.368495,10320.000000,29,0,4,1,Cho2017,CSP+LDA
0.417800,1.398551,10320.000000,30,0,4,1,Cho2017,CSP+LDA
