score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.331104,1.371637,10320.000000,1,0,4,1,Cho2017,CSP+LDA
0.393959,1.445233,10320.000000,2,0,4,1,Cho2017,CSP+LDA
0.679487,1.535311,10320.000000,3,0,4,1,Cho2017,CSP+LDA
0.464061,1.394056,10320.000000,4,0,4,1,Cho2017,CSP+LDA
0.487522,1.550827,10320.000000,5,0,4,1,Cho2017,CSP+LDA
0.333333,1.385286,10320.000000,6,0,4,1,Cho2017,CSP+LDA
0.331476,1.359706,10280.000000,7,0,4,1,Cho2017,CSP+LDA
0.510204,1.451822,10320.000000,8,0,4,1,Cho2017,CSP+LDA
0.421925,1.546570,10280.000000,9,0,4,1,Cho2017,CSP+LDA
0.411115,1.367698,10320.000000,10,0,4,1,Cho2017,CSP+LDA
0.333333,1.371353,10320.000000,11,0,4,1,Cho2017,CSP+LDA
0.333333,1.422489,10320.000000,12,0,4,1,Cho2017,CSP+LDA
0.414326,1.396618,10320.000000,13,0,4,1,Cho2017,CSP+LDA
0.534056,1.371652,10320.000000,14,0,4,1,Cho2017,CSP+LDA
0.494381,1.421940,10320.000000,15,0,4,1,Cho2017,CSP+LDA
0.467687,1.369947,10320.000000,16,0,4,1,Cho2017,CSP+LDA
0.446541,1.367834,10320.000000,17,0,4,1,Cho2017,CSP+LDA
0.444699,1.363803,10320.000000,18,0,4,1,Cho2017,CSP+LDA
0.423384,1.375094,10320.000000,19,0,4,1,Cho2017,CSP+LDA
0.482182,1.368542,10320.000000,20,0,4,1,Cho2017,CSP+LDA
0.491146,1.464205,10320.000000,21,0,4,1,Cho2017,CSP+LDA
0.604199,1.367385,10320.000000,22,0,4,1,Cho2017,CSP+LDA
0.432252,1.373626,10320.000000,23,0,4,1,Cho2017,CSP+LDA
0.514405,1.366605,10320.000000,24,0,4,1,Cho2017,CSP+LDA
0.333333,1.369385,10320.000000,25,0,4,1,Cho2017,CSP+LDA
0.355682,1.375855,10320.000000,26,0,4,1,Cho2017,CSP+LDA
0.407407,1.368394,10320.000000,27,0,4,1,Cho2017,CSP+LDA
0.481274,1.370325,10320.000000,28,0,4,1,Cho2017,CSP+LDA
0.373688,1.372830,10320.000000,29,0,4,1,Cho2017,CSP+LDA
0.328859,1.367438,10320.000000,30,0,4,1,Cho2017,CSP+LDA
0.344349,1.368817,10320.000000,31,0,4,1,Cho2017,CSP+LDA
0.528988,1.511243,10320.000000,32,0,4,1,Cho2017,CSP+LDA
0.397370,1.392099,10320.000000,33,0,4,1,Cho2017,CSP+LDA
0.388379,1.393875,10320.000000,34,0,4,1,Cho2017,CSP+LDA
0.333333,1.365977,10320.000000,35,0,4,1,Cho2017,CSP+LDA
0.533800,1.369181,10320.000000,36,0,4,1,Cho2017,CSP+LDA
0.536554,1.409184,10320.000000,37,0,4,1,Cho2017,CSP+LDA
0.324324,1.366106,10320.000000,38,0,4,1,Cho2017,CSP+LDA
0.333333,1.366813,10320.000000,39,0,4,1,Cho2017,CSP+LDA
0.518266,1.368989,10320.000000,40,0,4,1,Cho2017,CSP+LDA
0.333333,1.364518,10320.000000,41,0,4,1,Cho2017,CSP+LDA
0.326599,1.365919,10320.000000,42,0,4,1,Cho2017,CSP+LDA
0.598997,1.367152,10320.000000,43,0,4,1,Cho2017,CSP+LDA
0.334948,1.365051,10320.000000,44,0,4,1,Cho2017,CSP+LDA
0.490676,1.367363,10320.000000,45,0,4,1,Cho2017,CSP+LDA
0.351589,1.418649,10280.000000,46,0,4,1,Cho2017,CSP+LDA
0.417163,1.373185,10320.000000,47,0,4,1,Cho2017,CSP+LDA
0.339675,1.370945,10320.000000,48,0,4,1,Cho2017,CSP+LDA
0.603075,1.454048,10320.000000,49,0,4,1,Cho2017,CSP+LDA
0.333333,1.404665,10320.000000,50,0,4,1,Cho2017,CSP+LDA
0.512256,1.368863,10320.000000,51,0,4,1,Cho2017,CSP+LDA
0.496957,1.366596,10320.000000,52,0,4,1,Cho2017,CSP+LDA
0.618627,1.085284,10320.000000,1,0,4,1,Cho2017,TS+LR
0.473940,1.076491,10320.000000,2,0,4,1,Cho2017,TS+LR
0.500492,1.084501,10320.000000,3,0,4,1,Cho2017,TS+LR
0.404762,1.086156,10320.000000,4,0,4,1,Cho2017,TS+LR
0.430601,1.085007,10320.000000,5,0,4,1,Cho2017,TS+LR
0.441964,1.087567,10320.000000,6,0,4,1,Cho2017,TS+LR
0.499444,1.081814,10280.000000,7,0,4,1,Cho2017,TS+LR
0.392857,1.086226,10320.000000,8,0,4,1,Cho2017,TS+LR
0.548831,1.080579,10280.000000,9,0,4,1,Cho2017,TS+LR
