score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.791100,10.590436,10320.000000,1,0,21,1,Cho2017,CSP+LDA
0.530800,10.556143,10320.000000,2,0,21,1,Cho2017,CSP+LDA
0.842100,10.533506,10320.000000,3,0,21,1,Cho2017,CSP+LDA
0.808600,10.551401,10320.000000,4,0,21,1,Cho2017,CSP+LDA
0.633000,10.532824,10320.000000,5,0,21,1,Cho2017,CSP+LDA
0.547400,10.589868,10320.000000,6,0,21,1,Cho2017,CSP+LDA
0.519861,10.543362,10280.000000,7,0,21,1,Cho2017,CSP+LDA
0.554000,10.519526,10320.000000,8,0,21,1,Cho2017,CSP+LDA
0.763611,10.559472,10280.000000,9,0,21,1,Cho2017,CSP+LDA
0.731800,10.511481,10320.000000,10,0,21,1,Cho2017,CSP+LDA
0.637700,10.536146,10320.000000,11,0,21,1,Cho2017,CSP+LDA
0.763200,10.498532,10320.000000,12,0,21,1,Cho2017,CSP+LDA
0.439000,10.510559,10320.000000,13,0,21,1,Cho2017,CSP+LDA
0.988800,10.505099,10320.000000,14,0,21,1,Cho2017,CSP+LDA
0.753900,10.514191,10320.000000,15,0,21,1,Cho2017,CSP+LDA
0.598300,10.537998,10320.000000,16,0,21,1,Cho2017,CSP+LDA
0.535100,10.576766,10320.000000,17,0,21,1,Cho2017,CSP+LDA
0.655400,10.524432,10320.000000,18,0,21,1,Cho2017,CSP+LDA
0.706700,10.593050,10320.000000,19,0,21,1,Cho2017,CSP+LDA
0.675700,10.487383,10320.000000,20,0,21,1,Cho2017,CSP+LDA
0.717900,10.568539,10320.000000,21,0,21,1,Cho2017,CSP+LDA
0.726600,10.538422,10320.000000,22,0,21,1,Cho2017,CSP+LDA
0.763800,10.536259,10320.000000,23,0,21,1,Cho2017,CSP+LDA
0.768700,10.531301,10320.000000,24,0,21,1,Cho2017,CSP+LDA
0.647100,10.553260,10320.000000,25,0,21,1,Cho2017,CSP+LDA
0.523300,10.589765,10320.000000,26,0,21,1,Cho2017,CSP+LDA
0.525400,10.538192,10320.000000,27,0,21,1,Cho2017,CSP+LDA
0.467900,10.531016,10320.000000,28,0,21,1,Cho2017,CSP+LDA
0.533400,10.588139,10320.000000,29,0,21,1,Cho2017,CSP+LDA
0.729900,10.547459,10320.000000,30,0,21,1,Cho2017,CSP+LDA
0.763400,10.547367,10320.000000,31,0,21,1,Cho2017,CSP+LDA
0.485900,10.513042,10320.000000,32,0,21,1,Cho2017,CSP+LDA
0.554000,10.524590,10320.000000,33,0,21,1,Cho2017,CSP+LDA
0.525000,10.521591,10320.000000,34,0,21,1,Cho2017,CSP+LDA
0.404500,10.499406,10320.000000,35,0,21,1,Cho2017,CSP+LDA
0.688300,10.516191,10320.000000,36,0,21,1,Cho2017,CSP+LDA
0.755400,10.539822,10320.000000,37,0,21,1,Cho2017,CSP+LDA
0.590000,10.544963,10320.000000,38,0,21,1,Cho2017,CSP+LDA
0.690800,10.567490,10320.000000,39,0,21,1,Cho2017,CSP+LDA
0.533500,10.570966,10320.000000,40,0,21,1,Cho2017,CSP+LDA
0.924500,10.538574,10320.000000,41,0,21,1,Cho2017,CSP+LDA
0.677600,10.546101,10320.000000,42,0,21,1,Cho2017,CSP+LDA
0.986300,10.531506,10320.000000,43,0,21,1,Cho2017,CSP+LDA
0.633700,10.574939,10320.000000,44,0,21,1,Cho2017,CSP+LDA
0.628000,10.562078,10320.000000,45,0,21,1,Cho2017,CSP+LDA
0.614167,10.601905,10280.000000,46,0,21,1,Cho2017,CSP+LDA
