score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.532492,10.539935,10320.000000,1,0,21,1,Cho2017,CSP+LDA
0.539586,10.556117,10320.000000,2,0,21,1,Cho2017,CSP+LDA
0.727273,10.532171,10320.000000,3,0,21,1,Cho2017,CSP+LDA
0.658667,10.536714,10320.000000,4,0,21,1,Cho2017,CSP+LDA
0.594747,10.535597,10320.000000,5,0,21,1,Cho2017,CSP+LDA
0.577233,10.509901,10320.000000,6,0,21,1,Cho2017,CSP+LDA
0.482610,10.577564,10280.000000,7,0,21,1,Cho2017,CSP+LDA
0.498667,10.568573,10320.000000,8,0,21,1,Cho2017,CSP+LDA
0.615830,10.574039,10280.000000,9,0,21,1,Cho2017,CSP+LDA
0.649965,10.535051,10320.000000,10,0,21,1,Cho2017,CSP+LDA
0.376299,10.528819,10320.000000,11,0,21,1,Cho2017,CSP+LDA
0.694381,10.521671,10320.000000,12,0,21,1,Cho2017,CSP+LDA
0.407407,10.502133,10320.000000,13,0,21,1,Cho2017,CSP+LDA
0.944888,10.557157,10320.000000,14,0,21,1,Cho2017,CSP+LDA
0.670477,10.538507,10320.000000,15,0,21,1,Cho2017,CSP+LDA
0.502488,10.552849,10320.000000,16,0,21,1,Cho2017,CSP+LDA
0.521920,10.567526,10320.000000,17,0,21,1,Cho2017,CSP+LDA
0.484582,10.550810,10320.000000,18,0,21,1,Cho2017,CSP+LDA
0.655624,10.547470,10320.000000,19,0,21,1,Cho2017,CSP+LDA
0.509677,10.603301,10320.000000,20,0,21,1,Cho2017,CSP+LDA
0.585921,10.520354,10320.000000,21,0,21,1,Cho2017,CSP+LDA
0.658772,10.564465,10320.000000,22,0,21,1,Cho2017,CSP+LDA
0.638280,10.524950,10320.000000,23,0,21,1,Cho2017,CSP+LDA
0.707071,10.526899,10320.000000,24,0,21,1,Cho2017,CSP+LDA
0.618627,10.548230,10320.000000,25,0,21,1,Cho2017,CSP+LDA
0.464503,10.550494,10320.000000,26,0,21,1,Cho2017,CSP+LDA
0.333333,10.534562,10320.000000,27,0,21,1,Cho2017,CSP+LDA
