score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.594300,1.054997,10320.000000,1,0,3,1,Cho2017,TS+EL
0.498800,1.057621,10320.000000,2,0,3,1,Cho2017,TS+EL
0.818700,1.053885,10320.000000,3,0,3,1,Cho2017,TS+EL
0.673900,1.064608,10320.000000,4,0,3,1,Cho2017,TS+EL
0.634900,1.061569,10320.000000,5,0,3,1,Cho2017,TS+EL
0.529800,1.064558,10320.000000,6,0,3,1,Cho2017,TS+EL
0.519861,1.049905,10280.000000,7,0,3,1,Cho2017,TS+EL
0.502200,1.053059,10320.000000,8,0,3,1,Cho2017,TS+EL
0.754375,1.050514,10280.000000,9,0,3,1,Cho2017,TS+EL
0.697900,1.054131,10320.000000,10,0,3,1,Cho2017,TS+EL
0.668200,1.059924,10320.000000,11,0,3,1,Cho2017,TS+EL
0.762400,1.059955,10320.000000,12,0,3,1,Cho2017,TS+EL
0.450400,1.060953,10320.000000,13,0,3,1,Cho2017,TS+EL
0.988200,1.057894,10320.000000,14,0,3,1,Cho2017,TS+EL
0.694900,1.065980,10320.000000,15,0,3,1,Cho2017,TS+EL
0.560500,1.058121,10320.000000,16,0,3,1,Cho2017,TS+EL
0.521100,1.048162,10320.000000,17,0,3,1,Cho2017,TS+EL
0.622500,1.055476,10320.000000,18,0,3,1,Cho2017,TS+EL
0.672900,1.059677,10320.000000,19,0,3,1,Cho2017,TS+EL
0.678500,1.065262,10320.000000,20,0,3,1,Cho2017,TS+EL
0.616100,1.055789,10320.000000,21,0,3,1,Cho2017,TS+EL
0.723100,1.062969,10320.000000,22,0,3,1,Cho2017,TS+EL
0.645000,1.061454,10320.000000,23,0,3,1,Cho2017,TS+EL
0.654900,1.059886,10320.000000,24,0,3,1,Cho2017,TS+EL
0.657800,1.056534,10320.000000,25,0,3,1,Cho2017,TS+EL
0.561300,1.057137,10320.000000,26,0,3,1,Cho2017,TS+EL
0.490300,1.059612,10320.000000,27,0,3,1,Cho2017,TS+EL
0.427100,1.051908,10320.000000,28,0,3,1,Cho2017,TS+EL
0.522100,1.059476,10320.000000,29,0,3,1,Cho2017,TS+EL
0.669100,1.065110,10320.000000,30,0,3,1,Cho2017,TS+EL
0.685200,1.061863,10320.000000,31,0,3,1,Cho2017,TS+EL
0.490800,1.059024,10320.000000,32,0,3,1,Cho2017,TS+EL
0.515700,1.054588,10320.000000,33,0,3,1,Cho2017,TS+EL
0.501600,1.056506,10320.000000,34,0,3,1,Cho2017,TS+EL
0.359900,1.058486,10320.000000,35,0,3,1,Cho2017,TS+EL
0.603500,1.055970,10320.000000,36,0,3,1,Cho2017,TS+EL
0.658100,1.058841,10320.000000,37,0,3,1,Cho2017,TS+EL
0.624400,1.055559,10320.000000,38,0,3,1,Cho2017,TS+EL
0.602800,1.049365,10320.000000,39,0,3,1,Cho2017,TS+EL
0.564500,1.062833,10320.000000,40,0,3,1,Cho2017,TS+EL
0.850800,1.056839,10320.000000,41,0,3,1,Cho2017,TS+EL
0.646700,1.058222,10320.000000,42,0,3,1,Cho2017,TS+EL
0.930600,1.058836,10320.000000,43,0,3,1,Cho2017,TS+EL
0.611800,1.058872,10320.000000,44,0,3,1,Cho2017,TS+EL
0.673300,1.056963,10320.000000,45,0,3,1,Cho2017,TS+EL
0.610139,1.057332,10280.000000,46,0,3,1,Cho2017,TS+EL
0.637400,1.061197,10320.000000,47,0,3,1,Cho2017,TS+EL
0.705100,1.056568,10320.000000,48,0,3,1,Cho2017,TS+EL
0.627300,1.055630,10320.000000,49,0,3,1,Cho2017,TS+EL
0.527000,1.063662,10320.000000,50,0,3,1,Cho2017,TS+EL
0.584600,1.050904,10320.000000,51,0,3,1,Cho2017,TS+EL
0.517500,1.064864,10320.000000,52,0,3,1,Cho2017,TS+EL
0.594200,1.048163,10320.000000,1,0,3,1,Cho2017,TS+LR
0.499000,1.048619,10320.000000,2,0,3,1,Cho2017,TS+LR
0.818700,1.049071,10320.000000,3,0,3,1,Cho2017,TS+LR
0.674000,1.051243,10320.000000,4,0,3,1,Cho2017,TS+LR
0.635200,1.045355,10320.000000,5,0,3,1,Cho2017,TS+LR
0.530400,1.059412,10320.000000,6,0,3,1,Cho2017,TS+LR
0.519653,1.047585,10280.000000,7,0,3,1,Cho2017,TS+LR
0.502400,1.050440,10320.000000,8,0,3,1,Cho2017,TS+LR
0.754236,1.051717,10280.000000,9,0,3,1,Cho2017,TS+LR
0.697600,1.049714,10320.000000,10,0,3,1,Cho2017,TS+LR
0.668500,1.045240,10320.000000,11,0,3,1,Cho2017,TS+LR
0.762000,1.050018,10320.000000,12,0,3,1,Cho2017,TS+LR
0.449700,1.050319,10320.000000,13,0,3,1,Cho2017,TS+LR
0.988100,1.055366,10320.000000,14,0,3,1,Cho2017,TS+LR
0.694900,1.058174,10320.000000,15,0,3,1,Cho2017,TS+LR
0.561100,1.047281,10320.000000,16,0,3,1,Cho2017,TS+LR
0.521400,1.051712,10320.000000,17,0,3,1,Cho2017,TS+LR
0.622400,1.051569,10320.000000,18,0,3,1,Cho2017,TS+LR
0.673100,1.055546,10320.000000,19,0,3,1,Cho2017,TS+LR
0.678600,1.055973,10320.000000,20,0,3,1,Cho2017,TS+LR
0.616500,1.048275,10320.000000,21,0,3,1,Cho2017,TS+LR
0.722900,1.056954,10320.000000,22,0,3,1,Cho2017,TS+LR
0.645000,1.049970,10320.000000,23,0,3,1,Cho2017,TS+LR
0.654800,1.046867,10320.000000,24,0,3,1,Cho2017,TS+LR
0.657800,1.056647,10320.000000,25,0,3,1,Cho2017,TS+LR
0.561700,1.050262,10320.000000,26,0,3,1,Cho2017,TS+LR
0.490500,1.054026,10320.000000,27,0,3,1,Cho2017,TS+LR
0.426800,1.055486,10320.000000,28,0,3,1,Cho2017,TS+LR
0.522000,1.047805,10320.000000,29,0,3,1,Cho2017,TS+LR
0.670100,1.051021,10320.000000,30,0,3,1,Cho2017,TS+LR
0.684800,1.050113,10320.000000,31,0,3,1,Cho2017,TS+LR
0.490800,1.057763,10320.000000,32,0,3,1,Cho2017,TS+LR
0.516100,1.049063,10320.000000,33,0,3,1,Cho2017,TS+LR
0.502000,1.049119,10320.000000,34,0,3,1,Cho2017,TS+LR
0.360400,1.053073,10320.000000,35,0,3,1,Cho2017,TS+LR
0.603400,1.056656,10320.000000,36,0,3,1,Cho2017,TS+LR
0.658300,1.053971,10320.000000,37,0,3,1,Cho2017,TS+LR
0.624900,1.045346,10320.000000,38,0,3,1,Cho2017,TS+LR
0.602700,1.040726,10320.000000,39,0,3,1,Cho2017,TS+LR
0.563900,1.052692,10320.000000,40,0,3,1,Cho2017,TS+LR
0.851000,1.050323,10320.000000,41,0,3,1,Cho2017,TS+LR
0.646700,1.049905,10320.000000,42,0,3,1,Cho2017,TS+LR
0.930300,1.048519,10320.000000,43,0,3,1,Cho2017,TS+LR
0.612000,1.052995,10320.000000,44,0,3,1,Cho2017,TS+LR
0.673600,1.052023,10320.000000,45,0,3,1,Cho2017,TS+LR
0.610486,1.044129,10280.000000,46,0,3,1,Cho2017,TS+LR
0.637400,1.052157,10320.000000,47,0,3,1,Cho2017,TS+LR
0.704900,1.047388,10320.000000,48,0,3,1,Cho2017,TS+LR
0.627900,1.048065,10320.000000,49,0,3,1,Cho2017,TS+LR
