score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.392361,1.059057,10320.000000,1,0,3,1,Cho2017,TS+EL
0.461575,1.050313,10320.000000,2,0,3,1,Cho2017,TS+EL
0.646075,1.058567,10320.000000,3,0,3,1,Cho2017,TS+EL
0.631676,1.051578,10320.000000,4,0,3,1,Cho2017,TS+EL
0.555658,1.052154,10320.000000,5,0,3,1,Cho2017,TS+EL
0.538338,1.050193,10320.000000,6,0,3,1,Cho2017,TS+EL
0.523810,1.050509,10280.000000,7,0,3,1,Cho2017,TS+EL
0.450118,1.052307,10320.000000,8,0,3,1,Cho2017,TS+EL
0.646652,1.051715,10280.000000,9,0,3,1,Cho2017,TS+EL
0.629073,1.051219,10320.000000,10,0,3,1,Cho2017,TS+EL
0.562870,1.061783,10320.000000,11,0,3,1,Cho2017,TS+EL
0.679487,1.050506,10320.000000,12,0,3,1,Cho2017,TS+EL
0.383677,1.055258,10320.000000,13,0,3,1,Cho2017,TS+EL
0.851886,1.049323,10320.000000,14,0,3,1,Cho2017,TS+EL
0.615346,1.057922,10320.000000,15,0,3,1,Cho2017,TS+EL
0.496957,1.062096,10320.000000,16,0,3,1,Cho2017,TS+EL
0.488722,1.056487,10320.000000,17,0,3,1,Cho2017,TS+EL
0.558201,1.056387,10320.000000,18,0,3,1,Cho2017,TS+EL
0.629852,1.051233,10320.000000,19,0,3,1,Cho2017,TS+EL
0.509677,1.056961,10320.000000,20,0,3,1,Cho2017,TS+EL
0.548440,1.058923,10320.000000,21,0,3,1,Cho2017,TS+EL
0.630451,1.051878,10320.000000,22,0,3,1,Cho2017,TS+EL
0.560623,1.060297,10320.000000,23,0,3,1,Cho2017,TS+EL
0.455725,1.050963,10320.000000,24,0,3,1,Cho2017,TS+EL
0.609961,1.052720,10320.000000,25,0,3,1,Cho2017,TS+EL
0.537735,1.055584,10320.000000,26,0,3,1,Cho2017,TS+EL
0.344349,1.055216,10320.000000,27,0,3,1,Cho2017,TS+EL
0.344349,1.052262,10320.000000,28,0,3,1,Cho2017,TS+EL
0.456395,1.053571,10320.000000,29,0,3,1,Cho2017,TS+EL
