score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.580200,3.359646,10320.000000,1,0,8,1,Cho2017,CSP+LDA
0.541300,3.307726,10320.000000,2,0,8,1,Cho2017,CSP+LDA
0.848400,3.322021,10320.000000,3,0,8,1,Cho2017,CSP+LDA
0.696700,3.318288,10320.000000,4,0,8,1,Cho2017,CSP+LDA
0.682400,3.308658,10320.000000,5,0,8,1,Cho2017,CSP+LDA
0.530400,3.330591,10320.000000,6,0,8,1,Cho2017,CSP+LDA
0.508542,3.281415,10280.000000,7,0,8,1,Cho2017,CSP+LDA
0.586200,3.427583,10320.000000,8,0,8,1,Cho2017,CSP+LDA
0.651528,3.278726,10280.000000,9,0,8,1,Cho2017,CSP+LDA
0.654100,3.313279,10320.000000,10,0,8,1,Cho2017,CSP+LDA
0.594700,3.340980,10320.000000,11,0,8,1,Cho2017,CSP+LDA
0.643600,3.312190,10320.000000,12,0,8,1,Cho2017,CSP+LDA
0.576700,3.341960,10320.000000,13,0,8,1,Cho2017,CSP+LDA
0.927100,3.401784,10320.000000,14,0,8,1,Cho2017,CSP+LDA
0.630200,3.316312,10320.000000,15,0,8,1,Cho2017,CSP+LDA
0.591300,3.318621,10320.000000,16,0,8,1,Cho2017,CSP+LDA
0.454200,3.303578,10320.000000,17,0,8,1,Cho2017,CSP+LDA
0.675300,3.324616,10320.000000,18,0,8,1,Cho2017,CSP+LDA
0.671200,3.325570,10320.000000,19,0,8,1,Cho2017,CSP+LDA
0.677200,3.339849,10320.000000,20,0,8,1,Cho2017,CSP+LDA
0.682500,3.306439,10320.000000,21,0,8,1,Cho2017,CSP+LDA
0.640100,3.389984,10320.000000,22,0,8,1,Cho2017,CSP+LDA
0.643600,3.305222,10320.000000,23,0,8,1,Cho2017,CSP+LDA
0.581500,3.357579,10320.000000,24,0,8,1,Cho2017,CSP+LDA
0.623800,3.336747,10320.000000,25,0,8,1,Cho2017,CSP+LDA
0.634500,3.363007,10320.000000,26,0,8,1,Cho2017,CSP+LDA
0.509900,3.354062,10320.000000,27,0,8,1,Cho2017,CSP+LDA
0.459600,3.328869,10320.000000,28,0,8,1,Cho2017,CSP+LDA
0.558800,3.319658,10320.000000,29,0,8,1,Cho2017,CSP+LDA
0.606400,3.352418,10320.000000,30,0,8,1,Cho2017,CSP+LDA
0.612900,3.314700,10320.000000,31,0,8,1,Cho2017,CSP+LDA
0.527500,3.370914,10320.000000,32,0,8,1,Cho2017,CSP+LDA
0.555700,3.365535,10320.000000,33,0,8,1,Cho2017,CSP+LDA
0.478100,3.388917,10320.000000,34,0,8,1,Cho2017,CSP+LDA
0.499400,3.325408,10320.000000,35,0,8,1,Cho2017,CSP+LDA
0.663600,3.314690,10320.000000,36,0,8,1,Cho2017,CSP+LDA
0.514500,3.311980,10320.000000,37,0,8,1,Cho2017,CSP+LDA
0.584000,3.383261,10320.000000,38,0,8,1,Cho2017,CSP+LDA
0.610800,3.348978,10320.000000,39,0,8,1,Cho2017,CSP+LDA
0.551400,3.323354,10320.000000,40,0,8,1,Cho2017,CSP+LDA
0.768300,3.370269,10320.000000,41,0,8,1,Cho2017,CSP+LDA
0.604500,3.323354,10320.000000,42,0,8,1,Cho2017,CSP+LDA
0.926200,3.489007,10320.000000,43,0,8,1,Cho2017,CSP+LDA
0.635600,3.357064,10320.000000,44,0,8,1,Cho2017,CSP+LDA
0.619000,3.310787,10320.000000,45,0,8,1,Cho2017,CSP+LDA
0.643750,3.320816,10280.000000,46,0,8,1,Cho2017,CSP+LDA
0.660500,3.372422,10320.000000,47,0,8,1,Cho2017,CSP+LDA
0.644800,3.390200,10320.000000,48,0,8,1,Cho2017,CSP+LDA
0.740000,3.344136,10320.000000,49,0,8,1,Cho2017,CSP+LDA
0.496000,3.320513,10320.000000,50,0,8,1,Cho2017,CSP+LDA
0.649800,3.381935,10320.000000,51,0,8,1,Cho2017,CSP+LDA
0.545500,3.374308,10320.000000,52,0,8,1,Cho2017,CSP+LDA
