score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.541333,3.314197,10320.000000,1,0,8,1,Cho2017,CSP+LDA
0.487394,3.343564,10320.000000,2,0,8,1,Cho2017,CSP+LDA
0.740952,3.315398,10320.000000,3,0,8,1,Cho2017,CSP+LDA
0.639365,3.357928,10320.000000,4,0,8,1,Cho2017,CSP+LDA
0.642416,3.364155,10320.000000,5,0,8,1,Cho2017,CSP+LDA
0.455451,3.347048,10320.000000,6,0,8,1,Cho2017,CSP+LDA
0.459740,3.285789,10280.000000,7,0,8,1,Cho2017,CSP+LDA
0.462366,3.317791,10320.000000,8,0,8,1,Cho2017,CSP+LDA
0.455739,3.344310,10280.000000,9,0,8,1,Cho2017,CSP+LDA
0.581546,3.353190,10320.000000,10,0,8,1,Cho2017,CSP+LDA
0.521390,3.332362,10320.000000,11,0,8,1,Cho2017,CSP+LDA
0.464286,3.336849,10320.000000,12,0,8,1,Cho2017,CSP+LDA
0.407712,3.332784,10320.000000,13,0,8,1,Cho2017,CSP+LDA
0.355178,3.350832,10320.000000,14,0,8,1,Cho2017,CSP+LDA
0.501042,3.332953,10320.000000,15,0,8,1,Cho2017,CSP+LDA
0.326599,3.324238,10320.000000,16,0,8,1,Cho2017,CSP+LDA
0.411517,3.321046,10320.000000,17,0,8,1,Cho2017,CSP+LDA
0.559939,3.320410,10320.000000,18,0,8,1,Cho2017,CSP+LDA
0.475066,3.440008,10320.000000,19,0,8,1,Cho2017,CSP+LDA
0.420290,3.343880,10320.000000,20,0,8,1,Cho2017,CSP+LDA
0.365827,3.317777,10320.000000,21,0,8,1,Cho2017,CSP+LDA
0.591312,3.351747,10320.000000,22,0,8,1,Cho2017,CSP+LDA
0.502446,3.360270,10320.000000,23,0,8,1,Cho2017,CSP+LDA
0.430199,3.343834,10320.000000,24,0,8,1,Cho2017,CSP+LDA
0.532145,3.373871,10320.000000,25,0,8,1,Cho2017,CSP+LDA
0.524808,3.393339,10320.000000,26,0,8,1,Cho2017,CSP+LDA
0.333333,3.360949,10320.000000,27,0,8,1,Cho2017,CSP+LDA
0.352751,3.385765,10320.000000,28,0,8,1,Cho2017,CSP+LDA
0.511749,3.313973,10320.000000,29,0,8,1,Cho2017,CSP+LDA
0.537410,3.336765,10320.000000,30,0,8,1,Cho2017,CSP+LDA
0.474053,3.349049,10320.000000,31,0,8,1,Cho2017,CSP+LDA
0.516080,3.332666,10320.000000,32,0,8,1,Cho2017,CSP+LDA
0.342019,3.316320,10320.000000,33,0,8,1,Cho2017,CSP+LDA
0.334859,3.324076,10320.000000,34,0,8,1,Cho2017,CSP+LDA
0.363306,3.380768,10320.000000,35,0,8,1,Cho2017,CSP+LDA
0.614219,3.321874,10320.000000,36,0,8,1,Cho2017,CSP+LDA
0.339675,3.345390,10320.000000,37,0,8,1,Cho2017,CSP+LDA
0.385580,3.426909,10320.000000,38,0,8,1,Cho2017,CSP+LDA
0.333333,3.333476,10320.000000,39,0,8,1,Cho2017,CSP+LDA
0.449474,3.364616,10320.000000,40,0,8,1,Cho2017,CSP+LDA
0.603175,3.395109,10320.000000,41,0,8,1,Cho2017,CSP+LDA
0.506649,3.358684,10320.000000,42,0,8,1,Cho2017,CSP+LDA
0.578899,3.320666,10320.000000,43,0,8,1,Cho2017,CSP+LDA
0.575552,3.345553,10320.000000,44,0,8,1,Cho2017,CSP+LDA
0.420181,3.320507,10320.000000,45,0,8,1,Cho2017,CSP+LDA
0.331476,3.337489,10280.000000,46,0,8,1,Cho2017,CSP+LDA
0.596517,3.325329,10320.000000,47,0,8,1,Cho2017,CSP+LDA
0.451142,3.346238,10320.000000,48,0,8,1,Cho2017,CSP+LDA
0.602837,3.343074,10320.000000,49,0,8,1,Cho2017,CSP+LDA
0.481274,3.322222,10320.000000,50,0,8,1,Cho2017,CSP+LDA
0.383905,3.376211,10320.000000,51,0,8,1,Cho2017,CSP+LDA
0.342019,3.328628,10320.000000,52,0,8,1,Cho2017,CSP+LDA
0.603296,1.499916,10320.000000,1,0,8,1,Cho2017,TS+EL
0.374310,1.500032,10320.000000,2,0,8,1,Cho2017,TS+EL
0.648000,1.501113,10320.000000,3,0,8,1,Cho2017,TS+EL
0.645344,1.498915,10320.000000,4,0,8,1,Cho2017,TS+EL
0.623862,1.505111,10320.000000,5,0,8,1,Cho2017,TS+EL
0.558703,1.494416,10320.000000,6,0,8,1,Cho2017,TS+EL
0.560784,1.489813,10280.000000,7,0,8,1,Cho2017,TS+EL
0.535478,1.498581,10320.000000,8,0,8,1,Cho2017,TS+EL
0.664781,1.487888,10280.000000,9,0,8,1,Cho2017,TS+EL
0.552000,1.496234,10320.000000,10,0,8,1,Cho2017,TS+EL
0.497813,1.502702,10320.000000,11,0,8,1,Cho2017,TS+EL
0.573333,1.495673,10320.000000,12,0,8,1,Cho2017,TS+EL
0.380767,1.486203,10320.000000,13,0,8,1,Cho2017,TS+EL
0.697983,1.488051,10320.000000,14,0,8,1,Cho2017,TS+EL
0.404762,1.494632,10320.000000,15,0,8,1,Cho2017,TS+EL
0.623640,1.485480,10320.000000,16,0,8,1,Cho2017,TS+EL
0.454986,1.494433,10320.000000,17,0,8,1,Cho2017,TS+EL
0.570262,1.498089,10320.000000,18,0,8,1,Cho2017,TS+EL
0.619974,1.497007,10320.000000,19,0,8,1,Cho2017,TS+EL
0.610177,1.503614,10320.000000,20,0,8,1,Cho2017,TS+EL
0.644991,1.499045,10320.000000,21,0,8,1,Cho2017,TS+EL
0.614990,1.491081,10320.000000,22,0,8,1,Cho2017,TS+EL
0.624249,1.494847,10320.000000,23,0,8,1,Cho2017,TS+EL
0.556395,1.489708,10320.000000,24,0,8,1,Cho2017,TS+EL
0.569613,1.490047,10320.000000,25,0,8,1,Cho2017,TS+EL
0.463914,1.489473,10320.000000,26,0,8,1,Cho2017,TS+EL
0.381200,1.494260,10320.000000,27,0,8,1,Cho2017,TS+EL
0.315068,1.500649,10320.000000,28,0,8,1,Cho2017,TS+EL
0.564902,1.493598,10320.000000,29,0,8,1,Cho2017,TS+EL
0.619974,1.491061,10320.000000,30,0,8,1,Cho2017,TS+EL
0.386602,1.494545,10320.000000,31,0,8,1,Cho2017,TS+EL
0.438896,1.488839,10320.000000,32,0,8,1,Cho2017,TS+EL
0.514016,1.484657,10320.000000,33,0,8,1,Cho2017,TS+EL
0.466667,1.501619,10320.000000,34,0,8,1,Cho2017,TS+EL
0.423062,1.502501,10320.000000,35,0,8,1,Cho2017,TS+EL
0.622271,1.500708,10320.000000,36,0,8,1,Cho2017,TS+EL
0.388776,1.493648,10320.000000,37,0,8,1,Cho2017,TS+EL
0.476281,1.504760,10320.000000,38,0,8,1,Cho2017,TS+EL
0.584158,1.498034,10320.000000,39,0,8,1,Cho2017,TS+EL
0.524284,1.495343,10320.000000,40,0,8,1,Cho2017,TS+EL
0.708879,1.492751,10320.000000,41,0,8,1,Cho2017,TS+EL
0.619048,1.496670,10320.000000,42,0,8,1,Cho2017,TS+EL
0.837250,1.497038,10320.000000,43,0,8,1,Cho2017,TS+EL
0.537410,1.496000,10320.000000,44,0,8,1,Cho2017,TS+EL
0.574138,1.497747,10320.000000,45,0,8,1,Cho2017,TS+EL
0.420240,1.493208,10280.000000,46,0,8,1,Cho2017,TS+EL
0.562608,1.497329,10320.000000,47,0,8,1,Cho2017,TS+EL
0.724442,1.497578,10320.000000,48,0,8,1,Cho2017,TS+EL
0.545442,1.498856,10320.000000,49,0,8,1,Cho2017,TS+EL
0.491325,1.496520,10320.000000,50,0,8,1,Cho2017,TS+EL
0.634552,1.503466,10320.000000,51,0,8,1,Cho2017,TS+EL
0.614448,1.505002,10320.000000,52,0,8,1,Cho2017,TS+EL
0.589491,2.512549,10320.000000,1,0,8,1,Cho2017,TS+SVM
0.377139,2.491959,10320.000000,2,0,8,1,Cho2017,TS+SVM
0.631006,2.512740,10320.000000,3,0,8,1,Cho2017,TS+SVM
0.645833,2.478723,10320.000000,4,0,8,1,Cho2017,TS+SVM
0.613832,2.535408,10320.000000,5,0,8,1,Cho2017,TS+SVM
0.584010,2.462040,10320.000000,6,0,8,1,Cho2017,TS+SVM
0.548464,2.435834,10280.000000,7,0,8,1,Cho2017,TS+SVM
0.533433,2.519691,10320.000000,8,0,8,1,Cho2017,TS+SVM
0.678894,2.517649,10280.000000,9,0,8,1,Cho2017,TS+SVM
0.562667,2.502975,10320.000000,10,0,8,1,Cho2017,TS+SVM
0.509994,2.456270,10320.000000,11,0,8,1,Cho2017,TS+SVM
0.594470,2.502387,10320.000000,12,0,8,1,Cho2017,TS+SVM
0.371472,2.472182,10320.000000,13,0,8,1,Cho2017,TS+SVM
0.663717,2.460232,10320.000000,14,0,8,1,Cho2017,TS+SVM
0.472733,2.514102,10320.000000,15,0,8,1,Cho2017,TS+SVM
0.589491,2.497218,10320.000000,16,0,8,1,Cho2017,TS+SVM
0.446457,2.453909,10320.000000,17,0,8,1,Cho2017,TS+SVM
0.564733,2.493837,10320.000000,18,0,8,1,Cho2017,TS+SVM
0.621585,2.465248,10320.000000,19,0,8,1,Cho2017,TS+SVM
0.608549,2.459516,10320.000000,20,0,8,1,Cho2017,TS+SVM
0.659966,2.537256,10320.000000,21,0,8,1,Cho2017,TS+SVM
0.604911,2.484853,10320.000000,22,0,8,1,Cho2017,TS+SVM
0.602732,2.478238,10320.000000,23,0,8,1,Cho2017,TS+SVM
0.624785,2.505589,10320.000000,24,0,8,1,Cho2017,TS+SVM
0.553112,2.505476,10320.000000,25,0,8,1,Cho2017,TS+SVM
0.482087,2.527618,10320.000000,26,0,8,1,Cho2017,TS+SVM
0.381200,2.534889,10320.000000,27,0,8,1,Cho2017,TS+SVM
0.320428,2.510179,10320.000000,28,0,8,1,Cho2017,TS+SVM
0.574904,2.501414,10320.000000,29,0,8,1,Cho2017,TS+SVM
0.630931,2.492478,10320.000000,30,0,8,1,Cho2017,TS+SVM
0.376299,2.481060,10320.000000,31,0,8,1,Cho2017,TS+SVM
0.438896,2.522069,10320.000000,32,0,8,1,Cho2017,TS+SVM
0.514405,2.491675,10320.000000,33,0,8,1,Cho2017,TS+SVM
0.489124,2.496593,10320.000000,34,0,8,1,Cho2017,TS+SVM
0.410914,2.516109,10320.000000,35,0,8,1,Cho2017,TS+SVM
0.595960,2.512277,10320.000000,36,0,8,1,Cho2017,TS+SVM
0.395966,2.461040,10320.000000,37,0,8,1,Cho2017,TS+SVM
0.480031,2.480283,10320.000000,38,0,8,1,Cho2017,TS+SVM
0.554402,2.500061,10320.000000,39,0,8,1,Cho2017,TS+SVM
0.505981,2.466157,10320.000000,40,0,8,1,Cho2017,TS+SVM
0.701370,2.457652,10320.000000,41,0,8,1,Cho2017,TS+SVM
0.590793,2.489745,10320.000000,42,0,8,1,Cho2017,TS+SVM
