score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.701500,1.971918,10320.000000,1,0,4,1,Cho2017,TS+SVM
0.471400,1.905646,10320.000000,2,0,4,1,Cho2017,TS+SVM
0.478200,1.916384,10320.000000,3,0,4,1,Cho2017,TS+SVM
0.594700,1.963906,10320.000000,4,0,4,1,Cho2017,TS+SVM
0.587600,1.989312,10320.000000,5,0,4,1,Cho2017,TS+SVM
0.544200,1.970267,10320.000000,6,0,4,1,Cho2017,TS+SVM
0.520000,1.903859,10280.000000,7,0,4,1,Cho2017,TS+SVM
0.494900,1.943419,10320.000000,8,0,4,1,Cho2017,TS+SVM
0.547083,1.920858,10280.000000,9,0,4,1,Cho2017,TS+SVM
0.639100,1.908208,10320.000000,10,0,4,1,Cho2017,TS+SVM
0.671000,1.946121,10320.000000,11,0,4,1,Cho2017,TS+SVM
0.511300,1.939688,10320.000000,12,0,4,1,Cho2017,TS+SVM
0.314200,1.917459,10320.000000,13,0,4,1,Cho2017,TS+SVM
0.558200,1.925381,10320.000000,14,0,4,1,Cho2017,TS+SVM
0.497800,1.951666,10320.000000,15,0,4,1,Cho2017,TS+SVM
0.554200,1.875430,10320.000000,16,0,4,1,Cho2017,TS+SVM
0.491800,1.907000,10320.000000,17,0,4,1,Cho2017,TS+SVM
0.589200,1.881713,10320.000000,18,0,4,1,Cho2017,TS+SVM
0.533200,1.979103,10320.000000,19,0,4,1,Cho2017,TS+SVM
0.706300,1.913474,10320.000000,20,0,4,1,Cho2017,TS+SVM
0.545600,1.906121,10320.000000,21,0,4,1,Cho2017,TS+SVM
0.590700,1.978479,10320.000000,22,0,4,1,Cho2017,TS+SVM
0.548300,1.976839,10320.000000,23,0,4,1,Cho2017,TS+SVM
0.545800,1.964249,10320.000000,24,0,4,1,Cho2017,TS+SVM
0.506100,1.956159,10320.000000,25,0,4,1,Cho2017,TS+SVM
0.591100,1.888942,10320.000000,26,0,4,1,Cho2017,TS+SVM
0.577600,1.897336,10320.000000,27,0,4,1,Cho2017,TS+SVM
0.450000,1.974149,10320.000000,28,0,4,1,Cho2017,TS+SVM
0.521400,1.961967,10320.000000,29,0,4,1,Cho2017,TS+SVM
0.429200,1.949249,10320.000000,30,0,4,1,Cho2017,TS+SVM
0.499000,1.970008,10320.000000,31,0,4,1,Cho2017,TS+SVM
0.494700,1.995573,10320.000000,32,0,4,1,Cho2017,TS+SVM
0.499500,1.972686,10320.000000,33,0,4,1,Cho2017,TS+SVM
0.500700,1.907531,10320.000000,34,0,4,1,Cho2017,TS+SVM
0.339600,1.932031,10320.000000,35,0,4,1,Cho2017,TS+SVM
0.535700,1.986652,10320.000000,36,0,4,1,Cho2017,TS+SVM
0.561000,1.962808,10320.000000,37,0,4,1,Cho2017,TS+SVM
0.516000,1.934102,10320.000000,38,0,4,1,Cho2017,TS+SVM
0.633400,1.921250,10320.000000,39,0,4,1,Cho2017,TS+SVM
0.524600,1.948499,10320.000000,40,0,4,1,Cho2017,TS+SVM
0.527100,1.979124,10320.000000,41,0,4,1,Cho2017,TS+SVM
0.559400,1.909081,10320.000000,42,0,4,1,Cho2017,TS+SVM
0.675200,1.949133,10320.000000,43,0,4,1,Cho2017,TS+SVM
0.576600,1.960582,10320.000000,44,0,4,1,Cho2017,TS+SVM
0.499300,1.950874,10320.000000,45,0,4,1,Cho2017,TS+SVM
0.512639,1.984346,10280.000000,46,0,4,1,Cho2017,TS+SVM
0.602300,1.952590,10320.000000,47,0,4,1,Cho2017,TS+SVM
0.572600,1.965115,10320.000000,48,0,4,1,Cho2017,TS+SVM
0.559300,1.872651,10320.000000,49,0,4,1,Cho2017,TS+SVM
0.346400,1.946738,10320.000000,50,0,4,1,Cho2017,TS+SVM
0.573100,1.927826,10320.000000,51,0,4,1,Cho2017,TS+SVM
0.514000,1.902200,10320.000000,52,0,4,1,Cho2017,TS+SVM
0.585300,1.528694,10320.000000,1,0,4,1,Cho2017,CSP+LDA
0.512000,1.502102,10320.000000,2,0,4,1,Cho2017,CSP+LDA
0.640900,1.467572,10320.000000,3,0,4,1,Cho2017,CSP+LDA
0.519100,1.442784,10320.000000,4,0,4,1,Cho2017,CSP+LDA
0.607800,1.488585,10320.000000,5,0,4,1,Cho2017,CSP+LDA
0.564800,1.486196,10320.000000,6,0,4,1,Cho2017,CSP+LDA
0.479028,1.502275,10280.000000,7,0,4,1,Cho2017,CSP+LDA
0.566600,1.529637,10320.000000,8,0,4,1,Cho2017,CSP+LDA
0.561736,1.611297,10280.000000,9,0,4,1,Cho2017,CSP+LDA
0.554600,1.435839,10320.000000,10,0,4,1,Cho2017,CSP+LDA
0.548200,1.584038,10320.000000,11,0,4,1,Cho2017,CSP+LDA
0.397700,1.537886,10320.000000,12,0,4,1,Cho2017,CSP+LDA
0.428300,1.434590,10320.000000,13,0,4,1,Cho2017,CSP+LDA
0.512900,1.443618,10320.000000,14,0,4,1,Cho2017,CSP+LDA
0.505000,1.444482,10320.000000,15,0,4,1,Cho2017,CSP+LDA
0.593800,1.519168,10320.000000,16,0,4,1,Cho2017,CSP+LDA
0.501100,1.439094,10320.000000,17,0,4,1,Cho2017,CSP+LDA
0.554700,1.500010,10320.000000,18,0,4,1,Cho2017,CSP+LDA
0.555100,1.581193,10320.000000,19,0,4,1,Cho2017,CSP+LDA
0.643900,1.439302,10320.000000,20,0,4,1,Cho2017,CSP+LDA
0.533100,1.440523,10320.000000,21,0,4,1,Cho2017,CSP+LDA
0.631400,1.463665,10320.000000,22,0,4,1,Cho2017,CSP+LDA
0.525500,1.438569,10320.000000,23,0,4,1,Cho2017,CSP+LDA
0.483600,1.438273,10320.000000,24,0,4,1,Cho2017,CSP+LDA
0.557300,1.438815,10320.000000,25,0,4,1,Cho2017,CSP+LDA
0.539600,1.452401,10320.000000,26,0,4,1,Cho2017,CSP+LDA
