score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.659694,1.909028,10320.000000,1,0,4,1,Cho2017,TS+SVM
0.479046,1.898500,10320.000000,2,0,4,1,Cho2017,TS+SVM
0.392909,1.943684,10320.000000,3,0,4,1,Cho2017,TS+SVM
0.528988,1.919675,10320.000000,4,0,4,1,Cho2017,TS+SVM
0.552083,1.949526,10320.000000,5,0,4,1,Cho2017,TS+SVM
0.333333,1.955891,10320.000000,6,0,4,1,Cho2017,TS+SVM
0.502222,1.898592,10280.000000,7,0,4,1,Cho2017,TS+SVM
0.501398,1.933111,10320.000000,8,0,4,1,Cho2017,TS+SVM
0.505208,1.869334,10280.000000,9,0,4,1,Cho2017,TS+SVM
0.376299,1.953535,10320.000000,10,0,4,1,Cho2017,TS+SVM
0.625468,1.962231,10320.000000,11,0,4,1,Cho2017,TS+SVM
0.464955,1.893335,10320.000000,12,0,4,1,Cho2017,TS+SVM
0.342034,1.918340,10320.000000,13,0,4,1,Cho2017,TS+SVM
0.503829,1.948531,10320.000000,14,0,4,1,Cho2017,TS+SVM
0.474672,1.932881,10320.000000,15,0,4,1,Cho2017,TS+SVM
0.481270,1.963429,10320.000000,16,0,4,1,Cho2017,TS+SVM
0.407877,1.916461,10320.000000,17,0,4,1,Cho2017,TS+SVM
0.470545,1.934618,10320.000000,18,0,4,1,Cho2017,TS+SVM
0.486715,1.939258,10320.000000,19,0,4,1,Cho2017,TS+SVM
0.541435,1.935754,10320.000000,20,0,4,1,Cho2017,TS+SVM
0.509215,1.932267,10320.000000,21,0,4,1,Cho2017,TS+SVM
0.559939,1.940616,10320.000000,22,0,4,1,Cho2017,TS+SVM
0.478368,1.911847,10320.000000,23,0,4,1,Cho2017,TS+SVM
0.514615,1.903255,10320.000000,24,0,4,1,Cho2017,TS+SVM
0.333333,1.922455,10320.000000,25,0,4,1,Cho2017,TS+SVM
0.509358,1.953263,10320.000000,26,0,4,1,Cho2017,TS+SVM
0.344349,1.940743,10320.000000,27,0,4,1,Cho2017,TS+SVM
0.376412,1.955480,10320.000000,28,0,4,1,Cho2017,TS+SVM
0.419839,1.950124,10320.000000,29,0,4,1,Cho2017,TS+SVM
0.319728,1.885209,10320.000000,30,0,4,1,Cho2017,TS+SVM
0.344349,1.903648,10320.000000,31,0,4,1,Cho2017,TS+SVM
0.499482,1.943990,10320.000000,32,0,4,1,Cho2017,TS+SVM
0.493468,1.962626,10320.000000,33,0,4,1,Cho2017,TS+SVM
0.480310,1.905291,10320.000000,34,0,4,1,Cho2017,TS+SVM
0.328859,2.008525,10320.000000,35,0,4,1,Cho2017,TS+SVM
0.516013,1.969257,10320.000000,36,0,4,1,Cho2017,TS+SVM
0.342019,1.955796,10320.000000,37,0,4,1,Cho2017,TS+SVM
0.469277,1.941679,10320.000000,38,0,4,1,Cho2017,TS+SVM
0.373688,1.976894,10320.000000,39,0,4,1,Cho2017,TS+SVM
0.550000,1.983372,10320.000000,40,0,4,1,Cho2017,TS+SVM
0.474672,1.939608,10320.000000,41,0,4,1,Cho2017,TS+SVM
