score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.644200,1.108243,10320.000000,1,0,4,1,Cho2017,TS+LR
0.531500,1.103279,10320.000000,2,0,4,1,Cho2017,TS+LR
0.576900,1.096060,10320.000000,3,0,4,1,Cho2017,TS+LR
0.626100,1.095387,10320.000000,4,0,4,1,Cho2017,TS+LR
0.584000,1.097865,10320.000000,5,0,4,1,Cho2017,TS+LR
0.523400,1.102305,10320.000000,6,0,4,1,Cho2017,TS+LR
0.506181,1.093615,10280.000000,7,0,4,1,Cho2017,TS+LR
0.506100,1.105469,10320.000000,8,0,4,1,Cho2017,TS+LR
0.596528,1.094622,10280.000000,9,0,4,1,Cho2017,TS+LR
0.629600,1.101579,10320.000000,10,0,4,1,Cho2017,TS+LR
0.522700,1.101347,10320.000000,11,0,4,1,Cho2017,TS+LR
0.546300,1.104697,10320.000000,12,0,4,1,Cho2017,TS+LR
0.460400,1.098882,10320.000000,13,0,4,1,Cho2017,TS+LR
0.658400,1.102998,10320.000000,14,0,4,1,Cho2017,TS+LR
0.510000,1.096243,10320.000000,15,0,4,1,Cho2017,TS+LR
0.578700,1.100666,10320.000000,16,0,4,1,Cho2017,TS+LR
0.446100,1.100391,10320.000000,17,0,4,1,Cho2017,TS+LR
0.647800,1.099979,10320.000000,18,0,4,1,Cho2017,TS+LR
0.571100,1.107410,10320.000000,19,0,4,1,Cho2017,TS+LR
0.671700,1.109483,10320.000000,20,0,4,1,Cho2017,TS+LR
0.556100,1.104435,10320.000000,21,0,4,1,Cho2017,TS+LR
0.613700,1.103376,10320.000000,22,0,4,1,Cho2017,TS+LR
0.574500,1.102830,10320.000000,23,0,4,1,Cho2017,TS+LR
0.552200,1.096199,10320.000000,24,0,4,1,Cho2017,TS+LR
0.486300,1.090998,10320.000000,25,0,4,1,Cho2017,TS+LR
0.555700,1.109508,10320.000000,26,0,4,1,Cho2017,TS+LR
0.476400,1.097564,10320.000000,27,0,4,1,Cho2017,TS+LR
0.363300,1.100489,10320.000000,28,0,4,1,Cho2017,TS+LR
0.522000,1.099155,10320.000000,29,0,4,1,Cho2017,TS+LR
0.556200,1.102529,10320.000000,30,0,4,1,Cho2017,TS+LR
0.589800,1.092879,10320.000000,31,0,4,1,Cho2017,TS+LR
0.491300,1.100604,10320.000000,32,0,4,1,Cho2017,TS+LR
0.495900,1.099102,10320.000000,33,0,4,1,Cho2017,TS+LR
0.549700,1.095977,10320.000000,34,0,4,1,Cho2017,TS+LR
0.552900,1.103518,10320.000000,35,0,4,1,Cho2017,TS+LR
0.537200,1.096982,10320.000000,36,0,4,1,Cho2017,TS+LR
0.465200,1.095514,10320.000000,37,0,4,1,Cho2017,TS+LR
0.518300,1.104176,10320.000000,38,0,4,1,Cho2017,TS+LR
0.607300,1.104249,10320.000000,39,0,4,1,Cho2017,TS+LR
0.557300,1.104684,10320.000000,40,0,4,1,Cho2017,TS+LR
0.629800,1.103384,10320.000000,41,0,4,1,Cho2017,TS+LR
0.618300,1.096587,10320.000000,42,0,4,1,Cho2017,TS+LR
0.698000,1.102097,10320.000000,43,0,4,1,Cho2017,TS+LR
0.557200,1.108681,10320.000000,44,0,4,1,Cho2017,TS+LR
0.594200,1.109190,10320.000000,45,0,4,1,Cho2017,TS+LR
0.504514,1.098996,10280.000000,46,0,4,1,Cho2017,TS+LR
0.557800,1.100366,10320.000000,47,0,4,1,Cho2017,TS+LR
0.601400,1.102420,10320.000000,48,0,4,1,Cho2017,TS+LR
0.530500,1.108783,10320.000000,49,0,4,1,Cho2017,TS+LR
0.482900,1.110334,10320.000000,50,0,4,1,Cho2017,TS+LR
0.523300,1.110315,10320.000000,51,0,4,1,Cho2017,TS+LR
0.568900,1.103992,10320.000000,52,0,4,1,Cho2017,TS+LR
0.644400,1.114640,10320.000000,1,0,4,1,Cho2017,TS+EL
0.532000,1.122114,10320.000000,2,0,4,1,Cho2017,TS+EL
0.575500,1.108671,10320.000000,3,0,4,1,Cho2017,TS+EL
0.627200,1.107788,10320.000000,4,0,4,1,Cho2017,TS+EL
0.581500,1.104447,10320.000000,5,0,4,1,Cho2017,TS+EL
0.523400,1.112774,10320.000000,6,0,4,1,Cho2017,TS+EL
0.506250,1.109950,10280.000000,7,0,4,1,Cho2017,TS+EL
0.507100,1.119205,10320.000000,8,0,4,1,Cho2017,TS+EL
0.596667,1.112395,10280.000000,9,0,4,1,Cho2017,TS+EL
0.630600,1.104964,10320.000000,10,0,4,1,Cho2017,TS+EL
0.522500,1.118093,10320.000000,11,0,4,1,Cho2017,TS+EL
0.545800,1.114271,10320.000000,12,0,4,1,Cho2017,TS+EL
0.460600,1.112444,10320.000000,13,0,4,1,Cho2017,TS+EL
0.659000,1.116657,10320.000000,14,0,4,1,Cho2017,TS+EL
0.509800,1.103511,10320.000000,15,0,4,1,Cho2017,TS+EL
0.579600,1.111497,10320.000000,16,0,4,1,Cho2017,TS+EL
0.445000,1.115746,10320.000000,17,0,4,1,Cho2017,TS+EL
0.647500,1.114824,10320.000000,18,0,4,1,Cho2017,TS+EL
0.569100,1.123673,10320.000000,19,0,4,1,Cho2017,TS+EL
0.672500,1.107283,10320.000000,20,0,4,1,Cho2017,TS+EL
0.555900,1.114457,10320.000000,21,0,4,1,Cho2017,TS+EL
0.613300,1.117485,10320.000000,22,0,4,1,Cho2017,TS+EL
0.573400,1.109374,10320.000000,23,0,4,1,Cho2017,TS+EL
0.551900,1.111494,10320.000000,24,0,4,1,Cho2017,TS+EL
0.486400,1.113127,10320.000000,25,0,4,1,Cho2017,TS+EL
0.554900,1.101006,10320.000000,26,0,4,1,Cho2017,TS+EL
0.476700,1.106231,10320.000000,27,0,4,1,Cho2017,TS+EL
0.363900,1.111729,10320.000000,28,0,4,1,Cho2017,TS+EL
0.522700,1.110760,10320.000000,29,0,4,1,Cho2017,TS+EL
0.556200,1.108067,10320.000000,30,0,4,1,Cho2017,TS+EL
0.588700,1.102832,10320.000000,31,0,4,1,Cho2017,TS+EL
0.492100,1.110334,10320.000000,32,0,4,1,Cho2017,TS+EL
0.497000,1.115522,10320.000000,33,0,4,1,Cho2017,TS+EL
0.548200,1.118037,10320.000000,34,0,4,1,Cho2017,TS+EL
0.552800,1.121843,10320.000000,35,0,4,1,Cho2017,TS+EL
0.537200,1.109596,10320.000000,36,0,4,1,Cho2017,TS+EL
0.466500,1.111642,10320.000000,37,0,4,1,Cho2017,TS+EL
0.519000,1.117728,10320.000000,38,0,4,1,Cho2017,TS+EL
0.607500,1.111528,10320.000000,39,0,4,1,Cho2017,TS+EL
0.558000,1.107024,10320.000000,40,0,4,1,Cho2017,TS+EL
0.629800,1.118877,10320.000000,41,0,4,1,Cho2017,TS+EL
0.616200,1.107941,10320.000000,42,0,4,1,Cho2017,TS+EL
0.697500,1.116122,10320.000000,43,0,4,1,Cho2017,TS+EL
0.557100,1.111596,10320.000000,44,0,4,1,Cho2017,TS+EL
0.594500,1.123203,10320.000000,45,0,4,1,Cho2017,TS+EL
0.505625,1.111191,10280.000000,46,0,4,1,Cho2017,TS+EL
0.559200,1.113326,10320.000000,47,0,4,1,Cho2017,TS+EL
0.602400,1.115948,10320.000000,48,0,4,1,Cho2017,TS+EL
0.530700,1.118932,10320.000000,49,0,4,1,Cho2017,TS+EL
0.482700,1.124754,10320.000000,50,0,4,1,Cho2017,TS+EL
0.523500,1.125615,10320.000000,51,0,4,1,Cho2017,TS+EL
0.569000,1.115449,10320.000000,52,0,4,1,Cho2017,TS+EL
0.606800,1.452892,10320.000000,1,0,4,1,Cho2017,CSP+LDA
0.539300,1.447015,10320.000000,2,0,4,1,Cho2017,CSP+LDA
0.706000,1.455672,10320.000000,3,0,4,1,Cho2017,CSP+LDA
0.589200,1.640266,10320.000000,4,0,4,1,Cho2017,CSP+LDA
0.583900,1.536016,10320.000000,5,0,4,1,Cho2017,CSP+LDA
0.541100,1.479155,10320.000000,6,0,4,1,Cho2017,CSP+LDA
0.515139,1.513227,10280.000000,7,0,4,1,Cho2017,CSP+LDA
0.516300,1.472150,10320.000000,8,0,4,1,Cho2017,CSP+LDA
0.632639,1.435808,10280.000000,9,0,4,1,Cho2017,CSP+LDA
0.634000,1.554138,10320.000000,10,0,4,1,Cho2017,CSP+LDA
0.531900,1.471204,10320.000000,11,0,4,1,Cho2017,CSP+LDA
0.406600,1.445214,10320.000000,12,0,4,1,Cho2017,CSP+LDA
0.517500,1.473302,10320.000000,13,0,4,1,Cho2017,CSP+LDA
0.624400,1.468748,10320.000000,14,0,4,1,Cho2017,CSP+LDA
0.474300,1.529016,10320.000000,15,0,4,1,Cho2017,CSP+LDA
0.550700,1.501456,10320.000000,16,0,4,1,Cho2017,CSP+LDA
0.497900,1.442640,10320.000000,17,0,4,1,Cho2017,CSP+LDA
0.562100,1.544273,10320.000000,18,0,4,1,Cho2017,CSP+LDA
0.523600,1.440902,10320.000000,19,0,4,1,Cho2017,CSP+LDA
0.641300,1.474894,10320.000000,20,0,4,1,Cho2017,CSP+LDA
0.606900,1.446090,10320.000000,21,0,4,1,Cho2017,CSP+LDA
0.618200,1.441636,10320.000000,22,0,4,1,Cho2017,CSP+LDA
0.549100,1.472359,10320.000000,23,0,4,1,Cho2017,CSP+LDA
0.558400,1.532890,10320.000000,24,0,4,1,Cho2017,CSP+LDA
0.596800,1.451908,10320.000000,25,0,4,1,Cho2017,CSP+LDA
0.615400,1.448726,10320.000000,26,0,4,1,Cho2017,CSP+LDA
