score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.516484,1.103451,10320.000000,1,0,4,1,Cho2017,TS+LR
0.433622,1.106739,10320.000000,2,0,4,1,Cho2017,TS+LR
0.551204,1.106093,10320.000000,3,0,4,1,Cho2017,TS+LR
0.591312,1.096673,10320.000000,4,0,4,1,Cho2017,TS+LR
0.564989,1.098436,10320.000000,5,0,4,1,Cho2017,TS+LR
0.360775,1.098577,10320.000000,6,0,4,1,Cho2017,TS+LR
0.487847,1.094880,10280.000000,7,0,4,1,Cho2017,TS+LR
0.495418,1.106954,10320.000000,8,0,4,1,Cho2017,TS+LR
0.502274,1.103402,10280.000000,9,0,4,1,Cho2017,TS+LR
0.506229,1.111294,10320.000000,10,0,4,1,Cho2017,TS+LR
0.483285,1.112033,10320.000000,11,0,4,1,Cho2017,TS+LR
0.418861,1.105390,10320.000000,12,0,4,1,Cho2017,TS+LR
0.405843,1.111944,10320.000000,13,0,4,1,Cho2017,TS+LR
0.568965,1.090267,10320.000000,14,0,4,1,Cho2017,TS+LR
0.489362,1.101228,10320.000000,15,0,4,1,Cho2017,TS+LR
0.474474,1.097046,10320.000000,16,0,4,1,Cho2017,TS+LR
0.433854,1.097989,10320.000000,17,0,4,1,Cho2017,TS+LR
0.588571,1.099291,10320.000000,18,0,4,1,Cho2017,TS+LR
0.546739,1.101851,10320.000000,19,0,4,1,Cho2017,TS+LR
0.548312,1.105635,10320.000000,20,0,4,1,Cho2017,TS+LR
0.383677,1.100945,10320.000000,21,0,4,1,Cho2017,TS+LR
0.553571,1.105299,10320.000000,22,0,4,1,Cho2017,TS+LR
0.552083,1.091782,10320.000000,23,0,4,1,Cho2017,TS+LR
0.548872,1.096575,10320.000000,24,0,4,1,Cho2017,TS+LR
0.360775,1.098301,10320.000000,25,0,4,1,Cho2017,TS+LR
0.503927,1.097893,10320.000000,26,0,4,1,Cho2017,TS+LR
0.339675,1.106233,10320.000000,27,0,4,1,Cho2017,TS+LR
0.385397,1.101731,10320.000000,28,0,4,1,Cho2017,TS+LR
0.500204,1.104306,10320.000000,29,0,4,1,Cho2017,TS+LR
0.408085,1.102786,10320.000000,30,0,4,1,Cho2017,TS+LR
0.550162,1.104978,10320.000000,31,0,4,1,Cho2017,TS+LR
0.488722,1.103943,10320.000000,32,0,4,1,Cho2017,TS+LR
0.509215,1.098063,10320.000000,33,0,4,1,Cho2017,TS+LR
