score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.783200,10.371186,10320.000000,1,0,20,1,Cho2017,CSP+SVM
0.538500,10.362172,10320.000000,2,0,20,1,Cho2017,CSP+SVM
0.839500,10.340283,10320.000000,3,0,20,1,Cho2017,CSP+SVM
0.782000,10.328834,10320.000000,4,0,20,1,Cho2017,CSP+SVM
0.609900,10.321038,10320.000000,5,0,20,1,Cho2017,CSP+SVM
0.542400,10.349094,10320.000000,6,0,20,1,Cho2017,CSP+SVM
0.544861,10.506337,10280.000000,7,0,20,1,Cho2017,CSP+SVM
0.556900,10.342241,10320.000000,8,0,20,1,Cho2017,CSP+SVM
0.776250,10.449876,10280.000000,9,0,20,1,Cho2017,CSP+SVM
0.733800,10.350441,10320.000000,10,0,20,1,Cho2017,CSP+SVM
0.608500,10.295772,10320.000000,11,0,20,1,Cho2017,CSP+SVM
0.753000,10.381960,10320.000000,12,0,20,1,Cho2017,CSP+SVM
0.477300,10.342702,10320.000000,13,0,20,1,Cho2017,CSP+SVM
0.992100,10.373007,10320.000000,14,0,20,1,Cho2017,CSP+SVM
0.766500,10.351849,10320.000000,15,0,20,1,Cho2017,CSP+SVM
0.595400,10.324947,10320.000000,16,0,20,1,Cho2017,CSP+SVM
0.529300,10.336885,10320.000000,17,0,20,1,Cho2017,CSP+SVM
0.707100,10.369246,10320.000000,18,0,20,1,Cho2017,CSP+SVM
0.702400,10.318008,10320.000000,19,0,20,1,Cho2017,CSP+SVM
0.680100,10.311477,10320.000000,20,0,20,1,Cho2017,CSP+SVM
0.657800,10.335712,10320.000000,21,0,20,1,Cho2017,CSP+SVM
0.714000,10.339739,10320.000000,22,0,20,1,Cho2017,CSP+SVM
0.713400,10.316055,10320.000000,23,0,20,1,Cho2017,CSP+SVM
0.745200,10.305211,10320.000000,24,0,20,1,Cho2017,CSP+SVM
0.668500,10.341988,10320.000000,25,0,20,1,Cho2017,CSP+SVM
0.541300,10.362778,10320.000000,26,0,20,1,Cho2017,CSP+SVM
0.516900,10.334585,10320.000000,27,0,20,1,Cho2017,CSP+SVM
0.469700,10.381989,10320.000000,28,0,20,1,Cho2017,CSP+SVM
0.537200,10.356508,10320.000000,29,0,20,1,Cho2017,CSP+SVM
0.729400,10.317556,10320.000000,30,0,20,1,Cho2017,CSP+SVM
0.749800,10.314627,10320.000000,31,0,20,1,Cho2017,CSP+SVM
