score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.661330,10.357841,10320.000000,1,0,20,1,Cho2017,CSP+SVM
0.529577,10.308493,10320.000000,2,0,20,1,Cho2017,CSP+SVM
0.759615,10.306580,10320.000000,3,0,20,1,Cho2017,CSP+SVM
0.532492,10.312784,10320.000000,4,0,20,1,Cho2017,CSP+SVM
0.599640,10.348646,10320.000000,5,0,20,1,Cho2017,CSP+SVM
0.577296,10.338779,10320.000000,6,0,20,1,Cho2017,CSP+SVM
0.506579,10.507778,10280.000000,7,0,20,1,Cho2017,CSP+SVM
0.530625,10.343596,10320.000000,8,0,20,1,Cho2017,CSP+SVM
0.703544,10.464766,10280.000000,9,0,20,1,Cho2017,CSP+SVM
0.579776,10.392530,10320.000000,10,0,20,1,Cho2017,CSP+SVM
0.460825,10.312415,10320.000000,11,0,20,1,Cho2017,CSP+SVM
0.696326,10.336767,10320.000000,12,0,20,1,Cho2017,CSP+SVM
0.461239,10.320337,10320.000000,13,0,20,1,Cho2017,CSP+SVM
0.960000,10.347955,10320.000000,14,0,20,1,Cho2017,CSP+SVM
0.708572,10.407907,10320.000000,15,0,20,1,Cho2017,CSP+SVM
0.524808,10.303864,10320.000000,16,0,20,1,Cho2017,CSP+SVM
0.526583,10.373724,10320.000000,17,0,20,1,Cho2017,CSP+SVM
0.590415,10.341211,10320.000000,18,0,20,1,Cho2017,CSP+SVM
0.653536,10.382977,10320.000000,19,0,20,1,Cho2017,CSP+SVM
0.444699,10.343918,10320.000000,20,0,20,1,Cho2017,CSP+SVM
0.600597,10.320731,10320.000000,21,0,20,1,Cho2017,CSP+SVM
0.623469,10.326361,10320.000000,22,0,20,1,Cho2017,CSP+SVM
0.608691,10.371497,10320.000000,23,0,20,1,Cho2017,CSP+SVM
0.668808,10.322575,10320.000000,24,0,20,1,Cho2017,CSP+SVM
0.633451,10.372206,10320.000000,25,0,20,1,Cho2017,CSP+SVM
0.475038,10.305218,10320.000000,26,0,20,1,Cho2017,CSP+SVM
0.333333,10.420256,10320.000000,27,0,20,1,Cho2017,CSP+SVM
0.333333,10.359621,10320.000000,28,0,20,1,Cho2017,CSP+SVM
0.541689,10.410019,10320.000000,29,0,20,1,Cho2017,CSP+SVM
0.560275,10.344271,10320.000000,30,0,20,1,Cho2017,CSP+SVM
0.540282,10.362756,10320.000000,31,0,20,1,Cho2017,CSP+SVM
0.498721,10.414136,10320.000000,32,0,20,1,Cho2017,CSP+SVM
0.521986,10.436346,10320.000000,33,0,20,1,Cho2017,CSP+SVM
0.470574,10.322733,10320.000000,34,0,20,1,Cho2017,CSP+SVM
0.424626,10.337223,10320.000000,35,0,20,1,Cho2017,CSP+SVM
0.657810,10.339273,10320.000000,36,0,20,1,Cho2017,CSP+SVM
0.344349,10.358332,10320.000000,37,0,20,1,Cho2017,CSP+SVM
0.456903,10.347363,10320.000000,38,0,20,1,Cho2017,CSP+SVM
0.333333,10.342741,10320.000000,39,0,20,1,Cho2017,CSP+SVM
0.373041,10.362476,10320.000000,40,0,20,1,Cho2017,CSP+SVM
0.744252,10.353812,10320.000000,41,0,20,1,Cho2017,CSP+SVM
0.515659,10.354267,10320.000000,42,0,20,1,Cho2017,CSP+SVM
0.934868,10.318389,10320.000000,43,0,20,1,Cho2017,CSP+SVM
0.598030,10.317896,10320.000000,44,0,20,1,Cho2017,CSP+SVM
0.385580,10.338664,10320.000000,45,0,20,1,Cho2017,CSP+SVM
0.342526,10.438137,10280.000000,46,0,20,1,Cho2017,CSP+SVM
