score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.604700,0.753313,10320.000000,1,0,1,1,Cho2017,TS+LR
0.551300,0.747304,10320.000000,2,0,1,1,Cho2017,TS+LR
0.635700,0.752441,10320.000000,3,0,1,1,Cho2017,TS+LR
0.472600,0.753782,10320.000000,4,0,1,1,Cho2017,TS+LR
0.559900,0.753930,10320.000000,5,0,1,1,Cho2017,TS+LR
0.521100,0.754775,10320.000000,6,0,1,1,Cho2017,TS+LR
0.514028,0.748337,10280.000000,7,0,1,1,Cho2017,TS+LR
0.480000,0.754105,10320.000000,8,0,1,1,Cho2017,TS+LR
0.579306,0.748990,10280.000000,9,0,1,1,Cho2017,TS+LR
0.634500,0.754640,10320.000000,10,0,1,1,Cho2017,TS+LR
0.481100,0.749882,10320.000000,11,0,1,1,Cho2017,TS+LR
0.386000,0.756576,10320.000000,12,0,1,1,Cho2017,TS+LR
0.417500,0.751305,10320.000000,13,0,1,1,Cho2017,TS+LR
0.550000,0.757951,10320.000000,14,0,1,1,Cho2017,TS+LR
0.433900,0.754312,10320.000000,15,0,1,1,Cho2017,TS+LR
0.580500,0.750245,10320.000000,16,0,1,1,Cho2017,TS+LR
0.554500,0.756554,10320.000000,17,0,1,1,Cho2017,TS+LR
0.503100,0.754974,10320.000000,18,0,1,1,Cho2017,TS+LR
0.495500,0.750582,10320.000000,19,0,1,1,Cho2017,TS+LR
0.617500,0.754213,10320.000000,20,0,1,1,Cho2017,TS+LR
0.588500,0.756324,10320.000000,21,0,1,1,Cho2017,TS+LR
0.602600,0.753358,10320.000000,22,0,1,1,Cho2017,TS+LR
0.549100,0.749679,10320.000000,23,0,1,1,Cho2017,TS+LR
0.535500,0.756945,10320.000000,24,0,1,1,Cho2017,TS+LR
0.580600,0.752615,10320.000000,25,0,1,1,Cho2017,TS+LR
0.426300,0.753669,10320.000000,26,0,1,1,Cho2017,TS+LR
0.443500,0.752227,10320.000000,27,0,1,1,Cho2017,TS+LR
0.489300,0.750207,10320.000000,28,0,1,1,Cho2017,TS+LR
0.537400,0.764702,10320.000000,29,0,1,1,Cho2017,TS+LR
0.448400,0.755737,10320.000000,30,0,1,1,Cho2017,TS+LR
0.483800,0.754815,10320.000000,31,0,1,1,Cho2017,TS+LR
0.537700,0.751293,10320.000000,32,0,1,1,Cho2017,TS+LR
0.506900,0.756344,10320.000000,33,0,1,1,Cho2017,TS+LR
0.530400,0.763651,10320.000000,34,0,1,1,Cho2017,TS+LR
0.428700,0.754795,10320.000000,35,0,1,1,Cho2017,TS+LR
0.512700,0.781256,10320.000000,36,0,1,1,Cho2017,TS+LR
0.579000,0.747664,10320.000000,37,0,1,1,Cho2017,TS+LR
0.464300,0.750139,10320.000000,38,0,1,1,Cho2017,TS+LR
0.583000,0.756417,10320.000000,39,0,1,1,Cho2017,TS+LR
0.527900,0.754085,10320.000000,40,0,1,1,Cho2017,TS+LR
0.574100,0.773135,10320.000000,41,0,1,1,Cho2017,TS+LR
0.527100,0.747445,10320.000000,42,0,1,1,Cho2017,TS+LR
0.571700,0.750128,10320.000000,43,0,1,1,Cho2017,TS+LR
0.555900,0.763089,10320.000000,44,0,1,1,Cho2017,TS+LR
0.559400,0.756908,10320.000000,45,0,1,1,Cho2017,TS+LR
0.529861,0.750698,10280.000000,46,0,1,1,Cho2017,TS+LR
0.616100,0.769215,10320.000000,47,0,1,1,Cho2017,TS+LR
0.452400,0.756649,10320.000000,48,0,1,1,Cho2017,TS+LR
0.662800,0.758149,10320.000000,49,0,1,1,Cho2017,TS+LR
0.479400,0.765004,10320.000000,50,0,1,1,Cho2017,TS+LR
0.538600,0.758357,10320.000000,51,0,1,1,Cho2017,TS+LR
0.527600,0.788043,10320.000000,52,0,1,1,Cho2017,TS+LR
0.604700,0.885777,10320.000000,1,0,1,1,Cho2017,CSP+SVM
0.551300,0.885917,10320.000000,2,0,1,1,Cho2017,CSP+SVM
0.635700,0.888338,10320.000000,3,0,1,1,Cho2017,CSP+SVM
0.472800,0.896434,10320.000000,4,0,1,1,Cho2017,CSP+SVM
0.559900,0.898524,10320.000000,5,0,1,1,Cho2017,CSP+SVM
0.521000,0.892572,10320.000000,6,0,1,1,Cho2017,CSP+SVM
0.514097,0.893065,10280.000000,7,0,1,1,Cho2017,CSP+SVM
0.480000,0.909308,10320.000000,8,0,1,1,Cho2017,CSP+SVM
0.579306,0.909171,10280.000000,9,0,1,1,Cho2017,CSP+SVM
0.634600,0.906926,10320.000000,10,0,1,1,Cho2017,CSP+SVM
0.481100,0.899546,10320.000000,11,0,1,1,Cho2017,CSP+SVM
0.386100,0.897419,10320.000000,12,0,1,1,Cho2017,CSP+SVM
0.417500,0.885310,10320.000000,13,0,1,1,Cho2017,CSP+SVM
0.550100,0.919308,10320.000000,14,0,1,1,Cho2017,CSP+SVM
0.433800,0.898351,10320.000000,15,0,1,1,Cho2017,CSP+SVM
0.580600,0.914278,10320.000000,16,0,1,1,Cho2017,CSP+SVM
0.554400,0.898335,10320.000000,17,0,1,1,Cho2017,CSP+SVM
0.503200,0.926641,10320.000000,18,0,1,1,Cho2017,CSP+SVM
0.495500,0.891140,10320.000000,19,0,1,1,Cho2017,CSP+SVM
0.617400,0.932001,10320.000000,20,0,1,1,Cho2017,CSP+SVM
0.588400,0.942099,10320.000000,21,0,1,1,Cho2017,CSP+SVM
0.602500,0.924465,10320.000000,22,0,1,1,Cho2017,CSP+SVM
0.549100,0.938399,10320.000000,23,0,1,1,Cho2017,CSP+SVM
0.535500,0.903767,10320.000000,24,0,1,1,Cho2017,CSP+SVM
0.580600,0.892222,10320.000000,25,0,1,1,Cho2017,CSP+SVM
0.426300,0.898883,10320.000000,26,0,1,1,Cho2017,CSP+SVM
0.443600,0.942428,10320.000000,27,0,1,1,Cho2017,CSP+SVM
0.489300,0.928259,10320.000000,28,0,1,1,Cho2017,CSP+SVM
0.537400,0.923746,10320.000000,29,0,1,1,Cho2017,CSP+SVM
0.448500,0.876699,10320.000000,30,0,1,1,Cho2017,CSP+SVM
0.483800,0.906740,10320.000000,31,0,1,1,Cho2017,CSP+SVM
0.537800,0.937082,10320.000000,32,0,1,1,Cho2017,CSP+SVM
0.506900,0.923792,10320.000000,33,0,1,1,Cho2017,CSP+SVM
0.530400,0.924467,10320.000000,34,0,1,1,Cho2017,CSP+SVM
0.428800,0.897230,10320.000000,35,0,1,1,Cho2017,CSP+SVM
0.512800,0.883754,10320.000000,36,0,1,1,Cho2017,CSP+SVM
