score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.449036,0.766307,10320.000000,1,0,1,1,Cho2017,TS+LR
0.344349,0.759964,10320.000000,2,0,1,1,Cho2017,TS+LR
0.498140,0.765365,10320.000000,3,0,1,1,Cho2017,TS+LR
0.475440,0.766369,10320.000000,4,0,1,1,Cho2017,TS+LR
0.534056,0.761041,10320.000000,5,0,1,1,Cho2017,TS+LR
0.333333,0.750820,10320.000000,6,0,1,1,Cho2017,TS+LR
0.323944,0.751981,10280.000000,7,0,1,1,Cho2017,TS+LR
0.489183,0.756279,10320.000000,8,0,1,1,Cho2017,TS+LR
0.391562,0.765146,10280.000000,9,0,1,1,Cho2017,TS+LR
0.535424,0.759943,10320.000000,10,0,1,1,Cho2017,TS+LR
0.333333,0.761690,10320.000000,11,0,1,1,Cho2017,TS+LR
0.355178,0.766545,10320.000000,12,0,1,1,Cho2017,TS+LR
0.336679,0.761944,10320.000000,13,0,1,1,Cho2017,TS+LR
0.526310,0.761480,10320.000000,14,0,1,1,Cho2017,TS+LR
0.408085,0.755797,10320.000000,15,0,1,1,Cho2017,TS+LR
0.487179,0.757538,10320.000000,16,0,1,1,Cho2017,TS+LR
0.420693,0.761150,10320.000000,17,0,1,1,Cho2017,TS+LR
0.447049,0.762883,10320.000000,18,0,1,1,Cho2017,TS+LR
0.468968,0.763060,10320.000000,19,0,1,1,Cho2017,TS+LR
0.533107,0.763406,10320.000000,20,0,1,1,Cho2017,TS+LR
0.541004,0.762725,10320.000000,21,0,1,1,Cho2017,TS+LR
0.541667,0.761851,10320.000000,22,0,1,1,Cho2017,TS+LR
0.519705,0.758415,10320.000000,23,0,1,1,Cho2017,TS+LR
0.521543,0.760017,10320.000000,24,0,1,1,Cho2017,TS+LR
0.486139,0.762285,10320.000000,25,0,1,1,Cho2017,TS+LR
0.448924,0.766608,10320.000000,26,0,1,1,Cho2017,TS+LR
0.426995,0.767817,10320.000000,27,0,1,1,Cho2017,TS+LR
0.462256,0.757404,10320.000000,28,0,1,1,Cho2017,TS+LR
0.360775,0.758452,10320.000000,29,0,1,1,Cho2017,TS+LR
0.333333,0.762401,10320.000000,30,0,1,1,Cho2017,TS+LR
0.386578,0.758800,10320.000000,31,0,1,1,Cho2017,TS+LR
0.499950,0.765017,10320.000000,32,0,1,1,Cho2017,TS+LR
0.388379,0.762751,10320.000000,33,0,1,1,Cho2017,TS+LR
0.328859,0.762583,10320.000000,34,0,1,1,Cho2017,TS+LR
0.326599,0.763843,10320.000000,35,0,1,1,Cho2017,TS+LR
0.465007,0.766451,10320.000000,36,0,1,1,Cho2017,TS+LR
0.382774,0.760504,10320.000000,37,0,1,1,Cho2017,TS+LR
0.342019,0.774205,10320.000000,38,0,1,1,Cho2017,TS+LR
0.333333,0.763198,10320.000000,39,0,1,1,Cho2017,TS+LR
0.412998,0.766397,10320.000000,40,0,1,1,Cho2017,TS+LR
0.333333,0.761733,10320.000000,41,0,1,1,Cho2017,TS+LR
0.333333,0.762954,10320.000000,42,0,1,1,Cho2017,TS+LR
0.539263,0.761479,10320.000000,43,0,1,1,Cho2017,TS+LR
0.344349,0.765342,10320.000000,44,0,1,1,Cho2017,TS+LR
0.386578,0.761940,10320.000000,45,0,1,1,Cho2017,TS+LR
0.351589,0.765180,10280.000000,46,0,1,1,Cho2017,TS+LR
0.331104,0.771559,10320.000000,47,0,1,1,Cho2017,TS+LR
0.331104,0.759048,10320.000000,48,0,1,1,Cho2017,TS+LR
0.580374,0.750314,10320.000000,49,0,1,1,Cho2017,TS+LR
0.358234,0.760174,10320.000000,50,0,1,1,Cho2017,TS+LR
0.543619,0.753534,10320.000000,51,0,1,1,Cho2017,TS+LR
0.498721,0.754286,10320.000000,52,0,1,1,Cho2017,TS+LR
0.588519,0.879849,10320.000000,1,0,1,1,Cho2017,CSP+SVM
0.333333,0.878402,10320.000000,2,0,1,1,Cho2017,CSP+SVM
0.373688,0.882068,10320.000000,3,0,1,1,Cho2017,CSP+SVM
