score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.664327,6.460902,10320.000000,1,0,19,1,Cho2017,TS+SVM
0.530804,6.455550,10320.000000,2,0,19,1,Cho2017,TS+SVM
0.734802,6.502457,10320.000000,3,0,19,1,Cho2017,TS+SVM
0.555067,6.490261,10320.000000,4,0,19,1,Cho2017,TS+SVM
0.510011,6.531893,10320.000000,5,0,19,1,Cho2017,TS+SVM
0.583239,6.503165,10320.000000,6,0,19,1,Cho2017,TS+SVM
0.508687,6.458330,10280.000000,7,0,19,1,Cho2017,TS+SVM
0.535347,6.475538,10320.000000,8,0,19,1,Cho2017,TS+SVM
0.619346,6.472239,10280.000000,9,0,19,1,Cho2017,TS+SVM
0.639698,6.383891,10320.000000,10,0,19,1,Cho2017,TS+SVM
0.587482,6.643403,10320.000000,11,0,19,1,Cho2017,TS+SVM
0.677939,6.483501,10320.000000,12,0,19,1,Cho2017,TS+SVM
0.334948,6.472114,10320.000000,13,0,19,1,Cho2017,TS+SVM
0.829574,6.545720,10320.000000,14,0,19,1,Cho2017,TS+SVM
0.586538,6.524460,10320.000000,15,0,19,1,Cho2017,TS+SVM
0.501796,6.544745,10320.000000,16,0,19,1,Cho2017,TS+SVM
0.523133,6.587852,10320.000000,17,0,19,1,Cho2017,TS+SVM
0.641767,6.496182,10320.000000,18,0,19,1,Cho2017,TS+SVM
0.613468,6.524528,10320.000000,19,0,19,1,Cho2017,TS+SVM
0.585030,6.555341,10320.000000,20,0,19,1,Cho2017,TS+SVM
0.678844,6.529051,10320.000000,21,0,19,1,Cho2017,TS+SVM
0.599840,6.607864,10320.000000,22,0,19,1,Cho2017,TS+SVM
0.647591,6.529743,10320.000000,23,0,19,1,Cho2017,TS+SVM
0.465760,6.418575,10320.000000,24,0,19,1,Cho2017,TS+SVM
0.586302,6.599494,10320.000000,25,0,19,1,Cho2017,TS+SVM
0.505306,6.499854,10320.000000,26,0,19,1,Cho2017,TS+SVM
0.482996,6.561967,10320.000000,27,0,19,1,Cho2017,TS+SVM
0.333333,6.491420,10320.000000,28,0,19,1,Cho2017,TS+SVM
0.573864,6.462597,10320.000000,29,0,19,1,Cho2017,TS+SVM
0.475783,6.472437,10320.000000,30,0,19,1,Cho2017,TS+SVM
0.423197,6.548539,10320.000000,31,0,19,1,Cho2017,TS+SVM
0.511719,6.476045,10320.000000,32,0,19,1,Cho2017,TS+SVM
0.574904,6.579039,10320.000000,33,0,19,1,Cho2017,TS+SVM
0.476219,6.461399,10320.000000,34,0,19,1,Cho2017,TS+SVM
0.463377,6.474423,10320.000000,35,0,19,1,Cho2017,TS+SVM
0.663579,6.542706,10320.000000,36,0,19,1,Cho2017,TS+SVM
0.439496,6.534531,10320.000000,37,0,19,1,Cho2017,TS+SVM
0.517580,6.528998,10320.000000,38,0,19,1,Cho2017,TS+SVM
0.609023,6.482032,10320.000000,39,0,19,1,Cho2017,TS+SVM
