score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.768100,1.407975,10320.000000,1,0,7,1,Cho2017,TS+EL
0.539600,1.415809,10320.000000,2,0,7,1,Cho2017,TS+EL
0.815800,1.412463,10320.000000,3,0,7,1,Cho2017,TS+EL
0.766400,1.412719,10320.000000,4,0,7,1,Cho2017,TS+EL
0.636700,1.408718,10320.000000,5,0,7,1,Cho2017,TS+EL
0.601700,1.413878,10320.000000,6,0,7,1,Cho2017,TS+EL
0.561250,1.432735,10280.000000,7,0,7,1,Cho2017,TS+EL
0.547700,1.414524,10320.000000,8,0,7,1,Cho2017,TS+EL
0.726806,1.401196,10280.000000,9,0,7,1,Cho2017,TS+EL
0.733000,1.404626,10320.000000,10,0,7,1,Cho2017,TS+EL
0.704000,1.448718,10320.000000,11,0,7,1,Cho2017,TS+EL
0.781200,1.400165,10320.000000,12,0,7,1,Cho2017,TS+EL
0.414200,1.411445,10320.000000,13,0,7,1,Cho2017,TS+EL
0.968300,1.433615,10320.000000,14,0,7,1,Cho2017,TS+EL
0.763400,1.400121,10320.000000,15,0,7,1,Cho2017,TS+EL
0.663600,1.417160,10320.000000,16,0,7,1,Cho2017,TS+EL
0.487300,1.417817,10320.000000,17,0,7,1,Cho2017,TS+EL
0.689100,1.410732,10320.000000,18,0,7,1,Cho2017,TS+EL
0.737800,1.418670,10320.000000,19,0,7,1,Cho2017,TS+EL
0.757400,1.413164,10320.000000,20,0,7,1,Cho2017,TS+EL
0.687600,1.415567,10320.000000,21,0,7,1,Cho2017,TS+EL
0.662200,1.415332,10320.000000,22,0,7,1,Cho2017,TS+EL
0.747900,1.404949,10320.000000,23,0,7,1,Cho2017,TS+EL
0.764500,1.414520,10320.000000,24,0,7,1,Cho2017,TS+EL
0.684400,1.415043,10320.000000,25,0,7,1,Cho2017,TS+EL
0.576000,1.403366,10320.000000,26,0,7,1,Cho2017,TS+EL
0.551700,1.438253,10320.000000,27,0,7,1,Cho2017,TS+EL
0.457800,1.416448,10320.000000,28,0,7,1,Cho2017,TS+EL
0.534300,1.409390,10320.000000,29,0,7,1,Cho2017,TS+EL
0.663000,1.398415,10320.000000,30,0,7,1,Cho2017,TS+EL
0.739700,1.409984,10320.000000,31,0,7,1,Cho2017,TS+EL
0.482800,1.409862,10320.000000,32,0,7,1,Cho2017,TS+EL
0.539100,1.404930,10320.000000,33,0,7,1,Cho2017,TS+EL
0.519000,1.406427,10320.000000,34,0,7,1,Cho2017,TS+EL
0.378900,1.401006,10320.000000,35,0,7,1,Cho2017,TS+EL
0.709800,1.401938,10320.000000,36,0,7,1,Cho2017,TS+EL
0.564100,1.431993,10320.000000,37,0,7,1,Cho2017,TS+EL
0.638600,1.408049,10320.000000,38,0,7,1,Cho2017,TS+EL
0.639700,1.399658,10320.000000,39,0,7,1,Cho2017,TS+EL
0.505900,1.402831,10320.000000,40,0,7,1,Cho2017,TS+EL
0.865300,1.431752,10320.000000,41,0,7,1,Cho2017,TS+EL
0.649400,1.409092,10320.000000,42,0,7,1,Cho2017,TS+EL
0.994400,1.409048,10320.000000,43,0,7,1,Cho2017,TS+EL
0.633900,1.409776,10320.000000,44,0,7,1,Cho2017,TS+EL
0.640900,1.411182,10320.000000,45,0,7,1,Cho2017,TS+EL
0.597569,1.407134,10280.000000,46,0,7,1,Cho2017,TS+EL
0.664900,1.407109,10320.000000,47,0,7,1,Cho2017,TS+EL
0.797600,1.410687,10320.000000,48,0,7,1,Cho2017,TS+EL
0.655600,1.415601,10320.000000,49,0,7,1,Cho2017,TS+EL
0.505400,1.411633,10320.000000,50,0,7,1,Cho2017,TS+EL
0.650800,1.414994,10320.000000,51,0,7,1,Cho2017,TS+EL
0.689600,1.409791,10320.000000,52,0,7,1,Cho2017,TS+EL
0.800600,3.686721,10320.000000,1,0,7,1,Cho2017,CSP+SVM
0.541100,3.655536,10320.000000,2,0,7,1,Cho2017,CSP+SVM
0.832500,3.653504,10320.000000,3,0,7,1,Cho2017,CSP+SVM
0.776800,3.623250,10320.000000,4,0,7,1,Cho2017,CSP+SVM
0.653000,3.673686,10320.000000,5,0,7,1,Cho2017,CSP+SVM
0.557400,3.632419,10320.000000,6,0,7,1,Cho2017,CSP+SVM
0.593333,3.694297,10280.000000,7,0,7,1,Cho2017,CSP+SVM
0.513600,3.649892,10320.000000,8,0,7,1,Cho2017,CSP+SVM
0.757639,3.640351,10280.000000,9,0,7,1,Cho2017,CSP+SVM
0.731300,3.622840,10320.000000,10,0,7,1,Cho2017,CSP+SVM
0.629200,3.720134,10320.000000,11,0,7,1,Cho2017,CSP+SVM
0.775900,3.653023,10320.000000,12,0,7,1,Cho2017,CSP+SVM
0.405600,3.665092,10320.000000,13,0,7,1,Cho2017,CSP+SVM
0.993100,3.681195,10320.000000,14,0,7,1,Cho2017,CSP+SVM
0.775300,3.692596,10320.000000,15,0,7,1,Cho2017,CSP+SVM
0.685700,3.686116,10320.000000,16,0,7,1,Cho2017,CSP+SVM
0.523700,3.652028,10320.000000,17,0,7,1,Cho2017,CSP+SVM
0.693000,3.725116,10320.000000,18,0,7,1,Cho2017,CSP+SVM
0.711500,3.625985,10320.000000,19,0,7,1,Cho2017,CSP+SVM
0.771000,3.638267,10320.000000,20,0,7,1,Cho2017,CSP+SVM
0.687500,3.623657,10320.000000,21,0,7,1,Cho2017,CSP+SVM
0.684000,3.726193,10320.000000,22,0,7,1,Cho2017,CSP+SVM
0.800500,3.739562,10320.000000,23,0,7,1,Cho2017,CSP+SVM
0.723400,3.693656,10320.000000,24,0,7,1,Cho2017,CSP+SVM
0.672500,3.620277,10320.000000,25,0,7,1,Cho2017,CSP+SVM
0.577600,3.688479,10320.000000,26,0,7,1,Cho2017,CSP+SVM
0.541000,3.632633,10320.000000,27,0,7,1,Cho2017,CSP+SVM
0.476800,3.603504,10320.000000,28,0,7,1,Cho2017,CSP+SVM
0.545700,3.648893,10320.000000,29,0,7,1,Cho2017,CSP+SVM
0.713400,3.630129,10320.000000,30,0,7,1,Cho2017,CSP+SVM
0.762500,3.753925,10320.000000,31,0,7,1,Cho2017,CSP+SVM
0.475100,3.591775,10320.000000,32,0,7,1,Cho2017,CSP+SVM
0.533400,3.652327,10320.000000,33,0,7,1,Cho2017,CSP+SVM
0.503400,3.702069,10320.000000,34,0,7,1,Cho2017,CSP+SVM
0.383200,3.690077,10320.000000,35,0,7,1,Cho2017,CSP+SVM
0.696900,3.605547,10320.000000,36,0,7,1,Cho2017,CSP+SVM
0.712300,3.640280,10320.000000,37,0,7,1,Cho2017,CSP+SVM
0.609700,3.614601,10320.000000,38,0,7,1,Cho2017,CSP+SVM
0.691500,3.617603,10320.000000,39,0,7,1,Cho2017,CSP+SVM
0.486800,3.611141,10320.000000,40,0,7,1,Cho2017,CSP+SVM
0.898600,3.619292,10320.000000,41,0,7,1,Cho2017,CSP+SVM
0.673700,3.649684,10320.000000,42,0,7,1,Cho2017,CSP+SVM
0.996400,3.655125,10320.000000,43,0,7,1,Cho2017,CSP+SVM
0.673000,3.619512,10320.000000,44,0,7,1,Cho2017,CSP+SVM
0.617500,3.647100,10320.000000,45,0,7,1,Cho2017,CSP+SVM
0.499167,3.589051,10280.000000,46,0,7,1,Cho2017,CSP+SVM
0.675500,3.603207,10320.000000,47,0,7,1,Cho2017,CSP+SVM
0.808500,3.589109,10320.000000,48,0,7,1,Cho2017,CSP+SVM
0.688100,3.627799,10320.000000,49,0,7,1,Cho2017,CSP+SVM
0.493900,3.642238,10320.000000,50,0,7,1,Cho2017,CSP+SVM
0.651800,3.589207,10320.000000,51,0,7,1,Cho2017,CSP+SVM
0.739100,3.614983,10320.000000,52,0,7,1,Cho2017,CSP+SVM
0.803400,2.996043,10320.000000,1,0,7,1,Cho2017,CSP+LDA
0.539300,2.965075,10320.000000,2,0,7,1,Cho2017,CSP+LDA
0.830000,2.927240,10320.000000,3,0,7,1,Cho2017,CSP+LDA
0.774800,2.931314,10320.000000,4,0,7,1,Cho2017,CSP+LDA
0.649800,2.892417,10320.000000,5,0,7,1,Cho2017,CSP+LDA
0.559500,3.049155,10320.000000,6,0,7,1,Cho2017,CSP+LDA
0.592500,2.919507,10280.000000,7,0,7,1,Cho2017,CSP+LDA
0.511800,2.929730,10320.000000,8,0,7,1,Cho2017,CSP+LDA
0.763125,2.940580,10280.000000,9,0,7,1,Cho2017,CSP+LDA
0.727700,2.971526,10320.000000,10,0,7,1,Cho2017,CSP+LDA
0.627100,2.994602,10320.000000,11,0,7,1,Cho2017,CSP+LDA
0.773200,3.024176,10320.000000,12,0,7,1,Cho2017,CSP+LDA
0.402000,2.963254,10320.000000,13,0,7,1,Cho2017,CSP+LDA
0.993000,3.007115,10320.000000,14,0,7,1,Cho2017,CSP+LDA
0.775000,2.915620,10320.000000,15,0,7,1,Cho2017,CSP+LDA
0.686000,2.940073,10320.000000,16,0,7,1,Cho2017,CSP+LDA
0.525400,2.928262,10320.000000,17,0,7,1,Cho2017,CSP+LDA
0.692300,2.975639,10320.000000,18,0,7,1,Cho2017,CSP+LDA
0.710400,2.994548,10320.000000,19,0,7,1,Cho2017,CSP+LDA
0.767800,2.971366,10320.000000,20,0,7,1,Cho2017,CSP+LDA
0.687300,2.908942,10320.000000,21,0,7,1,Cho2017,CSP+LDA
0.686100,2.929526,10320.000000,22,0,7,1,Cho2017,CSP+LDA
0.801100,2.981113,10320.000000,23,0,7,1,Cho2017,CSP+LDA
0.723700,2.906109,10320.000000,24,0,7,1,Cho2017,CSP+LDA
0.670700,3.016690,10320.000000,25,0,7,1,Cho2017,CSP+LDA
0.572700,2.945414,10320.000000,26,0,7,1,Cho2017,CSP+LDA
0.540600,3.034646,10320.000000,27,0,7,1,Cho2017,CSP+LDA
0.478500,2.904299,10320.000000,28,0,7,1,Cho2017,CSP+LDA
0.544200,2.917048,10320.000000,29,0,7,1,Cho2017,CSP+LDA
0.713000,3.002509,10320.000000,30,0,7,1,Cho2017,CSP+LDA
0.759300,3.017896,10320.000000,31,0,7,1,Cho2017,CSP+LDA
0.474900,2.920172,10320.000000,32,0,7,1,Cho2017,CSP+LDA
0.533100,2.937749,10320.000000,33,0,7,1,Cho2017,CSP+LDA
0.503600,2.958467,10320.000000,34,0,7,1,Cho2017,CSP+LDA
0.379400,2.993894,10320.000000,35,0,7,1,Cho2017,CSP+LDA
0.697700,2.905671,10320.000000,36,0,7,1,Cho2017,CSP+LDA
0.709300,2.905848,10320.000000,37,0,7,1,Cho2017,CSP+LDA
0.607400,2.895761,10320.000000,38,0,7,1,Cho2017,CSP+LDA
0.691100,2.947860,10320.000000,39,0,7,1,Cho2017,CSP+LDA
0.487400,2.896273,10320.000000,40,0,7,1,Cho2017,CSP+LDA
0.898300,2.931486,10320.000000,41,0,7,1,Cho2017,CSP+LDA
0.672300,2.913714,10320.000000,42,0,7,1,Cho2017,CSP+LDA
0.995800,3.034406,10320.000000,43,0,7,1,Cho2017,CSP+LDA
0.670700,3.009315,10320.000000,44,0,7,1,Cho2017,CSP+LDA
0.615100,2.902529,10320.000000,45,0,7,1,Cho2017,CSP+LDA
0.498472,2.960022,10280.000000,46,0,7,1,Cho2017,CSP+LDA
0.677000,2.911730,10320.000000,47,0,7,1,Cho2017,CSP+LDA
0.808900,2.931950,10320.000000,48,0,7,1,Cho2017,CSP+LDA
0.688200,2.934624,10320.000000,49,0,7,1,Cho2017,CSP+LDA
0.492700,2.979440,10320.000000,50,0,7,1,Cho2017,CSP+LDA
0.648300,2.959497,10320.000000,51,0,7,1,Cho2017,CSP+LDA
0.740100,2.917184,10320.000000,52,0,7,1,Cho2017,CSP+LDA
0.768200,1.375014,10320.000000,1,0,7,1,Cho2017,TS+LR
0.539400,1.379994,10320.000000,2,0,7,1,Cho2017,TS+LR
0.815300,1.379843,10320.000000,3,0,7,1,Cho2017,TS+LR
0.766000,1.385675,10320.000000,4,0,7,1,Cho2017,TS+LR
0.636700,1.381632,10320.000000,5,0,7,1,Cho2017,TS+LR
0.601900,1.377861,10320.000000,6,0,7,1,Cho2017,TS+LR
0.560903,1.404145,10280.000000,7,0,7,1,Cho2017,TS+LR
0.549500,1.387490,10320.000000,8,0,7,1,Cho2017,TS+LR
0.725903,1.385556,10280.000000,9,0,7,1,Cho2017,TS+LR
0.732700,1.372596,10320.000000,10,0,7,1,Cho2017,TS+LR
0.703200,1.423979,10320.000000,11,0,7,1,Cho2017,TS+LR
0.781100,1.387079,10320.000000,12,0,7,1,Cho2017,TS+LR
0.412800,1.391065,10320.000000,13,0,7,1,Cho2017,TS+LR
0.968400,1.408062,10320.000000,14,0,7,1,Cho2017,TS+LR
0.763700,1.386089,10320.000000,15,0,7,1,Cho2017,TS+LR
0.661900,1.393591,10320.000000,16,0,7,1,Cho2017,TS+LR
0.488700,1.394953,10320.000000,17,0,7,1,Cho2017,TS+LR
0.688900,1.388404,10320.000000,18,0,7,1,Cho2017,TS+LR
0.738700,1.384276,10320.000000,19,0,7,1,Cho2017,TS+LR
0.757600,1.385573,10320.000000,20,0,7,1,Cho2017,TS+LR
0.688800,1.390893,10320.000000,21,0,7,1,Cho2017,TS+LR
0.663000,1.389497,10320.000000,22,0,7,1,Cho2017,TS+LR
0.747400,1.384828,10320.000000,23,0,7,1,Cho2017,TS+LR
0.764900,1.390188,10320.000000,24,0,7,1,Cho2017,TS+LR
0.684700,1.388317,10320.000000,25,0,7,1,Cho2017,TS+LR
0.575600,1.377756,10320.000000,26,0,7,1,Cho2017,TS+LR
0.551100,1.418698,10320.000000,27,0,7,1,Cho2017,TS+LR
0.457500,1.384227,10320.000000,28,0,7,1,Cho2017,TS+LR
0.535100,1.380848,10320.000000,29,0,7,1,Cho2017,TS+LR
0.662600,1.375442,10320.000000,30,0,7,1,Cho2017,TS+LR
0.739500,1.391309,10320.000000,31,0,7,1,Cho2017,TS+LR
0.481600,1.385607,10320.000000,32,0,7,1,Cho2017,TS+LR
0.540000,1.378564,10320.000000,33,0,7,1,Cho2017,TS+LR
0.518900,1.372749,10320.000000,34,0,7,1,Cho2017,TS+LR
0.377800,1.382531,10320.000000,35,0,7,1,Cho2017,TS+LR
0.709300,1.380534,10320.000000,36,0,7,1,Cho2017,TS+LR
0.563800,1.406362,10320.000000,37,0,7,1,Cho2017,TS+LR
0.638500,1.380411,10320.000000,38,0,7,1,Cho2017,TS+LR
0.638700,1.379054,10320.000000,39,0,7,1,Cho2017,TS+LR
0.505700,1.379495,10320.000000,40,0,7,1,Cho2017,TS+LR
0.865200,1.410184,10320.000000,41,0,7,1,Cho2017,TS+LR
0.648900,1.386913,10320.000000,42,0,7,1,Cho2017,TS+LR
0.994400,1.390584,10320.000000,43,0,7,1,Cho2017,TS+LR
0.634500,1.393292,10320.000000,44,0,7,1,Cho2017,TS+LR
0.640600,1.390797,10320.000000,45,0,7,1,Cho2017,TS+LR
0.597014,1.373415,10280.000000,46,0,7,1,Cho2017,TS+LR
0.665200,1.385960,10320.000000,47,0,7,1,Cho2017,TS+LR
0.798300,1.383786,10320.000000,48,0,7,1,Cho2017,TS+LR
0.653800,1.385019,10320.000000,49,0,7,1,Cho2017,TS+LR
0.505200,1.392146,10320.000000,50,0,7,1,Cho2017,TS+LR
0.650800,1.385599,10320.000000,51,0,7,1,Cho2017,TS+LR
0.688300,1.391276,10320.000000,52,0,7,1,Cho2017,TS+LR
0.767100,2.543393,10320.000000,1,0,7,1,Cho2017,TS+SVM
0.542200,2.564247,10320.000000,2,0,7,1,Cho2017,TS+SVM
0.816500,2.534410,10320.000000,3,0,7,1,Cho2017,TS+SVM
0.760900,2.554138,10320.000000,4,0,7,1,Cho2017,TS+SVM
0.634600,2.568749,10320.000000,5,0,7,1,Cho2017,TS+SVM
0.591200,2.503918,10320.000000,6,0,7,1,Cho2017,TS+SVM
0.566528,2.568469,10280.000000,7,0,7,1,Cho2017,TS+SVM
0.540900,2.546037,10320.000000,8,0,7,1,Cho2017,TS+SVM
0.721111,2.521435,10280.000000,9,0,7,1,Cho2017,TS+SVM
0.730800,2.577971,10320.000000,10,0,7,1,Cho2017,TS+SVM
0.702700,2.607484,10320.000000,11,0,7,1,Cho2017,TS+SVM
0.783100,2.573556,10320.000000,12,0,7,1,Cho2017,TS+SVM
0.407200,2.558358,10320.000000,13,0,7,1,Cho2017,TS+SVM
0.973200,2.598334,10320.000000,14,0,7,1,Cho2017,TS+SVM
0.766400,2.579572,10320.000000,15,0,7,1,Cho2017,TS+SVM
0.664800,2.584572,10320.000000,16,0,7,1,Cho2017,TS+SVM
0.493100,2.572563,10320.000000,17,0,7,1,Cho2017,TS+SVM
0.702000,2.530709,10320.000000,18,0,7,1,Cho2017,TS+SVM
0.736300,2.553083,10320.000000,19,0,7,1,Cho2017,TS+SVM
0.770700,2.568551,10320.000000,20,0,7,1,Cho2017,TS+SVM
0.695800,2.558145,10320.000000,21,0,7,1,Cho2017,TS+SVM
0.670100,2.558751,10320.000000,22,0,7,1,Cho2017,TS+SVM
0.761100,2.582370,10320.000000,23,0,7,1,Cho2017,TS+SVM
0.765400,2.557268,10320.000000,24,0,7,1,Cho2017,TS+SVM
0.676800,2.561211,10320.000000,25,0,7,1,Cho2017,TS+SVM
0.572900,2.569449,10320.000000,26,0,7,1,Cho2017,TS+SVM
0.549800,2.593789,10320.000000,27,0,7,1,Cho2017,TS+SVM
0.460300,2.548427,10320.000000,28,0,7,1,Cho2017,TS+SVM
0.534700,2.533311,10320.000000,29,0,7,1,Cho2017,TS+SVM
0.661300,2.577649,10320.000000,30,0,7,1,Cho2017,TS+SVM
0.738500,2.594384,10320.000000,31,0,7,1,Cho2017,TS+SVM
0.486700,2.551419,10320.000000,32,0,7,1,Cho2017,TS+SVM
0.538600,2.551929,10320.000000,33,0,7,1,Cho2017,TS+SVM
0.517000,2.578864,10320.000000,34,0,7,1,Cho2017,TS+SVM
0.381300,2.553924,10320.000000,35,0,7,1,Cho2017,TS+SVM
0.712100,2.553877,10320.000000,36,0,7,1,Cho2017,TS+SVM
0.570300,2.610763,10320.000000,37,0,7,1,Cho2017,TS+SVM
0.638300,2.593276,10320.000000,38,0,7,1,Cho2017,TS+SVM
0.633800,2.596616,10320.000000,39,0,7,1,Cho2017,TS+SVM
0.508500,2.586307,10320.000000,40,0,7,1,Cho2017,TS+SVM
0.868800,2.597236,10320.000000,41,0,7,1,Cho2017,TS+SVM
0.649100,2.585990,10320.000000,42,0,7,1,Cho2017,TS+SVM
0.994600,2.613280,10320.000000,43,0,7,1,Cho2017,TS+SVM
