score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.879200,1.377963,10320.000000,1,0,7,1,Cho2017,TS+LR
0.536100,1.377631,10320.000000,2,0,7,1,Cho2017,TS+LR
0.778500,1.383155,10320.000000,3,0,7,1,Cho2017,TS+LR
0.689900,1.388741,10320.000000,4,0,7,1,Cho2017,TS+LR
0.617300,1.383744,10320.000000,5,0,7,1,Cho2017,TS+LR
0.636500,1.381572,10320.000000,6,0,7,1,Cho2017,TS+LR
0.545208,1.377203,10280.000000,7,0,7,1,Cho2017,TS+LR
0.643200,1.391309,10320.000000,8,0,7,1,Cho2017,TS+LR
0.656944,1.376386,10280.000000,9,0,7,1,Cho2017,TS+LR
0.654500,1.375820,10320.000000,10,0,7,1,Cho2017,TS+LR
0.647900,1.383764,10320.000000,11,0,7,1,Cho2017,TS+LR
0.707100,1.373912,10320.000000,12,0,7,1,Cho2017,TS+LR
0.411800,1.374075,10320.000000,13,0,7,1,Cho2017,TS+LR
0.879400,1.378006,10320.000000,14,0,7,1,Cho2017,TS+LR
0.560400,1.383121,10320.000000,15,0,7,1,Cho2017,TS+LR
0.640600,1.384821,10320.000000,16,0,7,1,Cho2017,TS+LR
0.498700,1.378935,10320.000000,17,0,7,1,Cho2017,TS+LR
0.653800,1.382001,10320.000000,18,0,7,1,Cho2017,TS+LR
0.613400,1.380227,10320.000000,19,0,7,1,Cho2017,TS+LR
0.716100,1.379981,10320.000000,20,0,7,1,Cho2017,TS+LR
0.615600,1.380410,10320.000000,21,0,7,1,Cho2017,TS+LR
0.704200,1.382770,10320.000000,22,0,7,1,Cho2017,TS+LR
0.672900,1.380612,10320.000000,23,0,7,1,Cho2017,TS+LR
0.777000,1.395597,10320.000000,24,0,7,1,Cho2017,TS+LR
0.553900,1.386398,10320.000000,25,0,7,1,Cho2017,TS+LR
0.488700,1.386725,10320.000000,26,0,7,1,Cho2017,TS+LR
0.582800,1.388370,10320.000000,27,0,7,1,Cho2017,TS+LR
0.522700,1.386854,10320.000000,28,0,7,1,Cho2017,TS+LR
0.565100,1.385019,10320.000000,29,0,7,1,Cho2017,TS+LR
0.582100,1.382020,10320.000000,30,0,7,1,Cho2017,TS+LR
0.550400,1.386772,10320.000000,31,0,7,1,Cho2017,TS+LR
0.611100,1.386146,10320.000000,32,0,7,1,Cho2017,TS+LR
0.546500,1.376640,10320.000000,33,0,7,1,Cho2017,TS+LR
0.520500,1.383299,10320.000000,34,0,7,1,Cho2017,TS+LR
