score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.788285,1.384650,10320.000000,1,0,7,1,Cho2017,TS+LR
0.474474,1.391639,10320.000000,2,0,7,1,Cho2017,TS+LR
0.670477,1.384253,10320.000000,3,0,7,1,Cho2017,TS+LR
0.620279,1.389413,10320.000000,4,0,7,1,Cho2017,TS+LR
0.560623,1.387517,10320.000000,5,0,7,1,Cho2017,TS+LR
0.598555,1.380426,10320.000000,6,0,7,1,Cho2017,TS+LR
0.520202,1.381184,10280.000000,7,0,7,1,Cho2017,TS+LR
0.536188,1.375046,10320.000000,8,0,7,1,Cho2017,TS+LR
0.628979,1.375376,10280.000000,9,0,7,1,Cho2017,TS+LR
0.594990,1.394513,10320.000000,10,0,7,1,Cho2017,TS+LR
0.622271,1.383696,10320.000000,11,0,7,1,Cho2017,TS+LR
0.450334,1.377172,10320.000000,12,0,7,1,Cho2017,TS+LR
0.333333,1.377890,10320.000000,13,0,7,1,Cho2017,TS+LR
0.789811,1.383886,10320.000000,14,0,7,1,Cho2017,TS+LR
0.462366,1.370100,10320.000000,15,0,7,1,Cho2017,TS+LR
0.490210,1.385415,10320.000000,16,0,7,1,Cho2017,TS+LR
0.453894,1.375521,10320.000000,17,0,7,1,Cho2017,TS+LR
0.532764,1.394673,10320.000000,18,0,7,1,Cho2017,TS+LR
0.449036,1.397451,10320.000000,19,0,7,1,Cho2017,TS+LR
0.613665,1.386512,10320.000000,20,0,7,1,Cho2017,TS+LR
0.584491,1.375100,10320.000000,21,0,7,1,Cho2017,TS+LR
0.517450,1.379783,10320.000000,22,0,7,1,Cho2017,TS+LR
0.539895,1.384481,10320.000000,23,0,7,1,Cho2017,TS+LR
0.516452,1.376204,10320.000000,24,0,7,1,Cho2017,TS+LR
0.355178,1.389117,10320.000000,25,0,7,1,Cho2017,TS+LR
0.472403,1.374703,10320.000000,26,0,7,1,Cho2017,TS+LR
0.545267,1.374029,10320.000000,27,0,7,1,Cho2017,TS+LR
0.455451,1.378631,10320.000000,28,0,7,1,Cho2017,TS+LR
0.533027,1.383902,10320.000000,29,0,7,1,Cho2017,TS+LR
0.502157,1.374099,10320.000000,30,0,7,1,Cho2017,TS+LR
0.456858,1.383712,10320.000000,31,0,7,1,Cho2017,TS+LR
0.331104,1.385263,10320.000000,32,0,7,1,Cho2017,TS+LR
0.526310,1.376699,10320.000000,33,0,7,1,Cho2017,TS+LR
0.474822,1.388211,10320.000000,34,0,7,1,Cho2017,TS+LR
0.463508,1.381866,10320.000000,35,0,7,1,Cho2017,TS+LR
0.613665,1.378205,10320.000000,36,0,7,1,Cho2017,TS+LR
0.499550,1.390637,10320.000000,37,0,7,1,Cho2017,TS+LR
0.468085,1.383151,10320.000000,38,0,7,1,Cho2017,TS+LR
0.489302,1.375376,10320.000000,39,0,7,1,Cho2017,TS+LR
