score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.797500,1.400109,10320.000000,1,0,7,1,Cho2017,TS+EL
0.495100,1.401981,10320.000000,2,0,7,1,Cho2017,TS+EL
0.605800,1.401967,10320.000000,3,0,7,1,Cho2017,TS+EL
0.638200,1.399973,10320.000000,4,0,7,1,Cho2017,TS+EL
0.560400,1.405219,10320.000000,5,0,7,1,Cho2017,TS+EL
0.604300,1.405607,10320.000000,6,0,7,1,Cho2017,TS+EL
0.605347,1.402409,10280.000000,7,0,7,1,Cho2017,TS+EL
0.597100,1.407304,10320.000000,8,0,7,1,Cho2017,TS+EL
0.600278,1.403457,10280.000000,9,0,7,1,Cho2017,TS+EL
0.634700,1.408255,10320.000000,10,0,7,1,Cho2017,TS+EL
0.627500,1.404927,10320.000000,11,0,7,1,Cho2017,TS+EL
0.599100,1.409822,10320.000000,12,0,7,1,Cho2017,TS+EL
0.472400,1.406089,10320.000000,13,0,7,1,Cho2017,TS+EL
0.643500,1.407148,10320.000000,14,0,7,1,Cho2017,TS+EL
0.544400,1.408174,10320.000000,15,0,7,1,Cho2017,TS+EL
0.570500,1.407980,10320.000000,16,0,7,1,Cho2017,TS+EL
0.453500,1.393966,10320.000000,17,0,7,1,Cho2017,TS+EL
0.650300,1.392488,10320.000000,18,0,7,1,Cho2017,TS+EL
0.523300,1.405381,10320.000000,19,0,7,1,Cho2017,TS+EL
0.731900,1.401440,10320.000000,20,0,7,1,Cho2017,TS+EL
0.513100,1.394918,10320.000000,21,0,7,1,Cho2017,TS+EL
0.605000,1.394994,10320.000000,22,0,7,1,Cho2017,TS+EL
0.619600,1.400560,10320.000000,23,0,7,1,Cho2017,TS+EL
0.719000,1.406393,10320.000000,24,0,7,1,Cho2017,TS+EL
0.569600,1.402299,10320.000000,25,0,7,1,Cho2017,TS+EL
0.499700,1.408600,10320.000000,26,0,7,1,Cho2017,TS+EL
0.511000,1.401958,10320.000000,27,0,7,1,Cho2017,TS+EL
0.544900,1.409471,10320.000000,28,0,7,1,Cho2017,TS+EL
0.594400,1.413361,10320.000000,29,0,7,1,Cho2017,TS+EL
0.536700,1.401309,10320.000000,30,0,7,1,Cho2017,TS+EL
0.520800,1.401859,10320.000000,31,0,7,1,Cho2017,TS+EL
0.521500,1.396719,10320.000000,32,0,7,1,Cho2017,TS+EL
0.454600,1.398012,10320.000000,33,0,7,1,Cho2017,TS+EL
0.486800,1.405401,10320.000000,34,0,7,1,Cho2017,TS+EL
0.465400,1.404154,10320.000000,35,0,7,1,Cho2017,TS+EL
0.653600,1.408658,10320.000000,36,0,7,1,Cho2017,TS+EL
0.624700,1.409472,10320.000000,37,0,7,1,Cho2017,TS+EL
0.513400,1.397830,10320.000000,38,0,7,1,Cho2017,TS+EL
0.700500,1.409452,10320.000000,39,0,7,1,Cho2017,TS+EL
0.572800,1.410210,10320.000000,40,0,7,1,Cho2017,TS+EL
0.675700,1.407662,10320.000000,41,0,7,1,Cho2017,TS+EL
0.468300,1.415569,10320.000000,42,0,7,1,Cho2017,TS+EL
0.793800,1.403490,10320.000000,43,0,7,1,Cho2017,TS+EL
0.526900,1.400385,10320.000000,44,0,7,1,Cho2017,TS+EL
0.608200,1.400102,10320.000000,45,0,7,1,Cho2017,TS+EL
0.651528,1.400081,10280.000000,46,0,7,1,Cho2017,TS+EL
0.559700,1.406664,10320.000000,47,0,7,1,Cho2017,TS+EL
0.660500,1.402722,10320.000000,48,0,7,1,Cho2017,TS+EL
0.685500,1.404457,10320.000000,49,0,7,1,Cho2017,TS+EL
0.529800,1.393356,10320.000000,50,0,7,1,Cho2017,TS+EL
0.560800,1.397514,10320.000000,51,0,7,1,Cho2017,TS+EL
0.660900,1.407837,10320.000000,52,0,7,1,Cho2017,TS+EL
0.797300,1.374460,10320.000000,1,0,7,1,Cho2017,TS+LR
0.494700,1.372823,10320.000000,2,0,7,1,Cho2017,TS+LR
0.605400,1.372453,10320.000000,3,0,7,1,Cho2017,TS+LR
0.637000,1.376651,10320.000000,4,0,7,1,Cho2017,TS+LR
0.561200,1.375131,10320.000000,5,0,7,1,Cho2017,TS+LR
0.603200,1.367295,10320.000000,6,0,7,1,Cho2017,TS+LR
0.603333,1.367995,10280.000000,7,0,7,1,Cho2017,TS+LR
0.597600,1.375274,10320.000000,8,0,7,1,Cho2017,TS+LR
0.599375,1.379320,10280.000000,9,0,7,1,Cho2017,TS+LR
0.633900,1.379706,10320.000000,10,0,7,1,Cho2017,TS+LR
0.624700,1.377981,10320.000000,11,0,7,1,Cho2017,TS+LR
0.598400,1.382137,10320.000000,12,0,7,1,Cho2017,TS+LR
0.474200,1.375011,10320.000000,13,0,7,1,Cho2017,TS+LR
0.642200,1.370073,10320.000000,14,0,7,1,Cho2017,TS+LR
0.543000,1.387781,10320.000000,15,0,7,1,Cho2017,TS+LR
0.569400,1.375293,10320.000000,16,0,7,1,Cho2017,TS+LR
0.455200,1.364425,10320.000000,17,0,7,1,Cho2017,TS+LR
0.649500,1.369680,10320.000000,18,0,7,1,Cho2017,TS+LR
0.520300,1.376899,10320.000000,19,0,7,1,Cho2017,TS+LR
0.731900,1.379419,10320.000000,20,0,7,1,Cho2017,TS+LR
0.510700,1.376523,10320.000000,21,0,7,1,Cho2017,TS+LR
0.604800,1.371836,10320.000000,22,0,7,1,Cho2017,TS+LR
0.619800,1.370444,10320.000000,23,0,7,1,Cho2017,TS+LR
0.719300,1.379197,10320.000000,24,0,7,1,Cho2017,TS+LR
0.569100,1.374796,10320.000000,25,0,7,1,Cho2017,TS+LR
0.499400,1.378460,10320.000000,26,0,7,1,Cho2017,TS+LR
0.510900,1.376364,10320.000000,27,0,7,1,Cho2017,TS+LR
0.546000,1.381566,10320.000000,28,0,7,1,Cho2017,TS+LR
0.593600,1.372463,10320.000000,29,0,7,1,Cho2017,TS+LR
0.536000,1.373341,10320.000000,30,0,7,1,Cho2017,TS+LR
0.521000,1.385109,10320.000000,31,0,7,1,Cho2017,TS+LR
0.521100,1.377965,10320.000000,32,0,7,1,Cho2017,TS+LR
