score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.631076,1.412906,10320.000000,1,0,7,1,Cho2017,TS+EL
0.333333,1.416839,10320.000000,2,0,7,1,Cho2017,TS+EL
0.484029,1.400355,10320.000000,3,0,7,1,Cho2017,TS+EL
0.580563,1.405276,10320.000000,4,0,7,1,Cho2017,TS+EL
0.513307,1.403412,10320.000000,5,0,7,1,Cho2017,TS+EL
0.494879,1.403869,10320.000000,6,0,7,1,Cho2017,TS+EL
0.525522,1.403375,10280.000000,7,0,7,1,Cho2017,TS+EL
0.498140,1.410141,10320.000000,8,0,7,1,Cho2017,TS+EL
0.517103,1.397424,10280.000000,9,0,7,1,Cho2017,TS+EL
0.523536,1.408830,10320.000000,10,0,7,1,Cho2017,TS+EL
0.510011,1.400528,10320.000000,11,0,7,1,Cho2017,TS+EL
0.501629,1.405173,10320.000000,12,0,7,1,Cho2017,TS+EL
0.377944,1.408055,10320.000000,13,0,7,1,Cho2017,TS+EL
0.568254,1.403972,10320.000000,14,0,7,1,Cho2017,TS+EL
0.371069,1.408131,10320.000000,15,0,7,1,Cho2017,TS+EL
0.350312,1.390708,10320.000000,16,0,7,1,Cho2017,TS+EL
0.453894,1.398026,10320.000000,17,0,7,1,Cho2017,TS+EL
0.606826,1.407341,10320.000000,18,0,7,1,Cho2017,TS+EL
0.461575,1.399866,10320.000000,19,0,7,1,Cho2017,TS+EL
0.521368,1.401547,10320.000000,20,0,7,1,Cho2017,TS+EL
0.525013,1.407542,10320.000000,21,0,7,1,Cho2017,TS+EL
0.509677,1.412668,10320.000000,22,0,7,1,Cho2017,TS+EL
0.506649,1.400338,10320.000000,23,0,7,1,Cho2017,TS+EL
0.585856,1.407032,10320.000000,24,0,7,1,Cho2017,TS+EL
0.344349,1.407650,10320.000000,25,0,7,1,Cho2017,TS+EL
0.438896,1.405592,10320.000000,26,0,7,1,Cho2017,TS+EL
0.342019,1.405776,10320.000000,27,0,7,1,Cho2017,TS+EL
0.526368,1.412546,10320.000000,28,0,7,1,Cho2017,TS+EL
0.598730,1.407871,10320.000000,29,0,7,1,Cho2017,TS+EL
0.537037,1.405033,10320.000000,30,0,7,1,Cho2017,TS+EL
0.537037,1.399499,10320.000000,31,0,7,1,Cho2017,TS+EL
0.424715,1.398628,10320.000000,32,0,7,1,Cho2017,TS+EL
0.449183,1.401835,10320.000000,33,0,7,1,Cho2017,TS+EL
0.460684,1.402821,10320.000000,34,0,7,1,Cho2017,TS+EL
0.482087,1.404064,10320.000000,35,0,7,1,Cho2017,TS+EL
0.585019,1.405513,10320.000000,36,0,7,1,Cho2017,TS+EL
0.389473,1.412539,10320.000000,37,0,7,1,Cho2017,TS+EL
0.457722,1.406031,10320.000000,38,0,7,1,Cho2017,TS+EL
0.413601,1.413927,10320.000000,39,0,7,1,Cho2017,TS+EL
0.460684,1.402688,10320.000000,40,0,7,1,Cho2017,TS+EL
0.410658,1.399366,10320.000000,41,0,7,1,Cho2017,TS+EL
0.418861,1.399489,10320.000000,42,0,7,1,Cho2017,TS+EL
0.689955,1.397490,10320.000000,43,0,7,1,Cho2017,TS+EL
0.491405,1.407383,10320.000000,44,0,7,1,Cho2017,TS+EL
0.574479,1.401011,10320.000000,45,0,7,1,Cho2017,TS+EL
0.515490,1.404291,10280.000000,46,0,7,1,Cho2017,TS+EL
0.342019,1.403889,10320.000000,47,0,7,1,Cho2017,TS+EL
0.585856,1.407108,10320.000000,48,0,7,1,Cho2017,TS+EL
0.674341,1.399059,10320.000000,49,0,7,1,Cho2017,TS+EL
0.388379,1.402825,10320.000000,50,0,7,1,Cho2017,TS+EL
0.498667,1.397195,10320.000000,51,0,7,1,Cho2017,TS+EL
0.589491,1.401246,10320.000000,52,0,7,1,Cho2017,TS+EL
0.631076,1.385361,10320.000000,1,0,7,1,Cho2017,TS+LR
0.333333,1.379827,10320.000000,2,0,7,1,Cho2017,TS+LR
0.484029,1.372283,10320.000000,3,0,7,1,Cho2017,TS+LR
0.580563,1.380844,10320.000000,4,0,7,1,Cho2017,TS+LR
0.513307,1.382664,10320.000000,5,0,7,1,Cho2017,TS+LR
0.468566,1.382403,10320.000000,6,0,7,1,Cho2017,TS+LR
0.525522,1.372267,10280.000000,7,0,7,1,Cho2017,TS+LR
0.498140,1.381945,10320.000000,8,0,7,1,Cho2017,TS+LR
0.522161,1.375424,10280.000000,9,0,7,1,Cho2017,TS+LR
0.517083,1.374414,10320.000000,10,0,7,1,Cho2017,TS+LR
0.510011,1.373675,10320.000000,11,0,7,1,Cho2017,TS+LR
0.505495,1.370557,10320.000000,12,0,7,1,Cho2017,TS+LR
0.383953,1.371421,10320.000000,13,0,7,1,Cho2017,TS+LR
0.572780,1.369859,10320.000000,14,0,7,1,Cho2017,TS+LR
0.371069,1.375314,10320.000000,15,0,7,1,Cho2017,TS+LR
0.350312,1.374708,10320.000000,16,0,7,1,Cho2017,TS+LR
0.464344,1.375794,10320.000000,17,0,7,1,Cho2017,TS+LR
0.606826,1.381880,10320.000000,18,0,7,1,Cho2017,TS+LR
0.461575,1.372719,10320.000000,19,0,7,1,Cho2017,TS+LR
0.521368,1.371658,10320.000000,20,0,7,1,Cho2017,TS+LR
0.525013,1.369225,10320.000000,21,0,7,1,Cho2017,TS+LR
0.509677,1.381497,10320.000000,22,0,7,1,Cho2017,TS+LR
0.506649,1.374499,10320.000000,23,0,7,1,Cho2017,TS+LR
0.590164,1.377453,10320.000000,24,0,7,1,Cho2017,TS+LR
