Exp_id,Mask,Price,Form,N_ch,CSP+LDA_AUC,CSP+LDA_F1,CSP+SVM_AUC,CSP+SVM_F1,TS+LR_AUC,TS+LR_F1,TS+SVM_AUC,TS+SVM_F1,TS+EL_AUC,TS+EL_F1
20260113_1054_FULL_CHO_multi_pipes,FULL_CHO,,Cap,64,66.25 ± 12.64,53.41 ± 12.09,66.43 ± 12.60,53.50 ± 12.47,67.02 ± 11.31,57.77 ± 11.19,66.34 ± 11.26,56.80 ± 10.87,67.46 ± 11.41,57.94 ± 11.36
20260114_1504_EMOTIV_EPOCH_X_multi_pipes,EMOTIV_EPOCH_X,1200.0,Helmet,14,57.64 ± 9.28,47.21 ± 9.98,57.30 ± 9.40,46.57 ± 9.49,60.70 ± 8.91,54.71 ± 7.81,60.84 ± 8.86,54.93 ± 7.89,60.76 ± 8.92,54.70 ± 7.77
20260115_0901_EMOTIV_FLEX_multi_pipes,EMOTIV_FLEX,1900.0,Cap,28,66.07 ± 13.08,55.13 ± 14.24,66.18 ± 13.14,55.05 ± 13.99,67.65 ± 11.84,57.66 ± 11.08,67.30 ± 11.82,58.13 ± 10.63,67.78 ± 11.88,57.88 ± 11.05
20260115_1118_EMOTIV_INSIGHT_multi_pipes,EMOTIV_INSIGHT,600.0,Helmet,5,57.08 ± 7.24,45.14 ± 10.30,56.95 ± 6.94,45.17 ± 9.31,58.06 ± 7.05,50.26 ± 8.00,58.04 ± 6.95,49.38 ± 8.04,58.06 ± 7.06,50.16 ± 7.96
20260115_1142_EMOTIV_MN8_multi_pipes,EMOTIV_MN8,480.0,Headphones,2,54.40 ± 4.85,43.91 ± 7.51,54.20 ± 4.61,40.45 ± 7.67,54.57 ± 5.31,44.98 ± 7.70,54.41 ± 4.94,40.59 ± 7.61,54.56 ± 5.31,44.96 ± 7.67
20260115_1204_ULTRACORTEX_16_multi_pipes,ULTRACORTEX_16,600.0,Helmet,16,64.58 ± 12.37,53.12 ± 13.10,64.70 ± 12.40,52.99 ± 13.09,65.69 ± 12.29,57.06 ± 11.17,65.43 ± 12.31,56.98 ± 11.37,65.76 ± 12.29,57.19 ± 11.25
20260115_1325_ULTRACORTEX_8_multi_pipes,ULTRACORTEX_8,450.0,Helmet,8,61.91 ± 9.89,47.34 ± 10.02,61.76 ± 9.88,47.39 ± 10.29,62.73 ± 12.14,55.13 ± 10.53,62.82 ± 12.26,55.08 ± 10.05,62.73 ± 12.16,55.10 ± 10.50
20260115_1355_GTEC_UNICORN_HYBRID_multi_pipes,GTEC_UNICORN_HYBRID,1200.0,Cap,8,64.72 ± 12.04,54.93 ± 12.59,64.76 ± 12.03,54.56 ± 12.20,64.26 ± 11.50,55.73 ± 10.63,64.42 ± 11.72,55.50 ± 10.90,64.29 ± 11.52,55.61 ± 10.55
20260115_1442_BITBRAIN_DIADEM_multi_pipes,BITBRAIN_DIADEM,14200.0,Helmet,12,61.80 ± 11.20,48.89 ± 10.30,61.78 ± 11.21,48.27 ± 10.31,62.70 ± 10.47,54.73 ± 9.66,62.70 ± 10.43,54.59 ± 9.26,62.70 ± 10.49,54.54 ± 9.57
20260115_1526_BITBRAIN_AIR_multi_pipes,BITBRAIN_AIR,6100.0,Helmet,8,53.68 ± 7.48,41.93 ± 8.65,53.79 ± 7.75,42.82 ± 8.57,56.29 ± 6.54,49.61 ± 7.76,56.34 ± 6.45,49.16 ± 8.26,56.28 ± 6.57,49.56 ± 7.92
